tick_id,day,infrastructure_id,ecology_channel,level_before,infrastructure_effect,weather_effect,level_after,feedback_visible,care_action
0,1,river_mill_bridge,bank_stability,0.58,0.0,-0.014,0.566,True,none
1,1,roof_greenhouse_cistern,humidity,0.52,0.0,0.003,0.523,False,none
2,1,archive_public_kiosk,notice_accuracy,0.49,0.012574,0.003,0.505574,True,none
3,1,dusk_signal_workshop,night_calm,0.55,0.0,0.003,0.553,False,none
4,1,river_mill_bridge,bank_stability,0.566,0.0,0.003,0.569,False,none
5,1,roof_greenhouse_cistern,humidity,0.523,0.012346,0.003,0.538346,True,none
6,1,archive_public_kiosk,notice_accuracy,0.505574,0.0,-0.01,0.495574,True,none
7,1,dusk_signal_workshop,night_calm,0.553,0.0,0.003,0.556,False,none
8,1,river_mill_bridge,bank_stability,0.569,0.012118,-0.014,0.567118,False,none
9,1,roof_greenhouse_cistern,humidity,0.538346,0.0,0.003,0.541346,False,none
10,1,archive_public_kiosk,notice_accuracy,0.495574,0.0,0.003,0.498574,False,none
11,1,dusk_signal_workshop,night_calm,0.556,0.012838,0.003,0.571838,True,none
12,1,river_mill_bridge,bank_stability,0.567118,0.0,0.003,0.570118,False,none
13,1,roof_greenhouse_cistern,humidity,0.541346,0.0,0.003,0.544346,False,none
14,1,archive_public_kiosk,notice_accuracy,0.498574,0.012652,0.003,0.514226,True,none
15,1,dusk_signal_workshop,night_calm,0.571838,0.0,0.003,0.574838,False,none
16,1,river_mill_bridge,bank_stability,0.570118,0.0,0.003,0.573118,False,none
17,1,roof_greenhouse_cistern,humidity,0.544346,0.0,0.003,0.547346,False,none
18,2,archive_public_kiosk,notice_accuracy,0.514226,0.0,0.003,0.517226,False,none
19,2,dusk_signal_workshop,night_calm,0.574838,0.0,0.003,0.577838,False,none
20,2,river_mill_bridge,bank_stability,0.573118,0.012196,0.003,0.588314,True,none
21,2,roof_greenhouse_cistern,humidity,0.547346,0.0,0.003,0.550346,False,none
22,2,archive_public_kiosk,notice_accuracy,0.517226,0.0,0.003,0.520226,False,none
23,2,dusk_signal_workshop,night_calm,0.577838,0.012916,0.003,0.593754,True,none
24,2,river_mill_bridge,bank_stability,0.588314,0.0,0.003,0.591314,False,none
25,2,roof_greenhouse_cistern,humidity,0.550346,0.012448,0.003,0.565794,True,none
26,2,archive_public_kiosk,notice_accuracy,0.520226,0.01273,0.003,0.535956,True,none
27,2,dusk_signal_workshop,night_calm,0.593754,0.0,0.003,0.596754,False,none
28,2,river_mill_bridge,bank_stability,0.591314,0.0,0.003,0.594314,False,none
29,2,roof_greenhouse_cistern,humidity,0.565794,0.012502,0.003,0.581296,True,none
30,2,archive_public_kiosk,notice_accuracy,0.535956,0.018,-0.01,0.543956,True,bank clearing / humidity vent / notice copy / dim relay
31,2,dusk_signal_workshop,night_calm,0.596754,0.0,0.003,0.599754,False,none
32,2,river_mill_bridge,bank_stability,0.594314,0.012274,0.003,0.609588,True,none
33,2,roof_greenhouse_cistern,humidity,0.581296,0.0,0.003,0.584296,False,none
34,2,archive_public_kiosk,notice_accuracy,0.543956,0.012796,0.003,0.559752,True,none
35,2,dusk_signal_workshop,night_calm,0.599754,0.0,0.003,0.602754,False,none
36,3,river_mill_bridge,bank_stability,0.609588,0.0,0.003,0.612588,False,none
37,3,roof_greenhouse_cistern,humidity,0.584296,0.0,0.003,0.587296,False,none
38,3,archive_public_kiosk,notice_accuracy,0.559752,0.01285,0.003,0.575602,True,none
39,3,dusk_signal_workshop,night_calm,0.602754,0.018,0.003,0.623754,True,bank clearing / humidity vent / notice copy / dim relay
40,3,river_mill_bridge,bank_stability,0.612588,0.0,0.003,0.615588,False,none
41,3,roof_greenhouse_cistern,humidity,0.587296,0.01258,-0.01,0.589876,False,none
42,3,archive_public_kiosk,notice_accuracy,0.575602,0.0,0.003,0.578602,False,none
43,3,dusk_signal_workshop,night_calm,0.623754,0.0,0.003,0.626754,False,none
44,3,river_mill_bridge,bank_stability,0.615588,0.012352,0.003,0.63094,True,none
45,3,roof_greenhouse_cistern,humidity,0.589876,0.0,0.003,0.592876,False,none
46,3,archive_public_kiosk,notice_accuracy,0.578602,0.0,0.003,0.581602,False,none
47,3,dusk_signal_workshop,night_calm,0.626754,0.01303,0.003,0.642784,True,none
48,3,river_mill_bridge,bank_stability,0.63094,0.018,0.003,0.65194,True,bank clearing / humidity vent / notice copy / dim relay
49,3,roof_greenhouse_cistern,humidity,0.592876,0.0,0.003,0.595876,False,none
50,3,archive_public_kiosk,notice_accuracy,0.581602,0.012928,0.003,0.59753,True,none
51,3,dusk_signal_workshop,night_calm,0.642784,0.0,0.003,0.645784,False,none
52,3,river_mill_bridge,bank_stability,0.65194,0.0,-0.014,0.63794,True,none
53,3,roof_greenhouse_cistern,humidity,0.595876,0.0,0.003,0.598876,False,none
54,4,dusk_signal_workshop,night_calm,0.645784,0.0,0.003,0.648784,False,none
55,4,river_mill_bridge,bank_stability,0.63794,0.0,0.003,0.64094,False,none
56,4,roof_greenhouse_cistern,humidity,0.598876,0.01267,0.003,0.614546,True,none
57,4,archive_public_kiosk,notice_accuracy,0.59753,0.0,0.003,0.60053,False,none
58,4,dusk_signal_workshop,night_calm,0.648784,0.0,0.003,0.651784,False,none
59,4,river_mill_bridge,bank_stability,0.64094,0.012442,-0.014,0.639382,False,none
60,4,roof_greenhouse_cistern,humidity,0.614546,0.0,0.003,0.617546,False,none
61,4,archive_public_kiosk,notice_accuracy,0.60053,0.0,0.003,0.60353,False,none
62,4,dusk_signal_workshop,night_calm,0.651784,0.01312,0.003,0.667904,True,none
63,4,river_mill_bridge,bank_stability,0.639382,0.0,0.003,0.642382,False,none
64,4,roof_greenhouse_cistern,humidity,0.617546,0.0,0.003,0.620546,False,none
65,4,archive_public_kiosk,notice_accuracy,0.60353,0.013006,-0.01,0.606536,False,none
66,4,dusk_signal_workshop,night_calm,0.667904,0.0,0.003,0.670904,False,none
67,4,river_mill_bridge,bank_stability,0.642382,0.0,0.003,0.645382,False,none
68,4,roof_greenhouse_cistern,humidity,0.620546,0.012748,0.003,0.636294,True,none
69,4,archive_public_kiosk,notice_accuracy,0.606536,0.0,0.003,0.609536,False,none
70,4,dusk_signal_workshop,night_calm,0.670904,0.0,0.003,0.673904,False,none
71,4,river_mill_bridge,bank_stability,0.645382,0.0,0.003,0.648382,False,none
72,5,roof_greenhouse_cistern,humidity,0.636294,0.0,0.003,0.639294,False,none
73,5,archive_public_kiosk,notice_accuracy,0.609536,0.0,0.003,0.612536,False,none
74,5,dusk_signal_workshop,night_calm,0.673904,0.013198,0.003,0.690102,True,none
75,5,river_mill_bridge,bank_stability,0.648382,0.0,0.003,0.651382,False,none
76,5,roof_greenhouse_cistern,humidity,0.639294,0.012814,0.003,0.655108,True,none
77,5,archive_public_kiosk,notice_accuracy,0.612536,0.013084,0.003,0.62862,True,none
78,5,dusk_signal_workshop,night_calm,0.690102,0.0,0.003,0.693102,False,none
79,5,river_mill_bridge,bank_stability,0.651382,0.0,0.003,0.654382,False,none
80,5,roof_greenhouse_cistern,humidity,0.655108,0.012868,0.003,0.670976,True,none
81,5,archive_public_kiosk,notice_accuracy,0.62862,0.0,0.003,0.63162,False,none
82,5,dusk_signal_workshop,night_calm,0.693102,0.0,0.003,0.696102,False,none
83,5,river_mill_bridge,bank_stability,0.654382,0.012556,0.003,0.669938,True,none
84,5,roof_greenhouse_cistern,humidity,0.670976,0.0,0.003,0.673976,False,none
85,5,archive_public_kiosk,notice_accuracy,0.63162,0.01315,0.003,0.64777,True,none
86,5,dusk_signal_workshop,night_calm,0.696102,0.013276,0.003,0.712378,True,none
87,5,river_mill_bridge,bank_stability,0.669938,0.01261,0.003,0.685548,True,none
88,5,roof_greenhouse_cistern,humidity,0.673976,0.0,0.003,0.676976,False,none
89,5,archive_public_kiosk,notice_accuracy,0.64777,0.0,-0.01,0.63777,True,none
90,6,dusk_signal_workshop,night_calm,0.712378,0.0,0.003,0.715378,False,none
91,6,river_mill_bridge,bank_stability,0.685548,0.0,0.003,0.688548,False,none
92,6,roof_greenhouse_cistern,humidity,0.676976,0.012946,0.003,0.692922,True,none
93,6,archive_public_kiosk,notice_accuracy,0.63777,0.0,0.003,0.64077,False,none
94,6,dusk_signal_workshop,night_calm,0.715378,0.0,0.003,0.718378,False,none
95,6,river_mill_bridge,bank_stability,0.688548,0.012676,0.003,0.704224,True,none
96,6,roof_greenhouse_cistern,humidity,0.692922,0.0,0.003,0.695922,False,none
97,6,archive_public_kiosk,notice_accuracy,0.64077,0.0,0.003,0.64377,False,none
98,6,dusk_signal_workshop,night_calm,0.718378,0.013354,0.003,0.734732,True,none
99,6,river_mill_bridge,bank_stability,0.704224,0.0,0.003,0.707224,False,none
100,6,roof_greenhouse_cistern,humidity,0.695922,0.0,-0.01,0.685922,True,none
101,6,archive_public_kiosk,notice_accuracy,0.64377,0.01324,0.003,0.66001,True,none
102,6,dusk_signal_workshop,night_calm,0.734732,0.018,0.003,0.755732,True,bank clearing / humidity vent / notice copy / dim relay
