seed,slot_id,block,resident,ordinary_work,belief,decision,reason,cost_water,cost_fiber,cost_wood,cost_care,fear,trust,social_pressure,resources_before_slot
36217,36217-AIS-01,dawn work block,Ari,repair awning,water-anger-taboo-warning,test_anomaly,curiosity and available materials beat ordinary work,1,0,1,1,0.26,0.62,0.12,"{""care"": 2, ""fiber"": 3, ""water"": 3, ""wood"": 4}"
36217,36217-AIS-02,midday work block,Fay,sort herbs,water-anger-taboo-warning,test_anomaly,curiosity and available materials beat ordinary work,1,0,2,0,0.26,0.69,0.48,"{""care"": 1, ""fiber"": 3, ""water"": 2, ""wood"": 3}"
36217,36217-AIS-03,rain pause,Milo,carry water,cloak ghost-omen,defer_for_materials,ordinary work keeps scarce material,1,0,2,0,0.12,0.51,0.66,"{""care"": 1, ""fiber"": 3, ""water"": 1, ""wood"": 1}"
36217,36217-AIS-04,evening repair,Sera,dry cloaks,cloak ghost,test_anomaly,curiosity and available materials beat ordinary work,0,1,0,1,0.12,0.58,0.3,"{""care"": 1, ""fiber"": 3, ""water"": 1, ""wood"": 1}"
36217,36217-AIS-05,market gossip,Tovan,map safe route,water-anger-taboo,test_anomaly,curiosity and available materials beat ordinary work,0,1,1,0,0.26,0.65,0.48,"{""care"": 0, ""fiber"": 2, ""water"": 1, ""wood"": 1}"
36231,36231-AIS-01,dawn work block,Ari,repair awning,route sign-omen,argue_before_test,social disagreement delays the test,1,0,1,1,0.42,0.51,0.52,"{""care"": 2, ""fiber"": 2, ""water"": 3, ""wood"": 4}"
36231,36231-AIS-02,midday work block,Fay,sort herbs,jar omen,test_anomaly,curiosity and available materials beat ordinary work,1,0,2,0,0.28,0.58,0.34,"{""care"": 2, ""fiber"": 2, ""water"": 3, ""wood"": 4}"
36231,36231-AIS-03,rain pause,Milo,carry water,jar omen-path,test_anomaly,curiosity and available materials beat ordinary work,1,0,2,0,0.44,0.65,0.34,"{""care"": 2, ""fiber"": 2, ""water"": 2, ""wood"": 2}"
36231,36231-AIS-04,evening repair,Sera,dry cloaks,smoke warning,test_anomaly,curiosity and available materials beat ordinary work,0,1,0,1,0.12,0.47,0.16,"{""care"": 2, ""fiber"": 2, ""water"": 1, ""wood"": 0}"
36231,36231-AIS-05,market gossip,Tovan,map safe route,route sign,defer_for_materials,ordinary work keeps scarce material,0,1,1,0,0.74,0.54,0.88,"{""care"": 1, ""fiber"": 1, ""water"": 1, ""wood"": 0}"
36247,36247-AIS-01,dawn work block,Ari,repair awning,herb-jump,test_anomaly,curiosity and available materials beat ordinary work,1,0,1,1,0.12,0.67,0.12,"{""care"": 2, ""fiber"": 3, ""water"": 3, ""wood"": 4}"
36247,36247-AIS-02,midday work block,Fay,sort herbs,herb-jump,test_anomaly,curiosity and available materials beat ordinary work,1,0,2,0,0.12,0.49,0.48,"{""care"": 1, ""fiber"": 3, ""water"": 2, ""wood"": 3}"
36247,36247-AIS-03,rain pause,Milo,carry water,herb-jump-omen,defer_for_materials,ordinary work keeps scarce material,1,0,2,0,0.12,0.56,0.48,"{""care"": 1, ""fiber"": 3, ""water"": 1, ""wood"": 1}"
36247,36247-AIS-04,evening repair,Sera,dry cloaks,herb-jump-trick,test_anomaly,curiosity and available materials beat ordinary work,0,1,0,1,0.28,0.63,0.48,"{""care"": 1, ""fiber"": 3, ""water"": 1, ""wood"": 1}"
36247,36247-AIS-05,market gossip,Tovan,map safe route,handspan bite-taboo-trick,refuse_test,fear and contradictions outweigh trust,0,1,1,0,0.74,0.45,0.48,"{""care"": 0, ""fiber"": 2, ""water"": 1, ""wood"": 1}"
36263,36263-AIS-01,dawn work block,Ari,repair awning,smoke warning-path-path,test_anomaly,curiosity and available materials beat ordinary work,1,0,1,1,0.44,0.58,0.3,"{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 4}"
36263,36263-AIS-02,midday work block,Fay,sort herbs,grain pull-omen,argue_before_test,social disagreement delays the test,1,0,2,0,0.28,0.65,0.48,"{""care"": 1, ""fiber"": 4, ""water"": 2, ""wood"": 3}"
36263,36263-AIS-03,rain pause,Milo,carry water,water-anger,test_anomaly,curiosity and available materials beat ordinary work,1,0,2,0,0.28,0.47,0.3,"{""care"": 1, ""fiber"": 4, ""water"": 2, ""wood"": 3}"
36263,36263-AIS-04,evening repair,Sera,dry cloaks,smoke warning,test_anomaly,curiosity and available materials beat ordinary work,0,1,0,1,0.28,0.54,0.3,"{""care"": 1, ""fiber"": 4, ""water"": 1, ""wood"": 1}"
36263,36263-AIS-05,market gossip,Tovan,map safe route,smoke warning-path,argue_before_test,social disagreement delays the test,0,1,1,0,0.44,0.61,0.48,"{""care"": 0, ""fiber"": 3, ""water"": 1, ""wood"": 1}"
36281,36281-AIS-01,dawn work block,Ari,repair awning,roof-snap-omen-taboo,argue_before_test,social disagreement delays the test,1,0,1,1,0.58,0.51,0.7,"{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 4}"
36281,36281-AIS-02,midday work block,Fay,sort herbs,storm crumb-warning,test_anomaly,curiosity and available materials beat ordinary work,1,0,2,0,0.44,0.58,0.34,"{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 4}"
36281,36281-AIS-03,rain pause,Milo,carry water,roof-snap-omen,argue_before_test,social disagreement delays the test,1,0,2,0,0.28,0.65,0.7,"{""care"": 2, ""fiber"": 4, ""water"": 2, ""wood"": 2}"
36281,36281-AIS-04,evening repair,Sera,dry cloaks,roof-snap-craft,test_anomaly,curiosity and available materials beat ordinary work,0,1,0,1,0.12,0.47,0.52,"{""care"": 2, ""fiber"": 4, ""water"": 2, ""wood"": 2}"
36281,36281-AIS-05,market gossip,Tovan,map safe route,storm crumb,test_anomaly,curiosity and available materials beat ordinary work,0,1,1,0,0.28,0.54,0.34,"{""care"": 1, ""fiber"": 3, ""water"": 2, ""wood"": 2}"
36307,36307-AIS-01,dawn work block,Ari,repair awning,jar omen-craft,test_anomaly,curiosity and available materials beat ordinary work,1,0,1,1,0.44,0.52,0.34,"{""care"": 2, ""fiber"": 3, ""water"": 3, ""wood"": 4}"
36307,36307-AIS-02,midday work block,Fay,sort herbs,jar omen,test_anomaly,curiosity and available materials beat ordinary work,1,0,2,0,0.44,0.59,0.7,"{""care"": 1, ""fiber"": 3, ""water"": 2, ""wood"": 3}"
36307,36307-AIS-03,rain pause,Milo,carry water,handspan bite,defer_for_materials,ordinary work keeps scarce material,1,0,2,0,0.12,0.66,0.52,"{""care"": 1, ""fiber"": 3, ""water"": 1, ""wood"": 1}"
36307,36307-AIS-04,evening repair,Sera,dry cloaks,handspan bite,test_anomaly,curiosity and available materials beat ordinary work,0,1,0,1,0.12,0.48,0.16,"{""care"": 1, ""fiber"": 3, ""water"": 1, ""wood"": 1}"
36307,36307-AIS-05,market gossip,Tovan,map safe route,handspan bite-path,argue_before_test,social disagreement delays the test,0,1,1,0,0.26,0.55,0.52,"{""care"": 0, ""fiber"": 2, ""water"": 1, ""wood"": 1}"
