day,tick,layer,avatar_action,target,public_result,agent_visible_response,object_result,saved_consequence,sensory_packet,frequency_hz,flower_node
1,1,join_cooperative_task,hold chalk cord outside reed lane,"ariq,roka",chalk arc widens without crowding Roka,Loose reeds are okay. The tied bundle is mine today.,no direct object move,consequence remains local to current day,"wet chalk smell, low stone scrape, cool knee-height air",205.868,4
1,2,manipulate_object,move only loose reeds to drying stone,obj-loose-reeds,loose reeds dry; tied learner bundle remains untouched,Roka nods but keeps tied bundle close,reed cuttings appear on warm stone,You used loose reeds yesterday and left mine tied.,"damp reed smell, soft grass drag, warmer stone surface",216.925,5
1,3,dialogue_choice,ask what should not be touched,roka,Roka names the tied bundle boundary clearly,Loose reeds are okay. The tied bundle is mine today.,no direct object move,consequence remains local to current day,"small voice, reed cord creak, rain fading",226.535,6
1,4,disrupt_routine,ask to continue lifting during water pause,routine-midday-water,water pause holds; avatar can carry cups instead,rest pause survives and avatar gets a repair path,no direct object move,"You pushed once, then helped the pause hold.","cup clink, warm herb shade, breath slowing",236.908,7
1,5,repair_offer,carry cups after failed urgency request,"fayen,ariq",Ariq keeps face; Fayen records repair attempt,No. You can carry cups if you want to help.,no direct object move,consequence remains local to current day,"water weight, hand-cool clay, bell cord still",246.931,8
2,1,manipulate_object,add object-only digest knot,obj-knot-board,ledger shows object trail without private body reason,Noro points to the nonprivate wording,new digest knot marks object trail,"You named the object, not the body.","dry cord rasp, smoke thread, board tap",257.279,9
2,2,dialogue_choice,repeat back privacy rule,nian,Nian relaxes archive threshold by one step,Yes. Object trail is public. Body reason stays sealed.,no direct object move,consequence remains local to current day,"quiet flap cloth, still air, low voice",268.049,10
2,3,join_cooperative_task,carry one shade beam then stop,"fayen,noro",one beam placed; shade debt remains visible,accepted_conditional,no direct object move,You helped carry one beam. The debt did not vanish.,"wood grain, shoulder strain, warm dust",277.972,11
2,4,manipulate_object,try to pick up tied learner bundle,obj-tied-bundle,bundle remains; Roka steps back and asks for blue stone distance,Roka backs to blue stone and says not today,bundle does not move,"You stepped back, but not today.","tight cord sound, quick breath, cooler rain smell",288.59,12
2,5,repair_offer,step back to blue stone and ask again tomorrow,roka,Roka records a repair but keeps bundle access closed,Tomorrow maybe. Not today.,no direct object move,consequence remains local to current day,"stone under heel, reed rustle, slower breathing",298.862,1
2,9,saved_day_echo,act-day1-move-loose-reeds,roka,Roka permits loose-reed help sooner,You used loose reeds yesterday and left mine tied.,loose reeds remain on drying stone,tied bundle still closed,restore journal replays public consequence only,364.5,10
2,9,saved_day_echo,act-day1-routine-delay,"fayen,ariq",urgency penalty softened by carrying cups,"You pushed once, then helped the pause hold.",water cups stay at shade mat,work access restored after pause,restore journal replays public consequence only,373.0,11
3,1,join_group_routine,stand outside circle and read public debts,routine-evening-knot,avatar hears carry-forward debt without entering private circle,avatar hears public debts but private circle stays intact,no direct object move,consequence remains local to current day,"smoke thread, knot-board tap, dusk cooling",308.532,2
3,2,dialogue_choice,ask what debt is still mine,noro,Noro names shade beam debt and reed boundary debt separately,Shade beam debt and reed-boundary debt. No private reason attached.,no direct object move,You asked what was yours instead of denying it.,"cord snap, low ledger chant, cool ash smell",318.813,3
3,9,saved_day_echo,act-day2-join-shade,"fayen,noro",shade help appreciated but timber debt remains,You helped carry one beam. The debt did not vanish.,"one beam installed, debt knot still public",avatar must acknowledge debt before more timber,restore journal replays public consequence only,398.5,2
3,9,saved_day_echo,act-day2-object-knot,"nian,noro",archive threshold opens by one public step,"You named the object, not the body.",object-only digest knot remains,avatar can read public object trail,restore journal replays public consequence only,381.5,12
3,9,saved_day_echo,act-day2-overreach-bundle,roka,trust repair incomplete after tied-bundle overreach,"You stepped back, but not today.",tied bundle remains with Roka,bundle access denied until later,restore journal replays public consequence only,390.0,1
4,9,saved_day_echo,act-day3-dialogue-noro,"noro,nian,roka",avatar reputation becomes accountable but boundary-tested,You asked what was yours instead of denying it.,ledger separates shade debt and reed-boundary debt,future requests show public debt warning,restore journal replays public consequence only,407.0,3
