tick,day,resident,schedule_key,memory_key,debt_key,consequence_key,snapshot_key,index_lookup,resident_filterable,crosslinks_complete
0,1,Nia,schedule:nia:d001:s00,nia:tool_loan:audit:d001:s00,debt:tool_loan:nia,cause:talk:resident:Nia:tick:00000,ssrm:v59:audit:snapshot:d001:t00000,resident=Nia|tick=0|memory=nia:tool_loan:audit:d001:s00|debt=debt:tool_loan:nia,True,True
1,1,Ari,schedule:ari:d001:s01,ari:repair_promise:audit:d001:s01,debt:repair_promise:ari,cause:offer_help:resident:Ari:tick:00001,ssrm:v59:audit:snapshot:d001:t00001,resident=Ari|tick=1|memory=ari:repair_promise:audit:d001:s01|debt=debt:repair_promise:ari,True,True
2,1,Fay,schedule:fay:d001:s02,fay:care_favor:audit:d001:s02,debt:care_favor:fay,cause:borrow_tool:resident:Fay:tick:00002,ssrm:v59:audit:snapshot:d001:t00002,resident=Fay|tick=2|memory=fay:care_favor:audit:d001:s02|debt=debt:care_favor:fay,True,True
3,1,Milo,schedule:milo:d001:s03,milo:tool_loan:audit:d001:s03,debt:tool_loan:milo,cause:return_tool:resident:Milo:tick:00003,ssrm:v59:audit:snapshot:d001:t00003,resident=Milo|tick=3|memory=milo:tool_loan:audit:d001:s03|debt=debt:tool_loan:milo,True,True
4,1,Sera,schedule:sera:d001:s04,sera:repair_promise:audit:d001:s04,debt:repair_promise:sera,cause:interrupt_work:resident:Sera:tick:00004,ssrm:v59:audit:snapshot:d001:t00004,resident=Sera|tick=4|memory=sera:repair_promise:audit:d001:s04|debt=debt:repair_promise:sera,True,True
5,1,Tovan,schedule:tovan:d001:s05,tovan:care_favor:audit:d001:s05,debt:care_favor:tovan,cause:wait_offscreen:resident:Tovan:tick:00005,ssrm:v59:audit:snapshot:d001:t00005,resident=Tovan|tick=5|memory=tovan:care_favor:audit:d001:s05|debt=debt:care_favor:tovan,True,True
6,1,Nia,schedule:nia:d001:s06,nia:tool_loan:audit:d001:s06,debt:tool_loan:nia,cause:repair_trust:resident:Nia:tick:00006,ssrm:v59:audit:snapshot:d001:t00006,resident=Nia|tick=6|memory=nia:tool_loan:audit:d001:s06|debt=debt:tool_loan:nia,True,True
7,1,Ari,schedule:ari:d001:s07,ari:repair_promise:audit:d001:s07,debt:repair_promise:ari,cause:move:resident:Ari:tick:00007,ssrm:v59:audit:snapshot:d001:t00007,resident=Ari|tick=7|memory=ari:repair_promise:audit:d001:s07|debt=debt:repair_promise:ari,True,True
8,1,Fay,schedule:fay:d001:s08,fay:care_favor:audit:d001:s08,debt:care_favor:fay,cause:talk:resident:Fay:tick:00008,ssrm:v59:audit:snapshot:d001:t00008,resident=Fay|tick=8|memory=fay:care_favor:audit:d001:s08|debt=debt:care_favor:fay,True,True
9,1,Milo,schedule:milo:d001:s09,milo:tool_loan:audit:d001:s09,debt:tool_loan:milo,cause:offer_help:resident:Milo:tick:00009,ssrm:v59:audit:snapshot:d001:t00009,resident=Milo|tick=9|memory=milo:tool_loan:audit:d001:s09|debt=debt:tool_loan:milo,True,True
10,1,Sera,schedule:sera:d001:s10,sera:repair_promise:audit:d001:s10,debt:repair_promise:sera,cause:borrow_tool:resident:Sera:tick:00010,ssrm:v59:audit:snapshot:d001:t00010,resident=Sera|tick=10|memory=sera:repair_promise:audit:d001:s10|debt=debt:repair_promise:sera,True,True
11,1,Tovan,schedule:tovan:d001:s11,tovan:care_favor:audit:d001:s11,debt:care_favor:tovan,cause:return_tool:resident:Tovan:tick:00011,ssrm:v59:audit:snapshot:d001:t00011,resident=Tovan|tick=11|memory=tovan:care_favor:audit:d001:s11|debt=debt:care_favor:tovan,True,True
12,1,Nia,schedule:nia:d001:s12,nia:tool_loan:audit:d001:s12,debt:tool_loan:nia,cause:interrupt_work:resident:Nia:tick:00012,ssrm:v59:audit:snapshot:d001:t00012,resident=Nia|tick=12|memory=nia:tool_loan:audit:d001:s12|debt=debt:tool_loan:nia,True,True
13,1,Ari,schedule:ari:d001:s13,ari:repair_promise:audit:d001:s13,debt:repair_promise:ari,cause:wait_offscreen:resident:Ari:tick:00013,ssrm:v59:audit:snapshot:d001:t00013,resident=Ari|tick=13|memory=ari:repair_promise:audit:d001:s13|debt=debt:repair_promise:ari,True,True
14,1,Fay,schedule:fay:d001:s14,fay:care_favor:audit:d001:s14,debt:care_favor:fay,cause:repair_trust:resident:Fay:tick:00014,ssrm:v59:audit:snapshot:d001:t00014,resident=Fay|tick=14|memory=fay:care_favor:audit:d001:s14|debt=debt:care_favor:fay,True,True
15,1,Milo,schedule:milo:d001:s15,milo:tool_loan:audit:d001:s15,debt:tool_loan:milo,cause:move:resident:Milo:tick:00015,ssrm:v59:audit:snapshot:d001:t00015,resident=Milo|tick=15|memory=milo:tool_loan:audit:d001:s15|debt=debt:tool_loan:milo,True,True
16,1,Sera,schedule:sera:d001:s16,sera:repair_promise:audit:d001:s16,debt:repair_promise:sera,cause:talk:resident:Sera:tick:00016,ssrm:v59:audit:snapshot:d001:t00016,resident=Sera|tick=16|memory=sera:repair_promise:audit:d001:s16|debt=debt:repair_promise:sera,True,True
17,1,Tovan,schedule:tovan:d001:s17,tovan:care_favor:audit:d001:s17,debt:care_favor:tovan,cause:offer_help:resident:Tovan:tick:00017,ssrm:v59:audit:snapshot:d001:t00017,resident=Tovan|tick=17|memory=tovan:care_favor:audit:d001:s17|debt=debt:care_favor:tovan,True,True
18,2,Nia,schedule:nia:d002:s00,nia:tool_loan:audit:d002:s00,debt:tool_loan:nia,cause:return_tool:resident:Nia:tick:00018,ssrm:v59:audit:snapshot:d002:t00018,resident=Nia|tick=18|memory=nia:tool_loan:audit:d002:s00|debt=debt:tool_loan:nia,True,True
19,2,Ari,schedule:ari:d002:s01,ari:repair_promise:audit:d002:s01,debt:repair_promise:ari,cause:interrupt_work:resident:Ari:tick:00019,ssrm:v59:audit:snapshot:d002:t00019,resident=Ari|tick=19|memory=ari:repair_promise:audit:d002:s01|debt=debt:repair_promise:ari,True,True
20,2,Fay,schedule:fay:d002:s02,fay:care_favor:audit:d002:s02,debt:care_favor:fay,cause:wait_offscreen:resident:Fay:tick:00020,ssrm:v59:audit:snapshot:d002:t00020,resident=Fay|tick=20|memory=fay:care_favor:audit:d002:s02|debt=debt:care_favor:fay,True,True
21,2,Milo,schedule:milo:d002:s03,milo:tool_loan:audit:d002:s03,debt:tool_loan:milo,cause:repair_trust:resident:Milo:tick:00021,ssrm:v59:audit:snapshot:d002:t00021,resident=Milo|tick=21|memory=milo:tool_loan:audit:d002:s03|debt=debt:tool_loan:milo,True,True
22,2,Sera,schedule:sera:d002:s04,sera:repair_promise:audit:d002:s04,debt:repair_promise:sera,cause:move:resident:Sera:tick:00022,ssrm:v59:audit:snapshot:d002:t00022,resident=Sera|tick=22|memory=sera:repair_promise:audit:d002:s04|debt=debt:repair_promise:sera,True,True
23,2,Tovan,schedule:tovan:d002:s05,tovan:care_favor:audit:d002:s05,debt:care_favor:tovan,cause:talk:resident:Tovan:tick:00023,ssrm:v59:audit:snapshot:d002:t00023,resident=Tovan|tick=23|memory=tovan:care_favor:audit:d002:s05|debt=debt:care_favor:tovan,True,True
24,2,Nia,schedule:nia:d002:s06,nia:tool_loan:audit:d002:s06,debt:tool_loan:nia,cause:offer_help:resident:Nia:tick:00024,ssrm:v59:audit:snapshot:d002:t00024,resident=Nia|tick=24|memory=nia:tool_loan:audit:d002:s06|debt=debt:tool_loan:nia,True,True
25,2,Ari,schedule:ari:d002:s07,ari:repair_promise:audit:d002:s07,debt:repair_promise:ari,cause:borrow_tool:resident:Ari:tick:00025,ssrm:v59:audit:snapshot:d002:t00025,resident=Ari|tick=25|memory=ari:repair_promise:audit:d002:s07|debt=debt:repair_promise:ari,True,True
26,2,Fay,schedule:fay:d002:s08,fay:care_favor:audit:d002:s08,debt:care_favor:fay,cause:return_tool:resident:Fay:tick:00026,ssrm:v59:audit:snapshot:d002:t00026,resident=Fay|tick=26|memory=fay:care_favor:audit:d002:s08|debt=debt:care_favor:fay,True,True
27,2,Milo,schedule:milo:d002:s09,milo:tool_loan:audit:d002:s09,debt:tool_loan:milo,cause:interrupt_work:resident:Milo:tick:00027,ssrm:v59:audit:snapshot:d002:t00027,resident=Milo|tick=27|memory=milo:tool_loan:audit:d002:s09|debt=debt:tool_loan:milo,True,True
28,2,Sera,schedule:sera:d002:s10,sera:repair_promise:audit:d002:s10,debt:repair_promise:sera,cause:wait_offscreen:resident:Sera:tick:00028,ssrm:v59:audit:snapshot:d002:t00028,resident=Sera|tick=28|memory=sera:repair_promise:audit:d002:s10|debt=debt:repair_promise:sera,True,True
29,2,Tovan,schedule:tovan:d002:s11,tovan:care_favor:audit:d002:s11,debt:care_favor:tovan,cause:repair_trust:resident:Tovan:tick:00029,ssrm:v59:audit:snapshot:d002:t00029,resident=Tovan|tick=29|memory=tovan:care_favor:audit:d002:s11|debt=debt:care_favor:tovan,True,True
30,2,Nia,schedule:nia:d002:s12,nia:tool_loan:audit:d002:s12,debt:tool_loan:nia,cause:move:resident:Nia:tick:00030,ssrm:v59:audit:snapshot:d002:t00030,resident=Nia|tick=30|memory=nia:tool_loan:audit:d002:s12|debt=debt:tool_loan:nia,True,True
31,2,Ari,schedule:ari:d002:s13,ari:repair_promise:audit:d002:s13,debt:repair_promise:ari,cause:talk:resident:Ari:tick:00031,ssrm:v59:audit:snapshot:d002:t00031,resident=Ari|tick=31|memory=ari:repair_promise:audit:d002:s13|debt=debt:repair_promise:ari,True,True
32,2,Fay,schedule:fay:d002:s14,fay:care_favor:audit:d002:s14,debt:care_favor:fay,cause:offer_help:resident:Fay:tick:00032,ssrm:v59:audit:snapshot:d002:t00032,resident=Fay|tick=32|memory=fay:care_favor:audit:d002:s14|debt=debt:care_favor:fay,True,True
