tick,day,loop_id,participants,loop_phase,counteroffer_count,revision_count,unresolved_tension,convergence_score,loop_completed,avatar_not_primary_author
0,1,v18-loop-001,Keth|Nari|Vonn,counteroffer,2,1,0.43,0.7012,0,0
1,1,v18-loop-001,Melo|Ori,counteroffer,3,1,0.4,0.786,1,1
2,1,v18-loop-001,Nari|Vonn,witness,3,0,0.5,0.68,1,1
3,1,v18-loop-001,Ori|Sova,counteroffer,5,1,0.4,0.946,1,1
4,1,v18-loop-001,Vonn|Keth,state_boundary,1,1,0.4,0.626,0,1
5,1,v18-loop-001,Sova|Melo|Ori,accept,2,2,0.34,0.8056,1,1
6,1,v18-loop-002,Keth|Nari,witness,3,1,0.4,0.786,1,1
7,1,v18-loop-002,Melo|Ori,counteroffer,5,2,0.34,1.0,1,1
8,1,v18-loop-002,Nari|Vonn,state_boundary,1,1,0.4,0.626,0,1
9,1,v18-loop-002,Ori|Sova,accept,2,2,0.34,0.8056,1,1
10,1,v18-loop-002,Vonn|Keth|Nari,accept,3,2,0.34,0.8856,1,1
11,1,v18-loop-002,Sova|Melo,counteroffer,5,2,0.34,1.0,1,1
12,2,v18-loop-003,Melo|Ori,state_boundary,2,0,0.41,0.6144,0,1
13,2,v18-loop-003,Nari|Vonn,witness,3,0,0.41,0.6944,1,1
14,2,v18-loop-003,Ori|Sova,witness,5,1,0.35,0.954,1,1
15,2,v18-loop-003,Vonn|Keth|Nari,revise,6,1,0.39,1.0,1,1
16,2,v18-loop-003,Sova|Melo,revise,3,2,0.29,0.8936,1,1
17,2,v18-loop-003,Keth|Nari,accept,3,2,0.29,0.8936,1,1
18,2,v18-loop-004,Melo|Ori,witness,4,1,0.35,0.874,1,1
19,2,v18-loop-004,Nari|Vonn,counteroffer,6,2,0.32,1.0,1,1
20,2,v18-loop-004,Ori|Sova|Melo,state_boundary,1,1,0.4,0.626,0,1
21,2,v18-loop-004,Vonn|Keth,repair,4,2,0.29,0.9736,1,1
22,2,v18-loop-004,Sova|Melo,clarify,4,1,0.39,0.8676,1,1
23,2,v18-loop-004,Keth|Nari,witness,5,1,0.35,0.954,1,1
24,3,v18-loop-005,Nari|Vonn,clarify,2,0,0.45,0.608,0,1
25,3,v18-loop-005,Ori|Sova|Melo,clarify,3,0,0.45,0.688,1,1
26,3,v18-loop-005,Vonn|Keth,counteroffer,5,1,0.35,0.954,1,1
27,3,v18-loop-005,Sova|Melo,revise,6,1,0.35,1.0,1,1
28,3,v18-loop-005,Keth|Nari,witness,3,2,0.33,0.8872,1,1
29,3,v18-loop-005,Melo|Ori,accept,3,2,0.29,0.8936,1,0
30,3,v18-loop-006,Nari|Vonn|Keth,witness,4,1,0.35,0.874,1,1
31,3,v18-loop-006,Ori|Sova,clarify,5,1,0.39,0.9476,0,1
32,3,v18-loop-006,Vonn|Keth,state_boundary,2,1,0.35,0.714,1,1
