event_id,week,day,source_household,target_household,contact_kind,contact_strength,trust_path,boundary_friction,welfare_context,vibration_hz,flower_phase_deg
1,1,1,Hearthnest,Marketroof,repair_aid,0.612704,0.7512,0.0956,ordinary_exchange,2.413907,215.227764
2,1,1,Routehall,Quietledger,teaching_circle,0.633718,0.7416,0.1148,ordinary_exchange,2.142259,349.795528
3,1,1,Marketroof,Orchardring,shared_meal,0.625557,0.7512,0.0932,recovery_contact,2.484525,133.603292
4,1,1,Quietledger,Rainloft,trade_visit,0.642326,0.7384,0.11,ordinary_exchange,2.135215,262.081056
5,1,1,Orchardring,Hearthnest,repair_aid,0.655105,0.7528,0.1064,ordinary_exchange,2.423903,47.14882
6,1,1,Rainloft,Routehall,teaching_circle,0.65835,0.7384,0.104,ordinary_exchange,2.215243,178.566584
7,1,2,Hearthnest,Quietledger,trade_visit,0.645892,0.7416,0.1148,ordinary_exchange,2.253981,320.274348
8,1,2,Routehall,Orchardring,repair_aid,0.651258,0.7464,0.0932,ordinary_exchange,2.36497,94.842112
9,1,2,Marketroof,Rainloft,teaching_circle,0.649884,0.7384,0.11,ordinary_exchange,2.368169,238.649876
10,1,2,Quietledger,Hearthnest,shared_meal,0.668025,0.7416,0.1064,recovery_contact,2.248651,7.12764
11,1,2,Orchardring,Routehall,trade_visit,0.656929,0.7464,0.104,ordinary_exchange,2.351595,152.195404
12,1,2,Rainloft,Marketroof,repair_aid,0.653563,0.7384,0.0956,ordinary_exchange,2.347282,283.613168
13,1,3,Hearthnest,Orchardring,shared_meal,0.65098,0.7528,0.0932,recovery_contact,2.401085,65.320932
14,1,3,Routehall,Rainloft,trade_visit,0.635688,0.7384,0.11,ordinary_exchange,2.173449,199.888696
15,1,3,Marketroof,Hearthnest,repair_aid,0.641746,0.7512,0.1064,ordinary_exchange,2.409878,343.69646
16,1,3,Quietledger,Routehall,teaching_circle,0.645147,0.7416,0.104,ordinary_exchange,2.110914,112.174224
17,1,3,Orchardring,Marketroof,shared_meal,0.633228,0.7512,0.0956,recovery_contact,2.427112,257.241988
18,1,3,Rainloft,Quietledger,trade_visit,0.617781,0.7384,0.1148,ordinary_exchange,2.054024,28.659752
19,1,4,Hearthnest,Rainloft,teaching_circle,0.60699,0.7384,0.11,ordinary_exchange,2.17717,170.367516
20,1,4,Routehall,Hearthnest,shared_meal,0.599544,0.7464,0.1064,recovery_contact,2.197024,304.93528
21,1,4,Marketroof,Routehall,trade_visit,0.611208,0.7464,0.104,ordinary_exchange,2.26899,88.743044
22,1,4,Quietledger,Marketroof,repair_aid,0.607999,0.7416,0.0956,ordinary_exchange,2.198388,217.220808
23,1,4,Orchardring,Quietledger,teaching_circle,0.601262,0.7416,0.1148,ordinary_exchange,2.160442,2.288572
24,1,4,Rainloft,Orchardring,shared_meal,0.581984,0.7384,0.0932,recovery_contact,2.195268,133.706336
25,1,5,Hearthnest,Routehall,repair_aid,0.583723,0.7464,0.104,ordinary_exchange,2.182875,275.4141
26,1,5,Routehall,Marketroof,teaching_circle,0.577193,0.7464,0.0956,ordinary_exchange,2.268158,49.981864
27,1,5,Marketroof,Quietledger,shared_meal,0.579566,0.7416,0.1148,recovery_contact,2.210906,193.789628
28,1,5,Quietledger,Orchardring,trade_visit,0.583924,0.7416,0.0932,ordinary_exchange,2.185811,322.267392
29,1,5,Orchardring,Rainloft,repair_aid,0.593567,0.7384,0.11,ordinary_exchange,2.232478,107.335156
30,1,5,Rainloft,Hearthnest,teaching_circle,0.568094,0.7384,0.1064,ordinary_exchange,2.200441,238.75292
31,1,6,Hearthnest,Routehall,trade_visit,0.594968,0.7464,0.104,ordinary_exchange,2.244184,20.460684
32,1,6,Routehall,Marketroof,repair_aid,0.589211,0.7464,0.0956,ordinary_exchange,2.338158,155.028448
33,1,6,Marketroof,Quietledger,teaching_circle,0.600576,0.7416,0.1148,ordinary_exchange,2.286808,298.836212
34,1,6,Quietledger,Orchardring,shared_meal,0.595134,0.7416,0.0932,recovery_contact,2.264588,67.313976
35,1,6,Orchardring,Rainloft,trade_visit,0.61549,0.7384,0.11,ordinary_exchange,2.310989,212.38174
36,1,6,Rainloft,Hearthnest,repair_aid,0.614041,0.7384,0.1064,ordinary_exchange,2.275557,343.799504
37,2,1,Hearthnest,Quietledger,boundary_warning,0.489283,0.4216,0.4548,careful_contact,2.24791,154.507268
38,2,1,Routehall,Orchardring,ritual_guest,0.617481,0.7464,0.0932,recovery_contact,2.362754,289.075032
39,2,1,Marketroof,Rainloft,weather_warning,0.498099,0.4984,0.45,careful_contact,2.369898,72.882796
40,2,1,Quietledger,Hearthnest,avatar_story,0.507902,0.5016,0.4464,careful_contact,2.254255,201.36056
41,2,1,Orchardring,Routehall,boundary_warning,0.518294,0.4264,0.444,careful_contact,2.360851,346.428324
42,2,1,Rainloft,Marketroof,ritual_guest,0.639533,0.7384,0.0956,recovery_contact,2.359822,117.846088
43,2,2,Hearthnest,Orchardring,avatar_story,0.539706,0.5128,0.4332,careful_contact,2.416408,259.553852
44,2,2,Routehall,Rainloft,boundary_warning,0.533493,0.4184,0.45,careful_contact,2.190944,34.121616
45,2,2,Marketroof,Hearthnest,ritual_guest,0.649068,0.7512,0.1064,recovery_contact,2.428848,177.92938
46,2,2,Quietledger,Routehall,weather_warning,0.543024,0.5016,0.444,careful_contact,2.130602,306.407144
47,2,2,Orchardring,Marketroof,avatar_story,0.527505,0.5112,0.4356,careful_contact,2.446734,91.474908
48,2,2,Rainloft,Quietledger,boundary_warning,0.548703,0.4184,0.4548,careful_contact,2.072797,222.892672
49,2,3,Hearthnest,Rainloft,weather_warning,0.533518,0.4984,0.45,careful_contact,2.194346,4.600436
50,2,3,Routehall,Hearthnest,avatar_story,0.523506,0.5064,0.4464,careful_contact,2.211919,139.1682
51,2,3,Marketroof,Routehall,boundary_warning,0.543763,0.4264,0.444,careful_contact,2.281009,282.975964
52,2,3,Quietledger,Marketroof,ritual_guest,0.635855,0.7416,0.0956,recovery_contact,2.207052,51.453728
53,2,3,Orchardring,Quietledger,weather_warning,0.529751,0.5016,0.4548,careful_contact,2.165406,196.521492
54,2,3,Rainloft,Orchardring,avatar_story,0.529735,0.4984,0.4332,careful_contact,2.196334,327.939256
55,2,4,Hearthnest,Routehall,ritual_guest,0.625149,0.7464,0.104,recovery_contact,2.180001,109.64702
56,2,4,Routehall,Marketroof,weather_warning,0.506905,0.5064,0.4356,careful_contact,2.261458,244.214784
57,2,4,Marketroof,Quietledger,avatar_story,0.486621,0.5016,0.4548,careful_contact,2.200647,28.022548
58,2,4,Quietledger,Orchardring,boundary_warning,0.484341,0.4216,0.4332,careful_contact,2.172402,156.500312
59,2,4,Orchardring,Rainloft,ritual_guest,0.599438,0.7384,0.11,recovery_contact,2.216453,301.568076
60,2,4,Rainloft,Hearthnest,weather_warning,0.471362,0.4984,0.4464,careful_contact,2.18244,72.98584
61,2,5,Hearthnest,Routehall,boundary_warning,0.460494,0.4264,0.444,careful_contact,2.224924,214.693604
62,2,5,Routehall,Marketroof,ritual_guest,0.581908,0.7464,0.0956,recovery_contact,2.318408,349.261368
63,2,5,Marketroof,Quietledger,weather_warning,0.457384,0.5016,0.4548,careful_contact,2.267354,133.069132
64,2,5,Quietledger,Orchardring,avatar_story,0.449342,0.5016,0.4332,careful_contact,2.246206,261.546896
65,2,5,Orchardring,Rainloft,boundary_warning,0.449782,0.4184,0.45,careful_contact,2.294412,46.61466
66,2,5,Rainloft,Hearthnest,ritual_guest,0.591501,0.7384,0.1064,recovery_contact,2.261445,178.032424
67,2,6,Hearthnest,Marketroof,avatar_story,0.457607,0.5112,0.4356,careful_contact,2.451826,319.740188
68,2,6,Routehall,Quietledger,boundary_warning,0.469601,0.4216,0.4548,careful_contact,2.175141,94.307952
69,2,6,Marketroof,Orchardring,ritual_guest,0.576087,0.7512,0.0932,recovery_contact,2.511059,238.115716
