tick_id,day,settlement_id,object_id,lender_id,borrower_id,witness_id,loan_start_day,due_day,days_overdue,default_state,custody_holder,debt_before,debt_after,trust_before,trust_after,default_visible,repair_available,bounded_default
56,4,riverbend,binding cord,Cee,Nox,Ari,2,4,1,late,Lio,0.086,0.098,0.666,0.66,True,True,True
60,4,orchard,dry cord,Pim,Suf,Ivo,2,4,1,late,Mara,0.1,0.112,0.65,0.644,True,True,True
64,4,archive,memory tag,Vell,Rin,Nia,2,4,1,late,Toma,0.101,0.113,0.65,0.644,True,True,True
68,4,riverbend,binding cord,Cee,Nox,Ari,2,4,1,late,Lio,0.104,0.116,0.657,0.651,True,True,True
73,5,riverbend,binding cord,Cee,Cee,Nox,2,4,1,late,Lio,0.124,0.136,0.663,0.657,True,True,True
74,5,roofward,shade cloth,Bex,Bex,Fay,2,5,1,late,Orr,0.113,0.125,0.658,0.652,True,True,True
77,5,orchard,dry cord,Pim,Pim,Suf,2,4,1,late,Mara,0.096,0.108,0.658,0.652,True,True,True
78,5,repair_ring,cool cloth,Wren,Wren,Juno,2,5,1,late,Vale,0.108,0.12,0.633,0.627,True,True,True
81,5,archive,memory tag,Vell,Vell,Rin,2,4,1,late,Toma,0.104,0.116,0.641,0.635,True,True,True
82,5,signal,wind wrap,Oda,Oda,Milo,2,5,1,late,Kesh,0.14,0.152,0.663,0.657,True,True,True
85,5,riverbend,binding cord,Cee,Cee,Nox,2,4,1,late,Lio,0.142,0.154,0.654,0.648,True,True,True
86,5,roofward,shade cloth,Bex,Bex,Fay,2,5,1,late,Orr,0.125,0.137,0.652,0.646,True,True,True
89,5,orchard,dry cord,Pim,Pim,Suf,2,4,1,late,Mara,0.088,0.1,0.66,0.654,True,True,True
90,6,riverbend,binding cord,Cee,Lio,Cee,2,4,2,defaulted,Lio,0.124,0.148,0.663,0.651,True,True,True
91,6,roofward,shade cloth,Bex,Orr,Bex,2,5,1,late,Orr,0.096,0.108,0.658,0.652,True,True,True
92,6,archive,signal spool,Nia,Rin,Nia,3,6,1,late,Vell,0.119,0.131,0.641,0.635,True,True,True
94,6,orchard,dry cord,Pim,Mara,Pim,2,4,2,defaulted,Mara,0.098,0.122,0.628,0.616,True,True,True
95,6,repair_ring,cool cloth,Wren,Vale,Wren,2,5,1,late,Vale,0.108,0.12,0.633,0.627,True,True,True
96,6,riverbend,cedar plank,Ari,Nox,Ari,4,6,1,late,Lio,0.116,0.128,0.651,0.645,True,True,True
98,6,archive,memory tag,Vell,Toma,Vell,2,4,2,defaulted,Toma,0.088,0.112,0.641,0.629,True,True,True
100,6,orchard,seed satchel,Ivo,Suf,Ivo,3,6,1,late,Pim,0.092,0.104,0.652,0.646,True,True,True
102,6,riverbend,binding cord,Cee,Lio,Cee,2,4,2,defaulted,Lio,0.154,0.178,0.648,0.636,True,True,True
103,6,roofward,shade cloth,Bex,Orr,Bex,2,5,1,late,Orr,0.108,0.12,0.652,0.646,True,True,True
104,6,archive,signal spool,Nia,Rin,Nia,3,6,1,late,Vell,0.131,0.143,0.635,0.629,True,True,True
106,6,orchard,dry cord,Pim,Mara,Pim,2,4,2,defaulted,Mara,0.102,0.126,0.624,0.612,True,True,True
107,6,repair_ring,cool cloth,Wren,Vale,Wren,2,5,1,late,Vale,0.126,0.138,0.624,0.618,True,True,True
108,7,roofward,shade cloth,Bex,Sera,Orr,2,5,2,defaulted,Orr,0.046,0.07,0.652,0.64,True,True,True
109,7,archive,signal spool,Nia,Vell,Rin,3,6,1,late,Vell,0.122,0.134,0.632,0.626,True,True,True
110,7,signal,oil lantern,Ren,Oda,Milo,3,7,1,late,Oda,0.152,0.164,0.657,0.651,True,True,True
111,7,orchard,dry cord,Pim,Ivo,Mara,2,4,3,defaulted,Mara,0.114,0.15,0.658,0.64,True,True,True
112,7,repair_ring,cool cloth,Wren,Pax,Vale,2,5,2,defaulted,Vale,0.079,0.103,0.679,0.667,True,True,True
113,7,riverbend,cedar plank,Ari,Cee,Nox,4,6,1,late,Lio,0.154,0.166,0.648,0.642,True,True,True
114,7,roofward,herb ledger,Sera,Bex,Fay,3,7,1,late,Bex,0.137,0.149,0.646,0.64,True,True,True
115,7,archive,memory tag,Vell,Nia,Toma,2,4,3,defaulted,Toma,0.109,0.145,0.663,0.645,True,True,True
116,7,signal,wind wrap,Oda,Ren,Kesh,2,7,1,late,Kesh,0.059,0.071,0.687,0.681,True,True,True
117,7,orchard,seed satchel,Ivo,Pim,Suf,3,6,1,late,Pim,0.106,0.118,0.651,0.645,True,True,True
118,7,repair_ring,copper wire,Pax,Wren,Juno,2,7,1,late,Juno,0.126,0.138,0.624,0.618,True,True,True
119,7,riverbend,binding cord,Cee,Ari,Lio,2,4,3,defaulted,Lio,0.079,0.115,0.679,0.661,True,True,True
120,7,roofward,shade cloth,Bex,Sera,Orr,2,5,2,defaulted,Orr,0.071,0.095,0.64,0.628,True,True,True
121,7,archive,signal spool,Nia,Vell,Rin,3,6,1,late,Vell,0.134,0.146,0.626,0.62,True,True,True
122,7,signal,oil lantern,Ren,Oda,Milo,3,7,1,late,Oda,0.15,0.162,0.667,0.661,True,True,True
123,7,orchard,dry cord,Pim,Ivo,Mara,2,4,3,defaulted,Mara,0.13,0.166,0.648,0.63,True,True,True
