tick,day,resident,resource_name,resource_before,resource_after,item_name,item_before,item_after,widget_patch,visible_delta,localstorage_written
0,1,Sera,fiber,25,24,patch kit,4,3,"{""after"": 24, ""before"": 25, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""fiber""}",fiber:-1; patch kit:-1,True
1,1,Tovan,wood,26,27,dry cloak,1,1,"{""after"": 27, ""before"": 26, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:+1; dry cloak:+0,True
2,1,Nia,stone,27,26,sealed jar,3,3,"{""after"": 26, ""before"": 27, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:-1; sealed jar:+0,True
3,1,Ari,copper,28,29,patch kit,4,3,"{""after"": 29, ""before"": 28, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:+1; patch kit:-1,True
4,1,Fay,herb,29,28,dry cloak,1,2,"{""after"": 28, ""before"": 29, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:-1; dry cloak:+1,True
5,1,Milo,charcoal,30,31,sealed jar,3,3,"{""after"": 31, ""before"": 30, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""charcoal""}",charcoal:+1; sealed jar:+0,True
6,1,Sera,water,31,30,patch kit,0,1,"{""after"": 30, ""before"": 31, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""water""}",water:-1; patch kit:+1,True
7,1,Tovan,fiber,9,10,dry cloak,2,2,"{""after"": 10, ""before"": 9, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""fiber""}",fiber:+1; dry cloak:+0,True
8,1,Nia,wood,10,9,sealed jar,4,4,"{""after"": 9, ""before"": 10, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""wood""}",wood:-1; sealed jar:+0,True
9,1,Ari,stone,11,12,patch kit,0,0,"{""after"": 12, ""before"": 11, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""stone""}",stone:+1; patch kit:+0,True
10,1,Fay,copper,12,11,dry cloak,2,2,"{""after"": 11, ""before"": 12, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:-1; dry cloak:+0,True
11,1,Milo,herb,13,14,sealed jar,4,5,"{""after"": 14, ""before"": 13, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""herb""}",herb:+1; sealed jar:+1,True
12,1,Sera,charcoal,14,13,patch kit,1,0,"{""after"": 13, ""before"": 14, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:-1; patch kit:-1,True
13,1,Tovan,water,15,16,dry cloak,3,4,"{""after"": 16, ""before"": 15, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""water""}",water:+1; dry cloak:+1,True
14,1,Nia,fiber,16,15,sealed jar,0,0,"{""after"": 15, ""before"": 16, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""fiber""}",fiber:-1; sealed jar:+0,True
15,1,Ari,wood,17,18,patch kit,1,0,"{""after"": 18, ""before"": 17, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:+1; patch kit:-1,True
