tick_id,day,agent_id,my_body_score,my_object_score,my_home_score,my_choice_score,boundary_pressure,autonomy_pressure,felt_respect,self_confidence,social_face,boundary_phrase_public,self_boundary_intact
0,1,Ari,0.8148,0.8192,0.7792,0.8065,0.305,0.535,0.515,0.574,0.485,I can stay with this.,True
2,1,Nia,0.8148,0.8444,0.7504,0.7905,0.305,0.695,0.545,0.574,0.485,I need room to choose.,True
4,1,Ivo,0.8148,0.8318,0.7776,0.8165,0.175,0.435,0.65,0.574,0.522,I can stay with this.,True
7,1,Fay,0.8148,0.7976,0.7712,0.8235,0.175,0.365,0.72,0.574,0.522,I can stay with this.,True
9,1,Milo,0.8148,0.8156,0.7584,0.7926,0.226,0.674,0.565,0.574,0.522,That is mine; ask before touching it.,True
11,1,Juno,0.819,0.8048,0.7408,0.7915,0.226,0.685,0.665,0.595,0.522,I need room to choose.,True
12,2,Ari,0.8156,0.8192,0.7792,0.8061,0.311,0.539,0.55,0.578,0.487,That is mine; ask before touching it.,True
14,2,Nia,0.8156,0.8444,0.7504,0.7901,0.311,0.699,0.557,0.578,0.487,I need room to choose.,True
16,2,Ivo,0.8198,0.8318,0.7776,0.8161,0.13,0.439,0.71,0.599,0.524,I can stay with this.,True
17,2,Juno,0.8198,0.8048,0.7408,0.7911,0.232,0.689,0.677,0.599,0.524,I need room to choose.,True
19,2,Fay,0.8198,0.7976,0.7712,0.8231,0.13,0.369,0.78,0.599,0.524,I can stay with this.,True
21,2,Milo,0.8156,0.8156,0.7584,0.7871,0.311,0.729,0.5,0.578,0.524,That is mine; ask before touching it.,True
23,2,Juno,0.8206,0.8048,0.7408,0.7907,0.238,0.693,0.712,0.603,0.526,That is mine; ask before touching it.,True
24,3,Ari,0.8206,0.8192,0.7792,0.8086,0.317,0.514,0.585,0.603,0.489,I can stay with this.,True
26,3,Nia,0.8164,0.8444,0.7504,0.7926,0.266,0.674,0.617,0.582,0.515,I need room to choose.,True
28,3,Ivo,0.8206,0.8318,0.7776,0.8157,0.136,0.443,0.722,0.603,0.526,I can stay with this.,True
31,3,Fay,0.8206,0.7976,0.7712,0.8227,0.136,0.373,0.792,0.603,0.526,I can stay with this.,True
33,3,Milo,0.8164,0.8156,0.7584,0.7816,0.396,0.784,0.435,0.582,0.489,I need room to choose.,True
34,3,Ivo,0.8256,0.8318,0.7776,0.8182,0.142,0.418,0.757,0.628,0.528,I can stay with this.,True
35,3,Juno,0.8256,0.8048,0.7408,0.7932,0.244,0.668,0.747,0.628,0.528,I need room to choose.,True
36,4,Ari,0.8214,0.8192,0.7792,0.8031,0.402,0.569,0.52,0.607,0.491,That is mine; ask before touching it.,True
38,4,Nia,0.8172,0.8444,0.7504,0.7922,0.221,0.678,0.677,0.586,0.517,I need room to choose.,True
39,4,Milo,0.8214,0.8156,0.7584,0.7812,0.351,0.788,0.495,0.607,0.491,I need room to choose.,True
40,4,Ivo,0.8264,0.8318,0.7776,0.8178,0.148,0.422,0.769,0.632,0.53,I can stay with this.,True
43,4,Fay,0.8214,0.7976,0.7712,0.8223,0.142,0.377,0.804,0.607,0.528,I can stay with this.,True
45,4,Milo,0.8178,0.8156,0.7584,0.7757,0.436,0.843,0.43,0.589,0.456,I need room to choose.,True
47,4,Juno,0.8264,0.8048,0.7408,0.7877,0.329,0.723,0.682,0.632,0.53,That is mine; ask before touching it.,True
48,5,Ari,0.8222,0.8192,0.7792,0.7976,0.487,0.624,0.455,0.611,0.456,I need room to choose.,True
50,5,Nia,0.818,0.8444,0.7504,0.7947,0.176,0.653,0.737,0.59,0.519,I need room to choose.,True
52,5,Ivo,0.8272,0.8318,0.7776,0.8174,0.154,0.426,0.804,0.636,0.532,That is mine; ask before touching it.,True
