seed,experiment_id,proposal_id,era,era_day,resident,source_belief_id,materials,effect,effect_kind,failure,safety_event,utility_score,preserved_failure,true_law_exposed,predeclared_device
36217,36217-EXP-001,36217-PROP-00-4047,week_01,7,Ari,36217-BEL-000,clay_jar+iron_sand,nothing repeated clearly,unclear,True,False,0.0,True,False,False
36217,36217-EXP-002,36217-PROP-01-1026,moon_02,42,Milo,36217-BEL-001,ash_glass+reed_fiber,loose fiber jumped after rubbing,jump,False,False,0.6,False,False,False
36217,36217-EXP-003,36217-PROP-02-6830,season_01,120,Sera,36217-BEL-002,reed_fiber+wet_wood,smoke appeared and the test was stopped,risk,True,True,0.0,True,False,False
36217,36217-EXP-004,36217-PROP-03-4805,year_01,365,Sera,36217-BEL-003,reed_fiber+red_scrap,nothing repeated clearly,unclear,True,False,0.0,True,False,False
36217,36217-EXP-005,36217-PROP-04-8057,year_03,1095,Milo,36217-BEL-004,clay_jar+dry_resin,loose fiber jumped after rubbing,jump,False,False,0.6,False,False,False
36217,36217-EXP-006,36217-PROP-05-8391,generation_02,9125,Sera,36217-BEL-005,clay_jar+ash_glass,a tool edge cracked before the sign returned,breakage,True,True,0.0,True,False,False
36217,36217-EXP-007,36217-PROP-06-3679,generation_04,18250,Milo,36217-BEL-006,reed_fiber+ash_glass,loose fiber jumped after rubbing,jump,False,False,0.6,False,False,False
36231,36231-EXP-001,36231-PROP-00-5854,week_01,7,Nia,36231-BEL-000,dry_resin+clay_jar,loose fiber jumped after rubbing,jump,False,False,0.6,False,False,False
36231,36231-EXP-002,36231-PROP-01-6822,moon_02,42,Fay,36231-BEL-001,wet_wood+red_scrap,nothing repeated clearly,unclear,True,False,0.0,True,False,False
36231,36231-EXP-003,36231-PROP-02-5029,season_01,120,Fay,36231-BEL-002,red_scrap+ash_glass,nothing repeated clearly,unclear,True,False,0.0,True,False,False
36231,36231-EXP-004,36231-PROP-03-4762,year_01,365,Tovan,36231-BEL-003,clay_jar+iron_sand,nothing repeated clearly,unclear,True,False,0.0,True,False,False
