resident,label,kind,confidence,source,evidence,contradiction_count,social_trust,personally_witnessed,modern_concept,direct_avatar_command
Fay,water-anger-taboo-warning,ritualized,0.78,heard from Tovan,['loose fiber jumped after rubbing'],0,0.449,False,False,False
Nia,water-anger-craft,useful_wrong,0.593,heard from Milo,['loose fiber jumped after rubbing'],0,0.569,False,False,False
Milo,cloak ghost-omen,skeptical,0.718,heard from Sera,['dark grains crawled toward the red scrap'],0,0.519,False,False,False
Tovan,water-anger-taboo,ritualized,0.721,heard from Milo,"['loose fiber jumped after rubbing', 'loose fiber jumped after rubbing']",0,0.617,False,False,False
Sera,cloak ghost,skeptical,0.629,social transmission,"['smoke appeared and the test was stopped', 'dark grains crawled toward the red scrap']",0,0.455,False,False,False
Sera,smoke warning,practical,0.347,36231-OBS-01,['smoke appeared and the test was stopped'],0,0.639,True,False,False
Fay,jar omen,skeptical,0.207,social transmission,"['smoke appeared and the test was stopped', 'nothing repeated clearly']",1,0.5,False,False,False
Milo,jar omen-path,skeptical,0.249,heard from Fay,['nothing repeated clearly'],2,0.603,False,False,False
Tovan,route sign,fearful,0.449,social transmission,"['smoke appeared and the test was stopped', 'loose fiber jumped after rubbing', 'smoke appeared and the test was stopped', 'dark grains crawled toward the red scrap', 'smoke appeared and the test was stopped']",2,0.477,False,False,False
Nia,route sign-craft,ritualized,0.498,heard from Tovan,['smoke appeared and the test was stopped'],2,0.455,False,False,False
Ari,route sign-omen,ritualized,0.457,heard from Tovan,['dark grains crawled toward the red scrap'],1,0.66,False,False,False
Fay,herb-jump,skeptical,0.73,36247-OBS-01,"['smoke appeared and the test was stopped', 'loose fiber jumped after rubbing', 'loose fiber jumped after rubbing']",0,0.64,True,False,False
Milo,herb-jump-omen,skeptical,0.661,heard from Fay,['loose fiber jumped after rubbing'],0,0.585,False,False,False
Nia,handspan bite-taboo,ritualized,0.445,heard from Milo,"['nothing repeated clearly', 'wet pieces dulled the effect and left only a sting']",3,0.647,False,False,False
Sera,herb-jump-trick,practical,0.625,heard from Fay,"['loose fiber jumped after rubbing', 'nothing repeated clearly']",1,0.573,False,False,False
Tovan,handspan bite-taboo-trick,ritualized,0.465,heard from Nia,['wet pieces dulled the effect and left only a sting'],3,0.613,False,False,False
Nia,water-anger-warning,practical,0.359,heard from Milo,['wet pieces dulled the effect and left only a sting'],1,0.537,False,False,False
Fay,grain pull-omen,practical,0.458,heard from Nia,['nothing repeated clearly'],1,0.679,False,False,False
Milo,water-anger,skeptical,0.311,social transmission,"['smoke appeared and the test was stopped', 'wet pieces dulled the effect and left only a sting']",1,0.62,False,False,False
Sera,smoke warning,practical,0.263,social transmission,"['smoke appeared and the test was stopped', 'nothing repeated clearly']",1,0.651,False,False,False
Tovan,smoke warning-path,skeptical,0.298,heard from Sera,"['nothing repeated clearly', 'dark grains crawled toward the red scrap']",2,0.616,False,False,False
Ari,smoke warning-path-path,useful_wrong,0.335,heard from Tovan,['dark grains crawled toward the red scrap'],2,0.581,False,False,False
Nia,glass sleep,fearful,0.578,36281-OBS-01,['smoke appeared and the test was stopped'],0,0.534,True,False,False
Ari,roof-snap-omen-taboo,ritualized,0.379,heard from Milo,['nothing repeated clearly'],2,0.699,False,False,False
Milo,roof-snap-omen,useful_wrong,0.386,heard from Ari,"['dark grains crawled toward the red scrap', 'dark grains crawled toward the red scrap', 'nothing repeated clearly']",1,0.59,False,False,False
Sera,roof-snap-craft,useful_wrong,0.563,heard from Ari,['the sharp bite carried farther than a handspan'],0,0.589,False,False,False
Tovan,storm crumb,useful_wrong,0.225,social transmission,"['smoke appeared and the test was stopped', 'smoke appeared and the test was stopped']",1,0.661,False,False,False
Fay,storm crumb-warning,skeptical,0.172,heard from Tovan,['smoke appeared and the test was stopped'],2,0.625,False,False,False
Fay,jar omen,skeptical,0.498,36307-OBS-01,"['smoke appeared and the test was stopped', 'nothing repeated clearly', 'nothing repeated clearly', 'dark grains crawled toward the red scrap']",2,0.649,True,False,False
Nia,handspan bite-taboo,ritualized,0.5,heard from Milo,['loose fiber jumped after rubbing'],0,0.498,False,False,False
Tovan,handspan bite-path,ritualized,0.474,heard from Milo,['loose fiber jumped after rubbing'],0,0.695,False,False,False
Milo,handspan bite,practical,0.477,social transmission,"['smoke appeared and the test was stopped', 'loose fiber jumped after rubbing', 'loose fiber jumped after rubbing']",0,0.457,False,False,False
Ari,jar omen-craft,useful_wrong,0.444,heard from Fay,['dark grains crawled toward the red scrap'],2,0.584,False,False,False
