tick,event_type,actor,zone,public_fact,private_digest,action,resource_effect,rumor_effect,trust_effect,readable_marker,vibration_hz,flower_phase
3,resource_stock,council ledger,warm alcove,warm blankets available 7.0/10.0,sealed:stock-body-need-details,open scarcity ledger with access constraint,scarcity pressure 0.469; wear risk 0.180,rumor risk rises if resource ledger is missing,trust depends on visible stock and private need protection,agents glance at resource shelf before speaking,142.881899,1
4,resource_stock,council ledger,clinic shelf,named dry cups available 9.0/12.0,sealed:stock-body-need-details,open scarcity ledger with access constraint,scarcity pressure 0.303; wear risk 0.060,rumor risk rises if resource ledger is missing,trust depends on visible stock and private need protection,agents glance at resource shelf before speaking,157.141473,2
5,resource_stock,council ledger,tool shed,repair tools available 4.0/8.0,sealed:stock-body-need-details,open scarcity ledger with access constraint,scarcity pressure 0.701; wear risk 0.210,rumor risk rises if resource ledger is missing,trust depends on visible stock and private need protection,agents glance at resource shelf before speaking,178.15608,3
6,resource_stock,council ledger,cistern stairs,clean water available 11.0/15.0,sealed:stock-body-need-details,open scarcity ledger with access constraint,scarcity pressure 0.361; wear risk 0.090,rumor risk rises if resource ledger is missing,trust depends on visible stock and private need protection,agents glance at resource shelf before speaking,190.332439,4
8,resource_stock,council ledger,clinic drawer,medicine kit available 3.0/6.0,sealed:stock-body-need-details,open scarcity ledger with access constraint,scarcity pressure 0.650; wear risk 0.140,rumor risk rises if resource ledger is missing,trust depends on visible stock and private need protection,agents glance at resource shelf before speaking,210.047638,5
9,crisis_policy,crisis council,warm alcove and west route,"cold and wetness make warmth a body-safety resource, not a status reward",sealed:policy-private-deliberation,"activate allocate warmth by body need first, then work duty",no one loses care access for refusing public naming,rumor cooldown attached when accusation risk rises,minority note: Milo asks that runners who stay outside are not forgotten,agents sit in a rough flower-ring rather than a queue,155.0,4
10,crisis_policy,crisis council,tool shed,"route collapse would harm everyone, but tool access must not become ownership capture",sealed:policy-private-deliberation,activate reserve one repair lane and rotate the remaining tools,urgent clinic fixes override workshop pride,rumor cooldown attached when accusation risk rises,minority note: Ari accepts rotation only if broken paths are counted as care infrastructure,agents sit in a rough flower-ring rather than a queue,188.0,7
11,resource_triage,Ari,res-blankets,Ari receives 1.0/1.0 units because wet route repair exposure,sealed:triage-private-body-state,record triage fairness 0.82 and debt 0.06,care continuity=True; boundary=may return blanket after dry-route shift,triage debt can become rumor fuel if not appealed,trust delta +0.02,walks slower but resumes west-route repair,194.9,12
11,resource_triage,Fay,res-blankets,Fay receives 2.0/2.0 units because high care need and warm-alcove clinic work,sealed:triage-private-body-state,record triage fairness 0.91 and debt 0.03,care continuity=True; boundary=does not require naming body symptoms,triage debt can become rumor fuel if not appealed,trust delta +0.05,wraps blanket around shoulders and keeps clinic doorway open,195.35,12
12,crisis_policy,crisis council,cistern stairs and public panel,rumors can damage dignity before facts arrive,sealed:policy-private-deliberation,activate pause accusation posts until evidence and witness countersign exist,water access stays open while rumor is reviewed,rumor cooldown attached when accusation risk rises,minority note: Sol worries silence will look like guilt,agents sit in a rough flower-ring rather than a queue,223.0,10
12,resource_triage,Milo,res-blankets,Milo receives 1.0/2.0 units because runner exposure recognized but lower cold marker,sealed:triage-private-body-state,record triage fairness 0.64 and debt 0.19,care continuity=False; boundary=can appeal delay without punishment,triage debt can become rumor fuel if not appealed,trust delta -0.04,paces near the cart path and keeps one hand on runner bag,195.8,1
12,rumor,unknown whisper,cistern stairs,Sol hid clean water for the cistern guild,sealed:rumor-private-source-detail,correct rumor with public evidence and repair action,resource access cannot be used as proof of guilt,harm 0.78; spread 0.62; residual 0.18,trust delta +0.03; guardrail=no naming of body state or family blame,nearby agents turn toward the public panel instead of the target body,241.0,11
13,resource_triage,Ari,res-repair-tools,Ari receives 1.5/2.0 units because route collapse prevention,sealed:triage-private-body-state,record triage fairness 0.79 and debt 0.08,care continuity=True; boundary=must share repair notes after use,triage debt can become rumor fuel if not appealed,trust delta +0.02,lifts tool openly toward public repair board,198.35,2
13,resource_triage,Milo,res-repair-tools,Milo receives 0.5/1.0 units because inventory need deferred behind urgent repair lane,sealed:triage-private-body-state,record triage fairness 0.58 and debt 0.22,"care continuity=False; boundary=delay recorded as appealable, not lazy",triage debt can become rumor fuel if not appealed,trust delta -0.05,looks away from tool shed and writes a short objection,197.3,2
