tick_id,day,settlement_id,resident_id,animation_id,gaze_keyframes,posture_keyframes,gesture_keyframes,duration_ms,loop_mode,relationship,queue_pressure,trust_repair_need,animation_matches_state,visible_animation_timeline,not_private_workspace_dump
0,1,riverbend,Ari,anim:riverbend:Ari:0,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.661,0.332,0.042,True,True,True
0,1,riverbend,Lio,anim:riverbend:Lio:1,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.66,0.34,0.06,True,True,True
0,1,riverbend,Cee,anim:riverbend:Cee:2,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
1,1,roofward,Fay,anim:roofward:Fay:0,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
1,1,roofward,Sera,anim:roofward:Sera:1,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.342,0.06,True,True,True
1,1,roofward,Orr,anim:roofward:Orr:2,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
2,1,archive,Nia,anim:archive:Nia:0,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
2,1,archive,Toma,anim:archive:Toma:1,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.34,0.06,True,True,True
2,1,archive,Vell,anim:archive:Vell:2,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.342,0.06,True,True,True
3,1,signal,Milo,anim:signal:Milo:0,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.342,0.06,True,True,True
3,1,signal,Ren,anim:signal:Ren:1,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
3,1,signal,Kesh,anim:signal:Kesh:2,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.34,0.06,True,True,True
4,1,orchard,Ivo,anim:orchard:Ivo:0,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
4,1,orchard,Mara,anim:orchard:Mara:1,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.678,0.34,0.06,True,True,True
4,1,orchard,Pim,anim:orchard:Pim:2,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
5,1,repair_ring,Juno,anim:repair_ring:Juno:0,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.34,0.06,True,True,True
5,1,repair_ring,Pax,anim:repair_ring:Pax:1,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
5,1,repair_ring,Vale,anim:repair_ring:Vale:2,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.34,0.06,True,True,True
6,1,riverbend,Ari,anim:riverbend:Ari:3,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.667,0.334,0.0312,True,True,True
6,1,riverbend,Lio,anim:riverbend:Lio:4,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.66,0.34,0.06,True,True,True
6,1,riverbend,Cee,anim:riverbend:Cee:5,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
7,1,roofward,Fay,anim:roofward:Fay:3,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
7,1,roofward,Sera,anim:roofward:Sera:4,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.678,0.342,0.06,True,True,True
7,1,roofward,Orr,anim:roofward:Orr:5,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
8,1,archive,Nia,anim:archive:Nia:3,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
8,1,archive,Toma,anim:archive:Toma:4,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.34,0.06,True,True,True
8,1,archive,Vell,anim:archive:Vell:5,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.342,0.06,True,True,True
9,1,signal,Milo,anim:signal:Milo:3,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.342,0.06,True,True,True
9,1,signal,Ren,anim:signal:Ren:4,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.66,0.34,0.06,True,True,True
9,1,signal,Kesh,anim:signal:Kesh:5,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.34,0.06,True,True,True
10,1,orchard,Ivo,anim:orchard:Ivo:3,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
10,1,orchard,Mara,anim:orchard:Mara:4,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.685,0.332,0.042,True,True,True
10,1,orchard,Pim,anim:orchard:Pim:5,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
11,1,repair_ring,Juno,anim:repair_ring:Juno:3,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.34,0.06,True,True,True
11,1,repair_ring,Pax,anim:repair_ring:Pax:4,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
11,1,repair_ring,Vale,anim:repair_ring:Vale:5,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.679,0.332,0.042,True,True,True
12,1,riverbend,Ari,anim:riverbend:Ari:6,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.667,0.334,0.0312,True,True,True
12,1,riverbend,Lio,anim:riverbend:Lio:7,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.666,0.34,0.06,True,True,True
