tick_id,day,agent,skill_domain,practice_delta,skill_before,skill_after,fatigue_cost,helps_project,specialization_visible
0,1,Ari,carpentry,0.002,0.34,0.342,0.025,False,Ari:carpentry:0.34
1,1,Fay,cultivation,0.002,0.38,0.382,0.025,False,Fay:cultivation:0.38
2,1,Nia,recordkeeping,0.009,0.42,0.429,0.025,False,Nia:recordkeeping:0.43
3,1,Milo,signalcraft,0.002,0.46,0.462,0.025,False,Milo:signalcraft:0.46
4,1,Ari,carpentry,0.002,0.342,0.344,0.025,False,Ari:carpentry:0.34
5,1,Fay,cultivation,0.009,0.382,0.391,0.025,False,Fay:cultivation:0.39
6,1,Nia,recordkeeping,0.002,0.429,0.431,0.025,False,Nia:recordkeeping:0.43
7,1,Milo,signalcraft,0.002,0.462,0.464,0.025,False,Milo:signalcraft:0.46
8,1,Ari,carpentry,0.009,0.344,0.353,0.025,False,Ari:carpentry:0.35
9,1,Fay,cultivation,0.002,0.391,0.393,0.025,False,Fay:cultivation:0.39
10,1,Nia,recordkeeping,0.002,0.431,0.433,0.025,False,Nia:recordkeeping:0.43
11,1,Milo,signalcraft,0.009,0.464,0.473,0.025,False,Milo:signalcraft:0.47
12,1,Ari,carpentry,0.002,0.353,0.355,0.025,False,Ari:carpentry:0.36
13,1,Fay,cultivation,0.002,0.393,0.395,0.025,False,Fay:cultivation:0.40
14,1,Nia,recordkeeping,0.009,0.433,0.442,0.025,False,Nia:recordkeeping:0.44
15,1,Milo,signalcraft,0.002,0.473,0.475,0.025,False,Milo:signalcraft:0.48
16,1,Ari,carpentry,0.002,0.355,0.357,0.025,False,Ari:carpentry:0.36
17,1,Fay,cultivation,0.002,0.395,0.397,0.025,False,Fay:cultivation:0.40
18,2,Nia,recordkeeping,0.002,0.442,0.444,0.025,False,Nia:recordkeeping:0.44
19,2,Milo,signalcraft,0.002,0.475,0.477,0.025,False,Milo:signalcraft:0.48
20,2,Ari,carpentry,0.009,0.357,0.366,0.025,False,Ari:carpentry:0.37
21,2,Fay,cultivation,0.002,0.397,0.399,0.025,False,Fay:cultivation:0.40
22,2,Nia,recordkeeping,0.002,0.444,0.446,0.025,False,Nia:recordkeeping:0.45
23,2,Milo,signalcraft,0.009,0.477,0.486,0.025,True,Milo:signalcraft:0.49
24,2,Ari,carpentry,0.002,0.366,0.368,0.025,False,Ari:carpentry:0.37
25,2,Fay,cultivation,0.009,0.399,0.408,0.025,False,Fay:cultivation:0.41
26,2,Nia,recordkeeping,0.009,0.446,0.455,0.025,False,Nia:recordkeeping:0.46
27,2,Milo,signalcraft,0.002,0.486,0.488,0.025,False,Milo:signalcraft:0.49
28,2,Ari,carpentry,0.002,0.368,0.37,0.025,False,Ari:carpentry:0.37
29,2,Fay,cultivation,0.009,0.408,0.417,0.025,False,Fay:cultivation:0.42
30,2,Nia,recordkeeping,0.002,0.455,0.457,0.025,False,Nia:recordkeeping:0.46
31,2,Milo,signalcraft,0.002,0.488,0.49,0.025,False,Milo:signalcraft:0.49
