epoch_id,simulated_year,origin_id,destination_id,trade_good,route_age_years,route_reliability,conflict_risk,weather_risk,reciprocal_obligation,route_visible_on_map,bounded_trade
0,0,moss_ward,glass_harbor,dry cloaks,5,0.444092,0.114612,0.248824,0.314775,True,True
1,0,glass_harbor,orchid_engine,kelp cord,5,0.442674,0.135153,0.284706,0.314627,True,True
2,0,cinder_garden,lichen_bridge,seed meal,5,0.441257,0.155694,0.260588,0.314479,True,True
3,0,lichen_bridge,cinder_garden,signal bells,5,0.43984,0.176235,0.296471,0.314331,True,True
4,0,orchid_engine,glass_harbor,valve keys,5,0.438422,0.196776,0.272353,0.314183,True,True
5,5,moss_ward,lichen_bridge,root cakes,5,0.444054,0.115153,0.284706,0.314771,True,True
6,5,glass_harbor,moss_ward,lantern lenses,5,0.442637,0.135694,0.260588,0.314623,True,True
7,5,cinder_garden,orchid_engine,shade poles,5,0.44122,0.156235,0.296471,0.314475,True,True
8,5,lichen_bridge,moss_ward,rope kits,5,0.439802,0.176776,0.272353,0.314327,True,True
9,5,orchid_engine,cinder_garden,orchid lamps,5,0.438385,0.197318,0.308235,0.314179,True,True
10,10,moss_ward,glass_harbor,dry cloaks,10,0.459017,0.115694,0.260588,0.334767,True,True
11,10,glass_harbor,orchid_engine,kelp cord,10,0.4576,0.136235,0.296471,0.334619,True,True
12,10,cinder_garden,lichen_bridge,seed meal,10,0.456182,0.156776,0.272353,0.334471,True,True
13,10,lichen_bridge,cinder_garden,signal bells,10,0.454765,0.177318,0.308235,0.334323,True,True
14,10,orchid_engine,glass_harbor,valve keys,10,0.453348,0.197859,0.284118,0.334175,True,True
15,15,moss_ward,lichen_bridge,root cakes,10,0.45898,0.116235,0.296471,0.334763,True,True
16,15,glass_harbor,moss_ward,lantern lenses,10,0.457562,0.136776,0.272353,0.334615,True,True
17,15,cinder_garden,orchid_engine,shade poles,10,0.456145,0.157318,0.308235,0.334467,True,True
18,15,lichen_bridge,moss_ward,rope kits,10,0.454728,0.177859,0.284118,0.334319,True,True
19,15,orchid_engine,cinder_garden,orchid lamps,10,0.453945,0.1892,0.22,0.334238,True,True
20,20,moss_ward,glass_harbor,dry cloaks,15,0.473942,0.116776,0.272353,0.354759,True,True
21,20,glass_harbor,orchid_engine,kelp cord,15,0.472525,0.137318,0.308235,0.354611,True,True
22,20,cinder_garden,lichen_bridge,seed meal,15,0.471108,0.157859,0.284118,0.354463,True,True
23,20,lichen_bridge,cinder_garden,signal bells,15,0.470325,0.1692,0.22,0.354382,True,True
24,20,orchid_engine,glass_harbor,valve keys,15,0.468908,0.189741,0.195882,0.354234,True,True
25,25,moss_ward,lichen_bridge,jar seals,15,0.473263,0.135318,0.308235,0.355106,True,True
26,25,glass_harbor,moss_ward,kelp cord,15,0.471846,0.155859,0.284118,0.354958,True,True
27,25,cinder_garden,orchid_engine,cool bowls,15,0.471063,0.1672,0.22,0.354876,True,True
28,25,lichen_bridge,moss_ward,signal bells,15,0.469646,0.187741,0.195882,0.354728,True,True
29,25,orchid_engine,cinder_garden,steam tea,15,0.468229,0.208282,0.231765,0.35458,True,True
30,30,moss_ward,glass_harbor,root cakes,20,0.488226,0.135859,0.284118,0.375102,True,True
31,30,glass_harbor,orchid_engine,salt tea,20,0.487443,0.1472,0.22,0.37502,True,True
32,30,cinder_garden,lichen_bridge,shade poles,20,0.486026,0.167741,0.195882,0.374872,True,True
33,30,lichen_bridge,cinder_garden,lichen soup,20,0.484609,0.188282,0.231765,0.374724,True,True
34,30,orchid_engine,glass_harbor,orchid lamps,20,0.483191,0.208824,0.207647,0.374576,True,True
35,35,moss_ward,lichen_bridge,jar seals,20,0.488823,0.1272,0.22,0.375164,True,True
36,35,glass_harbor,moss_ward,kelp cord,20,0.487406,0.147741,0.195882,0.375016,True,True
37,35,cinder_garden,orchid_engine,cool bowls,20,0.485989,0.168282,0.231765,0.374868,True,True
38,35,lichen_bridge,moss_ward,signal bells,20,0.484571,0.188824,0.207647,0.37472,True,True
39,35,orchid_engine,cinder_garden,steam tea,20,0.483154,0.209365,0.243529,0.374573,True,True
40,40,moss_ward,glass_harbor,root cakes,25,0.503786,0.127741,0.195882,0.39516,True,True
41,40,glass_harbor,orchid_engine,salt tea,25,0.502369,0.148282,0.231765,0.395012,True,True
42,40,cinder_garden,lichen_bridge,shade poles,25,0.500951,0.168824,0.207647,0.394864,True,True
43,40,lichen_bridge,cinder_garden,lichen soup,25,0.499534,0.189365,0.243529,0.394717,True,True
44,40,orchid_engine,glass_harbor,orchid lamps,25,0.498116,0.209906,0.219412,0.394569,True,True
45,45,moss_ward,lichen_bridge,jar seals,25,0.503749,0.128282,0.231765,0.395156,True,True
46,45,glass_harbor,moss_ward,kelp cord,25,0.502331,0.148824,0.207647,0.395008,True,True
47,45,cinder_garden,orchid_engine,cool bowls,25,0.500914,0.169365,0.243529,0.394861,True,True
48,45,lichen_bridge,moss_ward,signal bells,25,0.499496,0.189906,0.219412,0.394713,True,True
49,45,orchid_engine,cinder_garden,steam tea,25,0.498079,0.210447,0.255294,0.394565,True,True
50,50,moss_ward,glass_harbor,jar seals,30,0.517931,0.148824,0.207647,0.415488,True,True
51,50,glass_harbor,orchid_engine,lantern lenses,30,0.516514,0.169365,0.243529,0.415341,True,True
52,50,cinder_garden,lichen_bridge,cool bowls,30,0.515096,0.189906,0.219412,0.415193,True,True
53,50,lichen_bridge,cinder_garden,rope kits,30,0.513679,0.210447,0.255294,0.415045,True,True
54,50,orchid_engine,glass_harbor,steam tea,30,0.512262,0.230988,0.231176,0.414897,True,True
55,55,moss_ward,lichen_bridge,dry cloaks,30,0.517894,0.149365,0.243529,0.415485,True,True
56,55,glass_harbor,moss_ward,salt tea,30,0.516476,0.169906,0.219412,0.415337,True,True
57,55,cinder_garden,orchid_engine,seed meal,30,0.515059,0.190447,0.255294,0.415189,True,True
