tick,day,restore_id,scene_id,saved_avatar_x,saved_avatar_y,restored_avatar_x,restored_avatar_y,restored_agent,restore_error,position_restore_ok,visible_restore_feedback
0,1,v21-restore-0000,v21-scene-d01,6.0,4.0,6.0,4.0,Keth,0.0,1,1
1,1,v21-restore-0001,v21-scene-d01,6.0,4.0,6.28,4.0,Melo,0.28,1,0
2,1,v21-restore-0002,v21-scene-d01,6.0,4.0,6.28,4.0,Nari,0.28,1,0
3,1,v21-restore-0003,v21-scene-d01,6.0,4.0,6.28,4.24,Ori,0.368782,1,0
4,1,v21-restore-0004,v21-scene-d01,6.0,4.0,6.28,4.24,Vonn,0.368782,1,0
5,1,v21-restore-0005,v21-scene-d01,6.0,4.0,6.28,4.0,Sova,0.28,1,0
6,1,v21-restore-0006,v21-scene-d01,6.0,4.0,6.28,4.0,Keth,0.28,1,0
7,1,v21-restore-0007,v21-scene-d01,6.28,4.0,6.28,4.0,Melo,0.0,1,1
8,1,v21-restore-0008,v21-scene-d01,6.28,4.0,6.0,4.0,Nari,0.28,1,0
9,1,v21-restore-0009,v21-scene-d01,6.0,4.0,6.0,4.0,Ori,0.0,1,1
10,1,v21-restore-0010,v21-scene-d01,6.0,4.0,6.0,4.0,Vonn,0.0,1,0
11,1,v21-restore-0011,v21-scene-d01,6.0,4.0,6.0,3.76,Sova,0.24,1,0
12,1,v21-restore-0012,v21-scene-d01,6.0,4.0,6.0,3.76,Keth,0.24,1,0
13,1,v21-restore-0013,v21-scene-d01,6.0,4.0,6.0,3.76,Melo,0.24,1,0
14,1,v21-restore-0014,v21-scene-d01,6.0,4.0,6.0,3.76,Nari,0.24,1,0
15,2,v21-restore-0015,v21-scene-d02,6.0,4.0,6.0,3.52,Vonn,0.48,1,0
16,2,v21-restore-0016,v21-scene-d02,6.0,4.0,6.0,3.52,Sova,0.48,1,0
17,2,v21-restore-0017,v21-scene-d02,6.0,4.0,6.0,3.28,Keth,0.72,1,0
18,2,v21-restore-0018,v21-scene-d02,6.0,3.28,6.0,3.28,Melo,0.0,1,1
19,2,v21-restore-0019,v21-scene-d02,6.0,3.28,6.0,3.28,Nari,0.0,1,0
20,2,v21-restore-0020,v21-scene-d02,6.0,3.28,6.0,3.28,Ori,0.0,1,1
21,2,v21-restore-0021,v21-scene-d02,6.0,3.28,6.28,3.28,Vonn,0.28,1,0
22,2,v21-restore-0022,v21-scene-d02,6.0,3.28,6.28,3.28,Sova,0.28,1,0
23,2,v21-restore-0023,v21-scene-d02,6.0,3.28,6.28,3.04,Keth,0.368782,1,0
24,2,v21-restore-0024,v21-scene-d02,6.0,3.28,6.28,3.28,Melo,0.28,1,0
25,2,v21-restore-0025,v21-scene-d02,6.0,3.28,6.28,3.28,Nari,0.28,1,0
26,2,v21-restore-0026,v21-scene-d02,6.0,3.28,6.0,3.28,Ori,0.0,1,0
27,2,v21-restore-0027,v21-scene-d02,6.0,3.28,5.72,3.28,Vonn,0.28,1,0
28,2,v21-restore-0028,v21-scene-d02,6.0,3.28,5.72,3.04,Sova,0.368782,1,0
29,2,v21-restore-0029,v21-scene-d02,6.0,3.28,5.44,3.04,Keth,0.609262,1,0
30,3,v21-restore-0030,v21-scene-d03,6.0,3.28,5.44,3.04,Nari,0.609262,1,0
31,3,v21-restore-0031,v21-scene-d03,6.0,3.28,5.44,3.04,Ori,0.609262,1,0
32,3,v21-restore-0032,v21-scene-d03,6.0,3.28,5.72,3.04,Vonn,0.368782,1,0
33,3,v21-restore-0033,v21-scene-d03,6.0,3.28,5.72,3.04,Sova,0.368782,1,0
