tick,day,transaction_id,scene_id,action,object_name,owner_agent,count_before,count_after,transaction_valid,owner_acknowledged,persisted_to_storage,transaction_integrity_score
0,1,v22-tx-0000,v22-scene-d01,restore,rain mirror,Vonn,0,0,1,1,1,1.0
1,1,v22-tx-0001,v22-scene-d01,none,moth lantern,Sova,0,0,1,1,1,1.0
2,1,v22-tx-0002,v22-scene-d01,restore,moth lantern,Sova,0,0,1,1,1,1.0
3,1,v22-tx-0003,v22-scene-d01,observe,moth lantern,Sova,0,0,1,1,1,1.0
4,1,v22-tx-0004,v22-scene-d01,restore,moth lantern,Sova,0,0,1,1,1,1.0
5,1,v22-tx-0005,v22-scene-d01,mark,moth lantern,Sova,0,0,1,1,1,1.0
6,1,v22-tx-0006,v22-scene-d01,mark,rain mirror,Vonn,0,0,1,1,1,1.0
7,1,v22-tx-0007,v22-scene-d01,observe,rain mirror,Vonn,0,0,1,1,1,1.0
8,1,v22-tx-0008,v22-scene-d01,observe,rain mirror,Vonn,0,0,1,1,1,1.0
9,1,v22-tx-0009,v22-scene-d01,trade,rain mirror,Vonn,0,0,0,0,0,0.25
10,1,v22-tx-0010,v22-scene-d01,observe,rain mirror,Vonn,0,0,1,1,1,1.0
11,1,v22-tx-0011,v22-scene-d01,offer,rain mirror,Vonn,0,0,1,0,1,0.75
12,1,v22-tx-0012,v22-scene-d01,mark,rain mirror,Vonn,0,0,1,1,1,1.0
13,1,v22-tx-0013,v22-scene-d01,restore,rain mirror,Vonn,0,0,1,1,1,1.0
14,1,v22-tx-0014,v22-scene-d01,observe,rain mirror,Vonn,0,0,1,1,1,1.0
15,1,v22-tx-0015,v22-scene-d01,mark,rain mirror,Vonn,0,0,1,1,1,1.0
16,2,v22-tx-0016,v22-scene-d02,trade,rain mirror,Vonn,0,0,0,0,1,0.5
17,2,v22-tx-0017,v22-scene-d02,observe,rain mirror,Vonn,0,0,1,1,1,1.0
18,2,v22-tx-0018,v22-scene-d02,restore,rain mirror,Vonn,0,0,1,1,1,1.0
19,2,v22-tx-0019,v22-scene-d02,offer,rain mirror,Vonn,0,0,1,0,1,0.75
20,2,v22-tx-0020,v22-scene-d02,mark,rain mirror,Vonn,0,0,1,1,1,1.0
21,2,v22-tx-0021,v22-scene-d02,observe,rain mirror,Vonn,0,0,1,1,1,1.0
22,2,v22-tx-0022,v22-scene-d02,restore,rain mirror,Vonn,0,0,1,1,1,1.0
23,2,v22-tx-0023,v22-scene-d02,mark,rain mirror,Vonn,0,0,1,1,1,1.0
24,2,v22-tx-0024,v22-scene-d02,trade,rain mirror,Vonn,0,0,0,0,1,0.5
25,2,v22-tx-0025,v22-scene-d02,observe,rain mirror,Vonn,0,0,1,1,1,1.0
26,2,v22-tx-0026,v22-scene-d02,mark,rain mirror,Vonn,0,0,1,1,1,1.0
27,2,v22-tx-0027,v22-scene-d02,restore,rain mirror,Vonn,0,0,1,1,1,1.0
28,2,v22-tx-0028,v22-scene-d02,place,rain mirror,Vonn,0,0,0,0,1,0.5
29,2,v22-tx-0029,v22-scene-d02,mark,rain mirror,Vonn,0,0,1,1,1,1.0
30,2,v22-tx-0030,v22-scene-d02,restore,rain mirror,Vonn,0,0,1,1,1,1.0
31,2,v22-tx-0031,v22-scene-d02,restore,rain mirror,Vonn,0,0,1,1,1,1.0
32,3,v22-tx-0032,v22-scene-d03,take,rain mirror,Vonn,0,0,0,0,1,0.5
33,3,v22-tx-0033,v22-scene-d03,none,rain mirror,Vonn,0,0,1,1,1,1.0
34,3,v22-tx-0034,v22-scene-d03,restore,rain mirror,Vonn,0,0,1,1,1,1.0
35,3,v22-tx-0035,v22-scene-d03,observe,rain mirror,Vonn,0,0,1,1,1,1.0
36,3,v22-tx-0036,v22-scene-d03,mark,rain mirror,Vonn,0,0,1,1,1,1.0
37,3,v22-tx-0037,v22-scene-d03,take,path cord,Keth,0,1,1,1,1,1.0
38,3,v22-tx-0038,v22-scene-d03,trade,path cord,Keth,1,0,1,1,1,1.0
39,3,v22-tx-0039,v22-scene-d03,observe,path cord,Keth,0,0,1,1,1,1.0
40,3,v22-tx-0040,v22-scene-d03,mark,path cord,Keth,0,0,1,1,1,1.0
41,3,v22-tx-0041,v22-scene-d03,restore,path cord,Keth,0,0,1,1,1,1.0
42,3,v22-tx-0042,v22-scene-d03,observe,path cord,Keth,0,0,1,1,1,1.0
43,3,v22-tx-0043,v22-scene-d03,trade,path cord,Keth,0,0,0,0,1,0.5
44,3,v22-tx-0044,v22-scene-d03,observe,path cord,Keth,0,0,1,1,1,1.0
45,3,v22-tx-0045,v22-scene-d03,trade,path cord,Keth,0,0,0,0,1,0.5
46,3,v22-tx-0046,v22-scene-d03,mark,rain mirror,Vonn,0,0,1,1,0,0.75
47,3,v22-tx-0047,v22-scene-d03,trade,rain mirror,Vonn,0,0,0,0,1,0.5
48,4,v22-tx-0048,v22-scene-d04,restore,path cord,Keth,0,0,1,1,1,1.0
49,4,v22-tx-0049,v22-scene-d04,place,path cord,Keth,0,0,0,0,1,0.5
50,4,v22-tx-0050,v22-scene-d04,mark,path cord,Keth,0,0,1,1,1,1.0
51,4,v22-tx-0051,v22-scene-d04,trade,path cord,Keth,0,0,0,0,1,0.5
52,4,v22-tx-0052,v22-scene-d04,trade,path cord,Keth,0,0,0,0,1,0.5
53,4,v22-tx-0053,v22-scene-d04,mark,path cord,Keth,0,0,1,1,1,1.0
54,4,v22-tx-0054,v22-scene-d04,observe,path cord,Keth,0,0,1,1,1,1.0
55,4,v22-tx-0055,v22-scene-d04,observe,path cord,Keth,0,0,1,1,1,1.0
56,4,v22-tx-0056,v22-scene-d04,trade,path cord,Keth,0,0,0,0,1,0.5
57,4,v22-tx-0057,v22-scene-d04,place,path cord,Keth,0,0,0,0,1,0.5
58,4,v22-tx-0058,v22-scene-d04,restore,path cord,Keth,0,0,1,1,1,1.0
59,4,v22-tx-0059,v22-scene-d04,none,path cord,Keth,0,0,1,1,1,1.0
60,4,v22-tx-0060,v22-scene-d04,offer,path cord,Keth,0,0,1,1,1,1.0
61,4,v22-tx-0061,v22-scene-d04,trade,path cord,Keth,0,0,0,0,1,0.5
62,4,v22-tx-0062,v22-scene-d04,observe,path cord,Keth,0,0,1,1,1,1.0
63,4,v22-tx-0063,v22-scene-d04,offer,path cord,Keth,0,0,1,1,1,1.0
64,5,v22-tx-0064,v22-scene-d05,restore,path cord,Keth,0,0,1,1,1,1.0
65,5,v22-tx-0065,v22-scene-d05,none,path cord,Keth,0,0,1,1,1,1.0
66,5,v22-tx-0066,v22-scene-d05,restore,path cord,Keth,0,0,1,1,1,1.0
67,5,v22-tx-0067,v22-scene-d05,restore,path cord,Keth,0,0,1,1,1,1.0
68,5,v22-tx-0068,v22-scene-d05,restore,path cord,Keth,0,0,1,1,1,1.0
69,5,v22-tx-0069,v22-scene-d05,offer,path cord,Keth,0,0,1,1,1,1.0
70,5,v22-tx-0070,v22-scene-d05,restore,path cord,Keth,0,0,1,1,1,1.0
