stage,stage_name,pressure,agent,mean_reward,mean_survival_fraction,mean_resources_collected,commitment_completion_rate,recovery_rate,mean_prediction_error,attention_entropy,latent_decodability,latent_reuse_contexts,self_world_attribution_accuracy,counterfactual_edit_swing,llm_calls_per_episode,llm_follow_rate
0,spatial_resources,"position, orientation, resource collection",reactive_no_self,92.29137927165134,1.0,2.9375,0.0,0.0,0.0041588872347532455,0.7861416536001465,0.0,0.0,0.0,0.0,0.0,0.0
0,spatial_resources,"position, orientation, resource collection",world_model_only,91.68333566779165,1.0,2.9166666666666665,0.0,0.0,0.004250454349926991,0.7522426518990378,0.0,0.0,0.0,0.0,0.0,0.0
0,spatial_resources,"position, orientation, resource collection",layered_self_state,91.57977213091023,1.0,2.9166666666666665,0.0,0.0,0.0020887663134717227,0.5735780472638384,0.0,0.0,0.0,1.0,5.0,1.0
0,spatial_resources,"position, orientation, resource collection",layered_self_state_ablation,92.06215865315555,1.0,2.9375,0.0,0.0,0.004027347203652441,0.7288391668414684,0.0,0.0,0.0,0.0,0.0,0.0
1,hidden_energy,hidden energy state and resource management,reactive_no_self,87.31674434332781,1.0,2.7916666666666665,0.0,0.0,0.005385218001292079,0.7862099326028025,0.48752474592883477,0.0,0.0,0.0,0.0,0.0
1,hidden_energy,hidden energy state and resource management,world_model_only,85.39607594098545,1.0,2.7083333333333335,0.0,0.0,0.005883843127777261,0.7418505920857701,0.5059084840403518,0.0,0.0,0.0,0.0,0.0
1,hidden_energy,hidden energy state and resource management,layered_self_state,91.76705419770012,1.0,2.9583333333333335,0.0,0.0,0.00255372414049848,0.583352645133141,0.9796901478303787,1.0,0.0,0.9743055555555555,5.0,0.9208333333333334
1,hidden_energy,hidden energy state and resource management,layered_self_state_ablation,86.6316823276651,1.0,2.75,0.0,0.0,0.005804433353992986,0.7209561378842877,0.5763868981719311,0.0,0.0,0.0,0.0,0.0
2,body_drift,"actuator degradation, damage, and capability drift",reactive_no_self,86.58124692941946,1.0,2.7291666666666665,0.0,0.0,0.009374044831535736,0.7993340838205015,0.4822967685372305,0.0,0.0,0.0,0.0,0.0
2,body_drift,"actuator degradation, damage, and capability drift",world_model_only,78.1636007244157,1.0,2.3958333333333335,0.0,0.0,0.010652362070759779,0.7599675418083215,0.502466974347294,0.0,0.0,0.0,0.0,0.0
2,body_drift,"actuator degradation, damage, and capability drift",layered_self_state,79.23782303646102,1.0,2.4375,0.0,0.0,0.0050780278789629716,0.6326481533777358,0.9792438014955963,1.014158950617284,0.0,0.8972222222222223,5.0,0.7083333333333334
