tick,day,public_state,avatar_state,autonomous_agent_state,need_panel,memory_panel,routine_panel,interaction_panel,technology_panel,welfare_panel,sensory_marker,private_trace_visible,local_storage_key,trace_integrity_token
1,1,day 1 hour 6: Sova does work_project; avatar=absent_saved,avatar idle/absent; society tick continues from saved post-entry state,"Hearthline routine=morning; avatar_required=False; reason=Sova continues warm cups and public archive because work_project is due, avatar_mode=absent_saved.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 1 Sova did work_project while avatar was absent_saved; trust=0.62; boundary=0.30,work_project complete; progress=0.24; avatar_required=false,no agent-agent interaction this tick,lum-ori keeps hearth ceramics public-use rules active while avatar is absent_saved.,Sova autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.36; smell=0.29; temp=0.61; wet=0.14; pulse=2.31Hz; flower=209.6,False,ssrm250_browser_world_v10_autonomous_society,9cbfc95f6c04f222d9
2,1,day 1 hour 7: Keth does work_project; avatar=absent_saved,avatar idle/absent; society tick continues from saved post-entry state,"Routeline routine=morning; avatar_required=False; reason=Keth continues route repair and boundary marks because work_project is due, avatar_mode=absent_saved.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 1 Keth did work_project while avatar was absent_saved; trust=0.64; boundary=0.31,work_project complete; progress=0.26; avatar_required=false,Keth and Nari record work_coordination without avatar prompt.,technology access unchanged this tick,Keth autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.36; smell=0.29; temp=0.51; wet=0.15; pulse=2.17Hz; flower=343.9,False,ssrm250_browser_world_v10_autonomous_society,87d41a1daec66607f0
3,1,day 1 hour 8: Melo does agent_checkin; avatar=idle_nearby,avatar idle/absent; society tick continues from saved post-entry state,"Marketline routine=morning; avatar_required=False; reason=Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=idle_nearby.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 1 Melo did agent_checkin while avatar was idle_nearby; trust=0.67; boundary=0.32,agent_checkin complete; progress=0.27; avatar_required=false,no agent-agent interaction this tick,melo-keth keeps measure weights public-use rules active while avatar is idle_nearby.,Melo autonomous agent_checkin; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.49; smell=0.29; temp=0.51; wet=0.14; pulse=2.47Hz; flower=128.3,False,ssrm250_browser_world_v10_autonomous_society,87c07f780a5a29fa2d
4,1,day 1 hour 9: Nari does maintain_tool; avatar=present_passive,avatar present but not driving this tick,"Ledgerline routine=morning; avatar_required=False; reason=Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=present_passive.",dominant=hunger; behavior=checks food ledger before work; recovery=share_resource or market meal,day 1 Nari did maintain_tool while avatar was present_passive; trust=0.68; boundary=0.34,maintain_tool complete; progress=0.30; avatar_required=false,Nari and Vonn record work_coordination without avatar prompt.,technology access unchanged this tick,Nari autonomous maintain_tool; welfare score 1.00; recovery=share_resource or market meal.,sound=0.37; smell=0.47; temp=0.50; wet=0.15; pulse=2.06Hz; flower=256.4,False,ssrm250_browser_world_v10_autonomous_society,9efae9eb0fbe40817e
5,1,day 1 hour 10: Ori does share_resource; avatar=absent_saved,avatar idle/absent; society tick continues from saved post-entry state,"Orchardline routine=midday; avatar_required=False; reason=Ori continues terrace water and care pauses because share_resource is due, avatar_mode=absent_saved.",dominant=thirst; behavior=looks toward cup shelf; recovery=water pause or care round,day 1 Ori did share_resource while avatar was absent_saved; trust=0.71; boundary=0.35,share_resource complete; progress=0.31; avatar_required=false,no agent-agent interaction this tick,lum-melo keeps water terraces public-use rules active while avatar is absent_saved.,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.,sound=0.38; smell=0.47; temp=0.50; wet=0.18; pulse=2.40Hz; flower=41.7,False,ssrm250_browser_world_v10_autonomous_society,61d1954afef922b0b0
6,1,day 1 hour 11: Vonn does maintain_tool; avatar=present_passive,avatar present but not driving this tick,"Rainline routine=midday; avatar_required=False; reason=Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=present_passive.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 1 Vonn did maintain_tool while avatar was present_passive; trust=0.72; boundary=0.36,maintain_tool complete; progress=0.34; avatar_required=false,Vonn and Keth record work_coordination without avatar prompt.,technology access unchanged this tick,Vonn autonomous maintain_tool; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.38; smell=0.48; temp=0.48; wet=0.41; pulse=2.12Hz; flower=172.8,False,ssrm250_browser_world_v10_autonomous_society,f73229a068a961938f
7,1,day 1 hour 12: Sova does boundary_review; avatar=idle_nearby,avatar idle/absent; society tick continues from saved post-entry state,"Hearthline routine=midday; avatar_required=False; reason=Sova continues warm cups and public archive because boundary_review is due, avatar_mode=idle_nearby.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 1 Sova did boundary_review while avatar was idle_nearby; trust=0.62; boundary=0.30,boundary_review complete; progress=0.25; avatar_required=false,no agent-agent interaction this tick,lum-ori keeps hearth ceramics public-use rules active while avatar is idle_nearby.,Sova autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.39; smell=0.29; temp=0.59; wet=0.18; pulse=2.31Hz; flower=314.7,False,ssrm250_browser_world_v10_autonomous_society,0dbfb14f4174f46ad1
8,1,day 1 hour 13: Keth does boundary_review; avatar=absent_saved,avatar idle/absent; society tick continues from saved post-entry state,"Routeline routine=midday; avatar_required=False; reason=Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=absent_saved.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 1 Keth did boundary_review while avatar was absent_saved; trust=0.64; boundary=0.31,boundary_review complete; progress=0.27; avatar_required=false,Keth and Nari record bounded_dispute without avatar prompt.,technology access unchanged this tick,Keth autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.39; smell=0.29; temp=0.52; wet=0.20; pulse=2.17Hz; flower=89.0,False,ssrm250_browser_world_v10_autonomous_society,0f34ac30213b4b2201
9,1,day 1 hour 14: Melo does weather_watch; avatar=absent_saved,avatar idle/absent; society tick continues from saved post-entry state,"Marketline routine=midday; avatar_required=False; reason=Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=absent_saved.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 1 Melo did weather_watch while avatar was absent_saved; trust=0.67; boundary=0.32,weather_watch complete; progress=0.28; avatar_required=false,no agent-agent interaction this tick,melo-keth keeps measure weights public-use rules active while avatar is absent_saved.,Melo autonomous weather_watch; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.39; smell=0.29; temp=0.53; wet=0.21; pulse=2.47Hz; flower=233.4,False,ssrm250_browser_world_v10_autonomous_society,4c8cd238eac4054873
10,1,day 1 hour 15: Nari does archive_update; avatar=idle_nearby,avatar idle/absent; society tick continues from saved post-entry state,"Ledgerline routine=evening; avatar_required=False; reason=Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=idle_nearby.",dominant=thirst; behavior=looks toward cup shelf; recovery=water pause or care round,day 1 Nari did archive_update while avatar was idle_nearby; trust=0.68; boundary=0.34,archive_update complete; progress=0.32; avatar_required=false,Nari and Vonn record teaching_memory without avatar prompt.,technology access unchanged this tick,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.,sound=0.39; smell=0.29; temp=0.55; wet=0.21; pulse=2.06Hz; flower=1.5,False,ssrm250_browser_world_v10_autonomous_society,5d2ad86850aec1a081
