tick_id,day,material,claimant_project,claimant_agent,competing_project,competing_agent,claimant_priority,competing_priority,conflict,winner_project,loser_project,compromise,visible_conflict_marker
0,1,copper,greenhouse_heat_loop,Milo,archive_public_kiosk,Nia,0.49,0.59,False,none,none,none,False
1,1,oil,flood_bridge_market_route,Milo,dusk_signal_court,Milo,0.63,0.63,False,none,none,none,False
2,1,ink,archive_public_kiosk,Ari,greenhouse_heat_loop,Fay,0.42,0.45,False,none,none,none,False
3,1,rope,dusk_signal_court,Fay,flood_bridge_market_route,Ari,0.56,0.57,False,none,none,none,False
4,1,copper,greenhouse_heat_loop,Milo,archive_public_kiosk,Nia,0.42,0.53,False,none,none,none,False
5,1,oil,flood_bridge_market_route,Milo,dusk_signal_court,Milo,0.56,0.57,False,none,none,none,False
6,1,ink,archive_public_kiosk,Ari,greenhouse_heat_loop,Fay,0.7,0.39,False,none,none,none,False
7,1,rope,dusk_signal_court,Fay,flood_bridge_market_route,Ari,0.49,0.51,False,none,none,none,False
8,1,copper,greenhouse_heat_loop,Milo,archive_public_kiosk,Nia,0.7,0.47,False,none,none,none,False
9,1,oil,flood_bridge_market_route,Milo,dusk_signal_court,Milo,0.49,0.51,False,none,none,none,False
10,1,ink,archive_public_kiosk,Ari,greenhouse_heat_loop,Fay,0.63,0.63,False,none,none,none,False
11,1,rope,dusk_signal_court,Fay,flood_bridge_market_route,Ari,0.42,0.45,False,none,none,none,False
12,1,copper,greenhouse_heat_loop,Milo,archive_public_kiosk,Nia,0.63,0.71,False,none,none,none,False
13,1,oil,flood_bridge_market_route,Milo,dusk_signal_court,Milo,0.42,0.45,False,none,none,none,False
14,1,ink,archive_public_kiosk,Ari,greenhouse_heat_loop,Fay,0.56,0.57,False,none,none,none,False
15,1,rope,dusk_signal_court,Fay,flood_bridge_market_route,Ari,0.7,0.39,False,none,none,none,False
16,1,copper,greenhouse_heat_loop,Milo,archive_public_kiosk,Nia,0.56,0.65,False,none,none,none,False
17,1,oil,flood_bridge_market_route,Milo,dusk_signal_court,Milo,0.7,0.39,False,none,none,none,False
18,1,ink,archive_public_kiosk,Ari,greenhouse_heat_loop,Fay,0.49,0.51,False,none,none,none,False
19,1,rope,dusk_signal_court,Fay,flood_bridge_market_route,Ari,0.63,0.63,False,none,none,none,False
20,2,water,greenhouse_heat_loop,Fay,flood_bridge_market_route,Ari,0.68,0.71,False,none,none,none,False
21,2,planks,flood_bridge_market_route,Nia,archive_public_kiosk,Nia,0.82,0.45,False,none,none,none,False
22,2,thread,archive_public_kiosk,Fay,dusk_signal_court,Milo,0.49,0.57,False,none,none,none,False
23,2,oil,dusk_signal_court,Ari,greenhouse_heat_loop,Fay,0.75,0.39,False,none,none,none,False
24,2,water,greenhouse_heat_loop,Fay,flood_bridge_market_route,Ari,0.61,0.65,False,none,none,none,False
25,2,planks,flood_bridge_market_route,Nia,archive_public_kiosk,Nia,0.75,0.39,False,none,none,none,False
26,2,thread,archive_public_kiosk,Fay,dusk_signal_court,Milo,0.42,0.51,False,none,none,none,False
27,2,oil,dusk_signal_court,Ari,greenhouse_heat_loop,Fay,0.68,0.63,False,none,none,none,False
