tick,day,session_id,saved_key,restored_conversation_key,restored_resource_key,restored_consequence_key,restored_ok
0,1,v57-d001-s00,ssrm:v57:v57-d001-s00,canvas:glasshouse:resident:Sera:phrase:ask_sensory,fiber:24,Sera->Milo:guardedness rises,True
1,1,v57-d001-s01,ssrm:v57:v57-d001-s01,canvas:river gate:resident:Tovan:phrase:request_space,wood:27,Tovan->Sera:group mood steadies,True
2,1,v57-d001-s02,ssrm:v57:v57-d001-s02,canvas:west hearth:resident:Nia:phrase:thank_resident,stone:26,Nia->Tovan:debt is marked paid,True
3,1,v57-d001-s03,ssrm:v57:v57-d001-s03,canvas:rain court:resident:Ari:phrase:ask_repair,copper:29,Ari->Nia:guardedness rises,True
4,1,v57-d001-s04,ssrm:v57:v57-d001-s04,canvas:tool alcove:resident:Fay:phrase:ask_help,herb:28,Fay->Ari:group mood steadies,True
5,1,v57-d001-s05,ssrm:v57:v57-d001-s05,canvas:fiber loft:resident:Milo:phrase:offer_tool,charcoal:31,Milo->Fay:debt is marked paid,True
6,1,v57-d001-s06,ssrm:v57:v57-d001-s06,canvas:glasshouse:resident:Sera:phrase:apologize,water:30,Sera->Milo:guardedness rises,True
7,1,v57-d001-s07,ssrm:v57:v57-d001-s07,canvas:river gate:resident:Tovan:phrase:ask_sensory,fiber:10,Tovan->Sera:group mood steadies,True
8,1,v57-d001-s08,ssrm:v57:v57-d001-s08,canvas:west hearth:resident:Nia:phrase:request_space,wood:9,Nia->Tovan:debt is marked paid,True
9,1,v57-d001-s09,ssrm:v57:v57-d001-s09,canvas:rain court:resident:Ari:phrase:thank_resident,stone:12,Ari->Nia:guardedness rises,True
10,1,v57-d001-s10,ssrm:v57:v57-d001-s10,canvas:tool alcove:resident:Fay:phrase:ask_repair,copper:11,Fay->Ari:group mood steadies,True
11,1,v57-d001-s11,ssrm:v57:v57-d001-s11,canvas:fiber loft:resident:Milo:phrase:ask_help,herb:14,Milo->Fay:debt is marked paid,True
12,1,v57-d001-s12,ssrm:v57:v57-d001-s12,canvas:glasshouse:resident:Sera:phrase:offer_tool,charcoal:13,Sera->Milo:guardedness rises,True
13,1,v57-d001-s13,ssrm:v57:v57-d001-s13,canvas:river gate:resident:Tovan:phrase:apologize,water:16,Tovan->Sera:group mood steadies,True
14,1,v57-d001-s14,ssrm:v57:v57-d001-s14,canvas:west hearth:resident:Nia:phrase:ask_sensory,fiber:15,Nia->Tovan:debt is marked paid,True
15,1,v57-d001-s15,ssrm:v57:v57-d001-s15,canvas:rain court:resident:Ari:phrase:request_space,wood:18,Ari->Nia:guardedness rises,True
16,1,v57-d001-s16,ssrm:v57:v57-d001-s16,canvas:tool alcove:resident:Fay:phrase:thank_resident,stone:17,Fay->Ari:group mood steadies,True
17,1,v57-d001-s17,ssrm:v57:v57-d001-s17,canvas:fiber loft:resident:Milo:phrase:ask_repair,copper:20,Milo->Fay:debt is marked paid,True
24,2,v57-d002-s06,ssrm:v57:v57-d002-s06,canvas:river gate:resident:Sera:phrase:ask_repair,herb:28,Sera->Milo:bystander learns caution,True
32,2,v57-d002-s14,ssrm:v57:v57-d002-s14,canvas:rain court:resident:Nia:phrase:ask_help,charcoal:13,Nia->Tovan:trust warms,True
