channel,passed,score,evidence,failure_if_false
failure_action_map_generated,True,1.0,reviewer landing failure map is generated from the maintained source and present in app.js,regeneration would erase actionable failure guidance
audit_failures_action_present,True,1.0,landing panel includes an Audit failures action wired to app logic,reviewers could read failures but not capture them as review state
blocking_observation_route,True,1.0,failure audit records current failing receipt fields as blocking observations and opens the blocking triage filter,failed receipt fields would not become triageable reviewer work items
deep_panels_preserved,True,1.0,optional diagnostics remain hidden by default but revealable on demand,actionability would either bury reviewers in debug panels or remove diagnostic access
browser_ready_failure_map,True,1.0,"Reviewer landing: READY_FOR_RUN | Boundary: deterministic browser-local public state only; no consciousness, no autonomous language, no moral patienthood. | Focus mode: core panels only | Core path: boundary -> Run reviewer pass -> session transcript -> integrated receipt -> observation triage | Receipt: 0/9 pass | Observation triage: 0 observations / active filter all | Missing reviewer-pass events: runContinuityLoop, generateScenarioReceipt | Actionable failure map: | FIX entry_and_movement: Click Enter or use Run reviewer pass to establish avatar entry. Current evidence: avatar entered the maintained shell | FIX schedule_visibility: Ask schedule or run the reviewer pass so the selected resident schedule is public. Current evidence: selected resident schedule was queried and remains visible | FIX debt_consequence: Borrow/return or run the reviewer pass to create a visible debt/trust consequence. Current evidence: debt/trust consequence happened before bounded repair | FIX offscreen_life: Use Wait offscreen or run the reviewer pass to advance resident progress while absent. Current evidence: offscreen resident progress advanced during the loop",browser did not show field-level recovery actions on a clean failing landing
browser_audit_blocks_failures,True,1.0,Observation triage filter: blocking | Counts: total 9 | open 9 | watch 0 | minor 0 | blocking 9 | resolved 0 | Visible rows: 9 | landing-block-2 | open | blocking | schedule_visibility | receipt=FAIL | landing-block-3 | open | blocking | debt_consequence | receipt=FAIL | landing-block-4 | open | blocking | offscreen_life | receipt=FAIL | landing-block-5 | open | blocking | recoverable_trust_repair | receipt=FAIL | landing-block-6 | open | blocking | resident_social_memory | receipt=FAIL / transcript=t0 arrival court / Ari: audited landing failures=9 blockingRows=9,browser did not convert failing fields into blocking observation rows
browser_pass_clears_failure_map,True,1.0,"Reviewer landing: PASSABLE_REVIEW_PATH | Boundary: deterministic browser-local public state only; no consciousness, no autonomous language, no moral patienthood. | Focus mode: deep panels visible | Core path: boundary -> Run reviewer pass -> session transcript -> integrated receipt -> observation triage | Receipt: 9/9 pass | Observation triage: 9 observations / active filter all | Missing reviewer-pass events: none | Actionable failure map: | All receipt fields currently pass. Keep deep panels optional unless a reviewer wants trace detail. | Deep diagnostics: visible for trace, checkpoints, history, and QA manifest / receipt=Integrated scenario receipt: ALL_PASS (9/9)",browser did not replace failure guidance with all-pass guidance after reviewer pass
browser_deep_toggle_after_audit,True,1.0,body= trace=block transcriptTail=t0 arrival court / Ari: audited landing failures=9 blockingRows=9 | t1 arrival court / Ari: deep panels visible=true,optional diagnostic panels were not revealable after auditing failures
browser_resume_actionability,True,1.0,"body=reviewer-focus trace=none landing=Reviewer landing: PASSABLE_REVIEW_PATH | Boundary: deterministic browser-local public state only; no consciousness, no autonomous language, no moral patienthood. | Focus mode: core panels only | Core path: boundary -> Run reviewer pass -> session transcript -> integrated receipt -> observation triage | Receipt: 9/9 pass | Observation triage: 9 observations / active filter all | Missing reviewer-pass events: none | Actionable failure map: | All receipt fields currently pass. Keep deep panels optional unless a reviewer wants trace detail. triage=Observation triage filter: all | Counts: total 9 | open 9 | watch 0 | minor 0 | blocking 9 | resolved 0 | Visible rows: 9 | landing-block-2 | open | blocking | schedule_visibility | receipt=FAIL",landing actionability did not persist through launcher resume
console_clean,True,1.0,browser console error count was 0,browser workflow produced runtime console errors
