tick_id,day,settlement_id,object_id,owner_id,object_use,avatar_action,permission_state,inventory_before,inventory_after,location_after,owner_badge_visible,permission_badge_visible,rollback_action_visible,consequence_visible,ownership_respected_or_repairable
0,1,riverbend,ridge lantern,Lio,signal,offer_help,respectful,empty,empty,wet crossing,True,True,True,True,True
1,1,roofward,brass hinge,Orr,repair,inspect_inventory,observed,empty,empty,sun sill,True,True,True,True,True
2,1,archive,clean cloth,shared,care,turn_left,observed,empty,empty,ink niche,True,True,True,True,True
3,1,signal,mast rope,Milo,repair,approach_group,observed,empty,empty,arrival court,True,True,True,True,True
4,1,orchard,market token,Mara,trade,request_permission,granted,empty,empty,satchel shed,True,True,True,True,True
5,1,repair_ring,bell gauge,Vale,diagnostic,pickup_shared_object,deferred,empty,empty,wire bench,True,True,True,True,True
6,1,riverbend,dry shawl,shared,care,approach_group,observed,empty,empty,dry ridge,True,True,True,True,True
7,1,roofward,sun lens,Fay,craft,request_permission,granted,empty,empty,glass stair,True,True,True,True,True
8,1,archive,ink ribbon,Toma,craft,pickup_shared_object,deferred,empty,empty,spool room,True,True,True,True,True
9,1,signal,signal lens,Kesh,craft,return_object,returning,empty,empty,lantern walk,True,True,True,True,True
10,1,orchard,apple wrap,shared,care,wait_respectfully,respectful,empty,empty,mud row,True,True,True,True,True
11,1,repair_ring,insulated tongs,Juno,repair,listen_memory,respectful,empty,empty,wire bench,True,True,True,True,True
12,1,riverbend,ridge lantern,Lio,signal,return_object,returning,empty,empty,wet crossing,True,True,True,True,True
13,1,roofward,brass hinge,Orr,repair,wait_respectfully,respectful,empty,empty,sun sill,True,True,True,True,True
14,1,archive,clean cloth,shared,care,listen_memory,respectful,empty,empty,ink niche,True,True,True,True,True
15,1,signal,mast rope,Milo,repair,move_forward,observed,empty,empty,arrival court,True,True,True,True,True
16,1,orchard,market token,Mara,trade,turn_right,observed,empty,empty,satchel shed,True,True,True,True,True
17,1,repair_ring,bell gauge,Vale,diagnostic,start_conversation,observed,empty,empty,wire bench,True,True,True,True,True
18,2,roofward,brass hinge,Orr,repair,inspect_inventory,observed,empty,empty,sun sill,True,True,True,True,True
19,2,archive,clean cloth,shared,care,turn_left,observed,empty,empty,ink niche,True,True,True,True,True
20,2,signal,mast rope,Milo,repair,approach_group,observed,empty,empty,arrival court,True,True,True,True,True
21,2,orchard,market token,Mara,trade,request_permission,granted,empty,empty,satchel shed,True,True,True,True,True
22,2,repair_ring,bell gauge,Vale,diagnostic,pickup_shared_object,deferred,empty,empty,wire bench,True,True,True,True,True
