tick,day,loop_id,sound_rate_hz,smell_intensity,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_dialogue,flower_phase
0,1,v18-loop-001,1.56,0.22,16.88,0.18,0.0099,0.1272,1,48.8253
1,1,v18-loop-001,1.655,0.3,16.88,0.18,0.132,0.056,1,195.016764
2,1,v18-loop-001,1.69,0.35,15.48,0.38,0.185,0.06,0,336.100528
3,1,v18-loop-001,1.805,0.27,16.88,0.18,0.192,0.136,1,117.502292
4,1,v18-loop-001,1.68,0.22,16.88,0.18,0.012,0.056,1,242.675056
5,1,v18-loop-001,1.755,0.27,19.08,0.18,0.1962,0.0536,1,31.16522
6,1,v18-loop-002,1.83,0.27,16.88,0.18,0.192,0.056,1,170.800584
7,1,v18-loop-002,1.945,0.35,16.88,0.18,0.1962,0.0536,1,312.070748
8,1,v18-loop-002,1.82,0.3,15.48,0.38,0.012,0.056,1,77.046112
9,1,v18-loop-002,1.895,0.27,16.88,0.18,0.1962,0.1336,1,225.536276
10,1,v18-loop-002,1.97,0.27,16.88,0.18,0.1962,0.0536,1,5.36904
11,1,v18-loop-002,2.085,0.27,19.08,0.18,0.1962,0.0536,1,146.441804
12,2,v18-loop-003,1.58,0.3,16.96,0.18,0.0113,0.0564,1,259.604268
13,2,v18-loop-003,1.655,0.35,15.56,0.38,0.1913,0.0564,1,47.897032
14,2,v18-loop-003,1.77,0.27,16.96,0.18,0.1955,0.134,1,189.167196
15,2,v18-loop-003,1.845,0.27,16.96,0.18,0.1927,0.0556,1,328.86836
16,2,v18-loop-003,1.76,0.27,19.16,0.18,0.1997,0.0516,1,104.070124
17,2,v18-loop-003,1.795,0.27,16.96,0.18,0.1997,0.0516,1,242.662888
18,2,v18-loop-004,1.87,0.35,16.96,0.18,0.1955,0.054,1,22.298252
19,2,v18-loop-004,1.985,0.35,15.56,0.38,0.1976,0.0528,1,163.469716
20,2,v18-loop-004,1.82,0.22,16.96,0.18,0.012,0.136,1,287.13928
21,2,v18-loop-004,1.975,0.27,16.96,0.18,0.1997,0.0516,1,78.273944
22,2,v18-loop-004,2.01,0.27,19.16,0.18,0.1927,0.0556,1,216.537708
23,2,v18-loop-004,2.085,0.27,16.96,0.18,0.1955,0.054,1,356.502072
24,3,v18-loop-005,1.58,0.3,15.64,0.38,0.0085,0.058,1,109.565836
25,3,v18-loop-005,1.655,0.27,17.04,0.18,0.1885,0.138,1,257.8586
26,3,v18-loop-005,1.77,0.27,17.04,0.18,0.1955,0.054,1,39.260364
27,3,v18-loop-005,1.845,0.27,19.24,0.18,0.1955,0.054,1,179.093128
28,3,v18-loop-005,1.76,0.27,17.04,0.18,0.1969,0.0532,1,314.031692
29,3,v18-loop-005,1.775,0.35,17.04,0.18,0.1997,0.0516,1,92.136056
30,3,v18-loop-006,1.87,0.3,15.64,0.38,0.1355,0.054,1,229.57142
31,3,v18-loop-006,1.945,0.22,17.04,0.18,0.0127,0.2056,1,3.632584
32,3,v18-loop-006,1.86,0.27,17.04,0.18,0.1955,0.054,1,147.096948
33,3,v18-loop-006,1.935,0.27,19.24,0.18,0.1955,0.054,0,286.929712
