tick,day,conflict_id,rolled_back_branch,preserved_branch,unaffected_agent,rollback_requested,rollback_isolated,trust_repaired_after_rollback,no_global_revert,isolation_score
0,1,v15-watch-01-000,none,none,Ori,0,1,1,1,1.0
1,1,v15-conflict-01-001,none,routeline:protect:1:1,Vonn,0,1,1,1,1.0
2,1,v15-conflict-01-002,none,orchardline:claim:1:5,Sova,0,1,1,1,1.0
3,1,v15-conflict-01-003,none,ledgerline:protect:1:3,Keth,0,1,1,1,1.0
4,1,v15-conflict-01-004,hearthline:claim:1:7,orchardline:protect:1:4,Melo,1,1,1,1,1.0
5,1,v15-conflict-01-005,none,rainline:protect:1:5,Nari,0,1,1,1,1.0
6,1,v15-conflict-01-006,none,marketline:claim:1:1,Ori,0,1,1,1,1.0
7,1,v15-watch-01-007,none,none,Vonn,0,1,1,1,1.0
8,2,v15-conflict-02-008,marketline:protect:2:0,orchardline:claim:2:3,Sova,1,1,1,1,1.0
9,2,v15-conflict-02-009,none,ledgerline:protect:2:1,Keth,0,1,1,1,1.0
10,2,v15-conflict-02-010,none,orchardline:protect:2:2,Melo,0,1,1,1,1.0
11,2,v15-conflict-02-011,none,rainline:protect:2:3,Nari,0,1,1,1,1.0
12,2,v15-conflict-02-012,hearthline:protect:2:4,marketline:claim:2:7,Ori,1,1,1,1,1.0
13,2,v15-conflict-02-013,none,routeline:protect:2:5,Vonn,0,1,1,1,1.0
14,2,v15-watch-02-014,none,none,Sova,0,1,1,1,1.0
15,2,v15-conflict-02-015,none,ledgerline:protect:2:7,Keth,0,1,1,1,1.0
16,3,v15-conflict-03-016,hearthline:claim:3:3,orchardline:protect:3:0,Melo,1,1,1,1,1.0
17,3,v15-conflict-03-017,none,rainline:protect:3:1,Nari,0,1,1,1,1.0
18,3,v15-conflict-03-018,none,marketline:claim:3:5,Ori,0,1,1,1,1.0
19,3,v15-conflict-03-019,none,routeline:protect:3:3,Vonn,0,1,1,1,1.0
20,3,v15-conflict-03-020,marketline:protect:3:4,orchardline:claim:3:7,Sova,1,1,0,1,0.75
21,3,v15-watch-03-021,none,none,Keth,0,1,1,1,1.0
22,3,v15-conflict-03-022,none,orchardline:protect:3:6,Melo,0,1,1,1,1.0
23,3,v15-conflict-03-023,none,rainline:protect:3:7,Nari,0,1,1,1,1.0
24,4,v15-conflict-04-024,hearthline:protect:4:0,marketline:claim:4:3,Ori,1,1,1,1,1.0
25,4,v15-conflict-04-025,none,routeline:protect:4:1,Vonn,0,1,1,1,1.0
26,4,v15-conflict-04-026,none,orchardline:claim:4:5,Sova,0,1,1,1,1.0
27,4,v15-conflict-04-027,none,ledgerline:protect:4:3,Keth,0,1,1,1,1.0
28,4,v15-watch-04-028,none,none,Melo,0,1,1,1,1.0
29,4,v15-conflict-04-029,none,rainline:protect:4:5,Nari,0,1,1,1,1.0
30,4,v15-conflict-04-030,none,marketline:claim:4:1,Ori,0,1,1,1,1.0
31,4,v15-conflict-04-031,none,routeline:protect:4:7,Vonn,0,1,1,1,1.0
32,5,v15-conflict-05-032,marketline:protect:5:0,orchardline:claim:5:3,Sova,1,1,1,1,1.0
33,5,v15-conflict-05-033,none,ledgerline:protect:5:1,Keth,0,1,1,1,1.0
34,5,v15-conflict-05-034,none,orchardline:protect:5:2,Melo,0,1,1,1,1.0
35,5,v15-watch-05-035,none,none,Nari,0,1,1,1,1.0
36,5,v15-conflict-05-036,hearthline:protect:5:4,marketline:claim:5:7,Ori,1,1,1,1,1.0
37,5,v15-conflict-05-037,none,routeline:protect:5:5,Vonn,0,1,1,1,1.0
38,5,v15-conflict-05-038,none,orchardline:claim:5:1,Sova,0,1,1,1,1.0
39,5,v15-conflict-05-039,none,ledgerline:protect:5:7,Keth,0,1,1,1,1.0
40,6,v15-conflict-06-040,hearthline:claim:6:3,orchardline:protect:6:0,Melo,1,1,0,1,0.75
41,6,v15-conflict-06-041,none,rainline:protect:6:1,Nari,0,1,1,0,0.75
42,6,v15-watch-06-042,none,none,Ori,0,1,1,1,1.0
43,6,v15-conflict-06-043,none,routeline:protect:6:3,Vonn,0,1,1,1,1.0
44,6,v15-conflict-06-044,marketline:protect:6:4,orchardline:claim:6:7,Sova,1,1,1,1,1.0
45,6,v15-conflict-06-045,none,ledgerline:protect:6:5,Keth,0,1,1,1,1.0
46,6,v15-conflict-06-046,none,orchardline:protect:6:6,Melo,0,1,1,1,1.0
47,6,v15-conflict-06-047,none,rainline:protect:6:7,Nari,0,1,1,1,1.0
48,7,v15-conflict-07-048,hearthline:protect:7:0,marketline:claim:7:3,Ori,1,1,1,1,1.0
49,7,v15-watch-07-049,none,none,Vonn,0,1,1,1,1.0
50,7,v15-conflict-07-050,none,orchardline:claim:7:5,Sova,0,1,1,1,1.0
51,7,v15-conflict-07-051,none,ledgerline:protect:7:3,Keth,0,1,1,1,1.0
52,7,v15-conflict-07-052,hearthline:claim:7:7,orchardline:protect:7:4,Melo,1,1,1,1,1.0
53,7,v15-conflict-07-053,none,rainline:protect:7:5,Nari,0,1,1,1,1.0
54,7,v15-conflict-07-054,none,marketline:claim:7:1,Ori,0,1,1,1,1.0
55,7,v15-conflict-07-055,none,routeline:protect:7:7,Vonn,0,1,1,1,1.0
56,8,v15-watch-08-056,none,none,Sova,0,1,1,1,1.0
57,8,v15-conflict-08-057,none,ledgerline:protect:8:1,Keth,0,1,1,1,1.0
58,8,v15-conflict-08-058,none,orchardline:protect:8:2,Melo,0,1,1,1,1.0
59,8,v15-conflict-08-059,none,rainline:protect:8:3,Nari,0,1,1,1,1.0
60,8,v15-conflict-08-060,hearthline:protect:8:4,marketline:claim:8:7,Ori,1,1,0,1,0.75
61,8,v15-conflict-08-061,none,routeline:protect:8:5,Vonn,0,1,1,1,1.0
62,8,v15-conflict-08-062,none,orchardline:claim:8:1,Sova,0,1,1,1,1.0
63,8,v15-watch-08-063,none,none,Keth,0,1,1,1,1.0
64,9,v15-conflict-09-064,hearthline:claim:9:3,orchardline:protect:9:0,Melo,1,1,1,1,1.0
65,9,v15-conflict-09-065,none,rainline:protect:9:1,Nari,0,1,1,1,1.0
66,9,v15-conflict-09-066,none,marketline:claim:9:5,Ori,0,1,1,1,1.0
67,9,v15-conflict-09-067,none,routeline:protect:9:3,Vonn,0,1,1,1,1.0
68,9,v15-conflict-09-068,marketline:protect:9:4,orchardline:claim:9:7,Sova,1,1,1,1,1.0
69,9,v15-conflict-09-069,none,ledgerline:protect:9:5,Keth,0,1,1,1,1.0
70,9,v15-watch-09-070,none,none,Melo,0,1,1,1,1.0
71,9,v15-conflict-09-071,none,rainline:protect:9:7,Nari,0,1,1,1,1.0
72,10,v15-conflict-10-072,hearthline:protect:10:0,marketline:claim:10:3,Ori,1,1,1,1,1.0
73,10,v15-conflict-10-073,none,routeline:protect:10:1,Vonn,0,1,1,1,1.0
74,10,v15-conflict-10-074,none,orchardline:claim:10:5,Sova,0,1,1,1,1.0
75,10,v15-conflict-10-075,none,ledgerline:protect:10:3,Keth,0,1,1,1,1.0
76,10,v15-conflict-10-076,hearthline:claim:10:7,orchardline:protect:10:4,Melo,1,0,0,0,0.25
77,10,v15-watch-10-077,none,none,Nari,0,1,1,1,1.0
78,10,v15-conflict-10-078,none,marketline:claim:10:1,Ori,0,1,1,1,1.0
79,10,v15-conflict-10-079,none,routeline:protect:10:7,Vonn,0,1,1,1,1.0
80,11,v15-conflict-11-080,marketline:protect:11:0,orchardline:claim:11:3,Sova,1,1,0,1,0.75
81,11,v15-conflict-11-081,none,ledgerline:protect:11:1,Keth,0,1,1,1,1.0
82,11,v15-conflict-11-082,none,orchardline:protect:11:2,Melo,0,1,1,0,0.75
83,11,v15-conflict-11-083,none,rainline:protect:11:3,Nari,0,1,1,1,1.0
84,11,v15-watch-11-084,none,none,Ori,0,1,1,1,1.0
85,11,v15-conflict-11-085,none,routeline:protect:11:5,Vonn,0,1,1,1,1.0
86,11,v15-conflict-11-086,none,orchardline:claim:11:1,Sova,0,1,1,1,1.0
87,11,v15-conflict-11-087,none,ledgerline:protect:11:7,Keth,0,1,1,1,1.0
88,12,v15-conflict-12-088,hearthline:claim:12:3,orchardline:protect:12:0,Melo,1,1,0,1,0.75
89,12,v15-conflict-12-089,none,rainline:protect:12:1,Nari,0,1,1,1,1.0
90,12,v15-conflict-12-090,none,marketline:claim:12:5,Ori,0,1,1,1,1.0
91,12,v15-watch-12-091,none,none,Vonn,0,1,1,1,1.0
92,12,v15-conflict-12-092,marketline:protect:12:4,orchardline:claim:12:7,Sova,1,1,1,1,1.0
93,12,v15-conflict-12-093,none,ledgerline:protect:12:5,Keth,0,1,1,1,1.0
94,12,v15-conflict-12-094,none,orchardline:protect:12:6,Melo,0,1,1,1,1.0
95,12,v15-conflict-12-095,none,rainline:protect:12:7,Nari,0,1,1,1,1.0
96,13,v15-conflict-13-096,hearthline:protect:13:0,marketline:claim:13:3,Ori,1,1,1,1,1.0
97,13,v15-conflict-13-097,none,routeline:protect:13:1,Vonn,0,1,1,1,1.0
98,13,v15-watch-13-098,none,none,Sova,0,1,1,1,1.0
99,13,v15-conflict-13-099,none,ledgerline:protect:13:3,Keth,0,1,1,1,1.0
100,13,v15-conflict-13-100,hearthline:claim:13:7,orchardline:protect:13:4,Melo,1,1,0,1,0.75
101,13,v15-conflict-13-101,none,rainline:protect:13:5,Nari,0,1,1,1,1.0
102,13,v15-conflict-13-102,none,marketline:claim:13:1,Ori,0,1,1,1,1.0
103,13,v15-conflict-13-103,none,routeline:protect:13:7,Vonn,0,1,1,1,1.0
104,14,v15-conflict-14-104,marketline:protect:14:0,orchardline:claim:14:3,Sova,1,1,1,1,1.0
105,14,v15-watch-14-105,none,none,Keth,0,1,1,1,1.0
106,14,v15-conflict-14-106,none,orchardline:protect:14:2,Melo,0,1,1,1,1.0
107,14,v15-conflict-14-107,none,rainline:protect:14:3,Nari,0,1,1,1,1.0
108,14,v15-conflict-14-108,hearthline:protect:14:4,marketline:claim:14:7,Ori,1,1,1,1,1.0
109,14,v15-conflict-14-109,none,routeline:protect:14:5,Vonn,0,1,1,1,1.0
110,14,v15-conflict-14-110,none,orchardline:claim:14:1,Sova,0,1,1,1,1.0
111,14,v15-conflict-14-111,none,ledgerline:protect:14:7,Keth,0,1,1,1,1.0
112,15,v15-watch-15-112,none,none,Melo,0,1,1,1,1.0
113,15,v15-conflict-15-113,none,rainline:protect:15:1,Nari,0,1,1,1,1.0
114,15,v15-conflict-15-114,none,marketline:claim:15:5,Ori,0,1,1,1,1.0
115,15,v15-conflict-15-115,none,routeline:protect:15:3,Vonn,0,1,1,1,1.0
116,15,v15-conflict-15-116,marketline:protect:15:4,orchardline:claim:15:7,Sova,1,1,1,1,1.0
117,15,v15-conflict-15-117,none,ledgerline:protect:15:5,Keth,0,1,1,1,1.0
118,15,v15-conflict-15-118,none,orchardline:protect:15:6,Melo,0,1,1,1,1.0
119,15,v15-watch-15-119,none,none,Nari,0,1,1,1,1.0
120,16,v15-conflict-16-120,hearthline:protect:16:0,marketline:claim:16:3,Ori,1,1,0,1,0.75
121,16,v15-conflict-16-121,none,routeline:protect:16:1,Vonn,0,1,1,1,1.0
122,16,v15-conflict-16-122,none,orchardline:claim:16:5,Sova,0,1,1,1,1.0
123,16,v15-conflict-16-123,none,ledgerline:protect:16:3,Keth,0,1,1,0,0.75
124,16,v15-conflict-16-124,hearthline:claim:16:7,orchardline:protect:16:4,Melo,1,1,1,1,1.0
125,16,v15-conflict-16-125,none,rainline:protect:16:5,Nari,0,1,1,1,1.0
126,16,v15-watch-16-126,none,none,Ori,0,1,1,1,1.0
127,16,v15-conflict-16-127,none,routeline:protect:16:7,Vonn,0,1,1,1,1.0
128,17,v15-conflict-17-128,marketline:protect:17:0,orchardline:claim:17:3,Sova,1,1,1,1,1.0
129,17,v15-conflict-17-129,none,ledgerline:protect:17:1,Keth,0,1,1,1,1.0
130,17,v15-conflict-17-130,none,orchardline:protect:17:2,Melo,0,1,1,1,1.0
131,17,v15-conflict-17-131,none,rainline:protect:17:3,Nari,0,1,1,1,1.0
132,17,v15-conflict-17-132,hearthline:protect:17:4,marketline:claim:17:7,Ori,1,1,1,1,1.0
133,17,v15-watch-17-133,none,none,Vonn,0,1,1,1,1.0
134,17,v15-conflict-17-134,none,orchardline:claim:17:1,Sova,0,1,1,1,1.0
135,17,v15-conflict-17-135,none,ledgerline:protect:17:7,Keth,0,1,1,1,1.0
136,18,v15-conflict-18-136,hearthline:claim:18:3,orchardline:protect:18:0,Melo,1,1,1,1,1.0
137,18,v15-conflict-18-137,none,rainline:protect:18:1,Nari,0,1,1,1,1.0
138,18,v15-conflict-18-138,none,marketline:claim:18:5,Ori,0,1,1,1,1.0
139,18,v15-conflict-18-139,none,routeline:protect:18:3,Vonn,0,1,1,1,1.0
140,18,v15-watch-18-140,none,none,Sova,0,1,1,1,1.0
141,18,v15-conflict-18-141,none,ledgerline:protect:18:5,Keth,0,1,1,1,1.0
142,18,v15-conflict-18-142,none,orchardline:protect:18:6,Melo,0,1,1,1,1.0
143,18,v15-conflict-18-143,none,rainline:protect:18:7,Nari,0,1,1,1,1.0
144,19,v15-conflict-19-144,hearthline:protect:19:0,marketline:claim:19:3,Ori,1,1,1,1,1.0
145,19,v15-conflict-19-145,none,routeline:protect:19:1,Vonn,0,1,1,1,1.0
146,19,v15-conflict-19-146,none,orchardline:claim:19:5,Sova,0,1,1,1,1.0
147,19,v15-watch-19-147,none,none,Keth,0,1,1,1,1.0
148,19,v15-conflict-19-148,hearthline:claim:19:7,orchardline:protect:19:4,Melo,1,0,0,0,0.25
149,19,v15-conflict-19-149,none,rainline:protect:19:5,Nari,0,1,1,1,1.0
150,19,v15-conflict-19-150,none,marketline:claim:19:1,Ori,0,1,1,1,1.0
151,19,v15-conflict-19-151,none,routeline:protect:19:7,Vonn,0,1,1,1,1.0
152,20,v15-conflict-20-152,marketline:protect:20:0,orchardline:claim:20:3,Sova,1,0,0,0,0.25
153,20,v15-conflict-20-153,none,ledgerline:protect:20:1,Keth,0,1,1,1,1.0
154,20,v15-watch-20-154,none,none,Melo,0,1,1,1,1.0
155,20,v15-conflict-20-155,none,rainline:protect:20:3,Nari,0,1,1,1,1.0
156,20,v15-conflict-20-156,hearthline:protect:20:4,marketline:claim:20:7,Ori,1,1,0,1,0.75
157,20,v15-conflict-20-157,none,routeline:protect:20:5,Vonn,0,1,1,1,1.0
158,20,v15-conflict-20-158,none,orchardline:claim:20:1,Sova,0,1,1,1,1.0
159,20,v15-conflict-20-159,none,ledgerline:protect:20:7,Keth,0,1,1,1,1.0
160,21,v15-conflict-21-160,hearthline:claim:21:3,orchardline:protect:21:0,Melo,1,1,0,1,0.75
161,21,v15-watch-21-161,none,none,Nari,0,1,1,1,1.0
162,21,v15-conflict-21-162,none,marketline:claim:21:5,Ori,0,1,1,1,1.0
163,21,v15-conflict-21-163,none,routeline:protect:21:3,Vonn,0,1,1,1,1.0
164,21,v15-conflict-21-164,marketline:protect:21:4,orchardline:claim:21:7,Sova,1,1,1,0,0.75
165,21,v15-conflict-21-165,none,ledgerline:protect:21:5,Keth,0,1,1,1,1.0
166,21,v15-conflict-21-166,none,orchardline:protect:21:6,Melo,0,1,1,1,1.0
167,21,v15-conflict-21-167,none,rainline:protect:21:7,Nari,0,1,1,1,1.0
