tick_id,day,route_id,replay_event,state_hash,includes_editable_state,includes_import_export,includes_branch_comparison,includes_simultaneous_task,includes_agent_dialogue,includes_reload_persistence,replay_exportable
0,1,riverbend_roofward,riverbend_roofward:river ford:v1:task0:turn0,v31-442921,True,True,True,False,False,True,True
1,1,roofward_archive,roofward_archive:glass stair:v3:task1:turn0,v31-431894,True,True,True,True,False,False,True
2,1,archive_signal,archive_signal:paper lane:v1:task1:turn0,v31-386750,True,False,True,True,False,False,True
3,1,signal_orchard,signal_orchard:dusk road:v1:task0:turn0,v31-376075,True,False,True,False,False,False,True
4,1,orchard_riverbend,orchard_riverbend:fen track:v2:task0:turn0,v31-414483,True,False,True,False,False,False,True
5,1,central_repair_ring,central_repair_ring:inner repair yard:v1:task1:turn0,v31-542474,True,False,True,True,False,False,True
6,1,riverbend_roofward,riverbend_roofward:river ford:v1:task0:turn0,v31-443412,True,False,True,False,False,False,True
7,1,roofward_archive,roofward_archive:cool archive lane:v5:task2:turn0,v31-497559,True,True,True,True,False,False,True
8,1,archive_signal,archive_signal:stone kiosk path:v2:task1:turn0,v31-461668,True,False,True,False,False,False,True
9,1,signal_orchard,signal_orchard:dusk road:v2:task0:turn0,v31-376657,True,True,True,False,False,False,True
10,1,orchard_riverbend,orchard_riverbend:fen track:v2:task1:turn0,v31-421990,True,False,True,True,False,False,True
11,1,central_repair_ring,central_repair_ring:inner repair yard:v1:task1:turn0,v31-549492,True,False,True,False,False,False,True
12,1,riverbend_roofward,riverbend_roofward:orchard ridge detour:v2:task0:turn0,v31-579831,True,False,True,False,False,False,True
13,1,roofward_archive,roofward_archive:cool archive lane:v6:task3:turn0,v31-507815,True,False,True,True,False,False,True
14,1,archive_signal,archive_signal:stone kiosk path:v3:task1:turn0,v31-470418,True,True,True,False,False,True,True
15,2,signal_orchard,signal_orchard:river lantern loop:v3:task0:turn0,v31-499398,True,False,True,False,False,True,True
16,2,orchard_riverbend,orchard_riverbend:fen track:v3:task1:turn0,v31-414722,True,True,True,False,False,False,True
17,2,central_repair_ring,central_repair_ring:inner repair yard:v1:task1:turn0,v31-550001,True,False,True,True,False,False,True
18,2,riverbend_roofward,riverbend_roofward:orchard ridge detour:v2:task0:turn0,v31-580058,True,False,True,False,False,False,True
19,2,roofward_archive,roofward_archive:cool archive lane:v6:task3:turn0,v31-509107,True,False,True,False,False,False,True
20,2,archive_signal,archive_signal:paper lane:v4:task2:turn0,v31-394199,True,False,True,True,False,False,True
21,2,signal_orchard,signal_orchard:river lantern loop:v3:task0:turn0,v31-498898,True,False,True,False,False,False,True
22,2,orchard_riverbend,orchard_riverbend:fen track:v3:task1:turn0,v31-421064,True,False,True,False,False,False,True
23,2,central_repair_ring,central_repair_ring:outer bell path:v2:task1:turn0,v31-522222,True,False,True,False,False,False,True
24,2,riverbend_roofward,riverbend_roofward:orchard ridge detour:v3:task0:turn0,v31-578390,True,True,True,False,False,False,True
25,2,roofward_archive,roofward_archive:cool archive lane:v6:task4:turn0,v31-507524,True,False,True,True,False,False,True
26,2,archive_signal,archive_signal:paper lane:v5:task3:turn0,v31-395415,True,False,True,True,False,False,True
27,2,signal_orchard,signal_orchard:river lantern loop:v4:task0:turn0,v31-499220,True,False,True,False,False,False,True
28,2,orchard_riverbend,orchard_riverbend:fen track:v3:task2:turn0,v31-422331,True,False,True,True,False,False,True
29,2,central_repair_ring,central_repair_ring:outer bell path:v3:task1:turn0,v31-522697,True,True,True,False,False,True,True
30,3,riverbend_roofward,riverbend_roofward:orchard ridge detour:v4:task0:turn0,v31-572655,True,False,True,False,False,True,True
31,3,roofward_archive,roofward_archive:cool archive lane:v6:task4:turn0,v31-507788,True,True,True,False,False,False,True
32,3,archive_signal,archive_signal:paper lane:v5:task4:turn0,v31-396757,True,False,True,True,False,False,True
33,3,signal_orchard,signal_orchard:river lantern loop:v5:task1:turn0,v31-492028,True,False,True,True,False,False,True
34,3,orchard_riverbend,orchard_riverbend:fen track:v4:task2:turn0,v31-422054,True,False,True,False,False,False,True
35,3,central_repair_ring,central_repair_ring:outer bell path:v3:task2:turn0,v31-525885,True,False,True,True,False,False,True
36,3,riverbend_roofward,riverbend_roofward:orchard ridge detour:v4:task0:turn0,v31-581352,True,False,True,False,False,False,True
37,3,roofward_archive,roofward_archive:cool archive lane:v6:task4:turn0,v31-507898,True,False,True,False,False,False,True
38,3,archive_signal,archive_signal:paper lane:v5:task4:turn0,v31-395788,True,False,True,False,False,False,True
39,3,signal_orchard,signal_orchard:river lantern loop:v7:task2:turn0,v31-498445,True,True,True,True,False,False,True
40,3,orchard_riverbend,orchard_riverbend:fen track:v4:task3:turn0,v31-422028,True,False,True,True,False,False,True
41,3,central_repair_ring,central_repair_ring:outer bell path:v3:task2:turn0,v31-524038,True,False,True,False,False,False,True
42,3,riverbend_roofward,riverbend_roofward:orchard ridge detour:v6:task0:turn0,v31-579110,True,True,True,False,False,False,True
43,3,roofward_archive,roofward_archive:cool archive lane:v6:task5:turn0,v31-480343,True,False,True,True,False,False,True
44,3,archive_signal,archive_signal:paper lane:v6:task4:turn0,v31-397093,True,True,True,False,False,True,True
45,4,signal_orchard,signal_orchard:river lantern loop:v8:task2:turn0,v31-499872,True,False,True,False,False,True,True
46,4,orchard_riverbend,orchard_riverbend:market plank route:v6:task4:turn0,v31-539679,True,True,True,True,False,False,True
47,4,central_repair_ring,central_repair_ring:outer bell path:v3:task3:turn0,v31-524519,True,False,True,True,False,False,True
48,4,riverbend_roofward,riverbend_roofward:orchard ridge detour:v6:task0:turn0,v31-580429,True,False,True,False,False,False,True
49,4,roofward_archive,roofward_archive:cool archive lane:v8:task5:turn0,v31-481176,True,True,True,False,False,False,True
50,4,archive_signal,archive_signal:paper lane:v6:task5:turn0,v31-396701,True,False,True,True,False,False,True
51,4,signal_orchard,signal_orchard:river lantern loop:v8:task2:turn0,v31-499211,True,False,True,False,False,False,True
52,4,orchard_riverbend,orchard_riverbend:market plank route:v7:task5:turn0,v31-540061,True,False,True,True,False,False,True
53,4,central_repair_ring,central_repair_ring:outer bell path:v4:task3:turn0,v31-522908,True,False,True,False,False,False,True
54,4,riverbend_roofward,riverbend_roofward:orchard ridge detour:v7:task0:turn0,v31-581087,True,True,True,False,False,False,True
55,4,roofward_archive,roofward_archive:cool archive lane:v8:task6:turn0,v31-481048,True,False,True,True,False,False,True
56,4,archive_signal,archive_signal:paper lane:v6:task5:turn0,v31-397340,True,False,True,False,False,False,True
57,4,signal_orchard,signal_orchard:river lantern loop:v8:task2:turn0,v31-485425,True,False,True,False,False,False,True
58,4,orchard_riverbend,orchard_riverbend:market plank route:v8:task6:turn0,v31-540792,True,False,True,True,False,True,True
59,4,central_repair_ring,central_repair_ring:outer bell path:v5:task3:turn0,v31-525233,True,True,True,False,False,True,True
60,5,roofward_archive,roofward_archive:glass stair:v9:task6:turn0,v31-413581,True,False,True,False,False,True,True
61,5,archive_signal,archive_signal:paper lane:v7:task5:turn0,v31-390958,True,True,True,False,False,False,True
62,5,signal_orchard,signal_orchard:river lantern loop:v8:task3:turn0,v31-472418,True,False,True,True,False,False,True
63,5,orchard_riverbend,orchard_riverbend:market plank route:v8:task6:turn0,v31-540991,True,False,True,False,False,False,True
64,5,central_repair_ring,central_repair_ring:inner repair yard:v6:task4:turn0,v31-552009,True,False,True,True,False,False,True
65,5,riverbend_roofward,riverbend_roofward:orchard ridge detour:v7:task1:turn0,v31-552513,True,False,True,True,False,False,True
66,5,roofward_archive,roofward_archive:glass stair:v9:task6:turn0,v31-440905,True,False,True,False,False,False,True
67,5,archive_signal,archive_signal:paper lane:v7:task5:turn0,v31-397218,True,False,True,False,False,False,True
68,5,signal_orchard,signal_orchard:river lantern loop:v9:task3:turn0,v31-500381,True,False,True,False,False,False,True
69,5,orchard_riverbend,orchard_riverbend:market plank route:v9:task6:turn0,v31-513208,True,True,True,False,False,False,True
70,5,central_repair_ring,central_repair_ring:outer bell path:v8:task5:turn0,v31-496779,True,True,True,True,False,False,True
71,5,riverbend_roofward,riverbend_roofward:orchard ridge detour:v7:task1:turn0,v31-579620,True,False,True,False,False,False,True
72,5,roofward_archive,roofward_archive:glass stair:v10:task6:turn0,v31-446954,True,False,True,False,False,False,True
73,5,archive_signal,archive_signal:paper lane:v7:task6:turn0,v31-396963,True,False,True,True,False,False,True
74,5,signal_orchard,signal_orchard:river lantern loop:v10:task3:turn0,v31-479596,True,True,True,False,False,True,True
75,6,orchard_riverbend,orchard_riverbend:market plank route:v10:task6:turn0,v31-519769,True,False,True,False,False,True,True
76,6,central_repair_ring,central_repair_ring:outer bell path:v9:task5:turn0,v31-497513,True,True,True,False,False,False,True
77,6,riverbend_roofward,riverbend_roofward:orchard ridge detour:v7:task2:turn0,v31-552894,True,False,True,True,False,False,True
78,6,roofward_archive,roofward_archive:glass stair:v10:task6:turn1,v31-446056,True,False,True,False,True,False,True
79,6,archive_signal,archive_signal:stone kiosk path:v8:task6:turn0,v31-473081,True,False,True,False,False,False,True
80,6,signal_orchard,signal_orchard:river lantern loop:v10:task4:turn0,v31-479468,True,False,True,True,False,False,True
81,6,orchard_riverbend,orchard_riverbend:market plank route:v10:task6:turn0,v31-547706,True,False,True,False,False,False,True
82,6,central_repair_ring,central_repair_ring:outer bell path:v9:task5:turn0,v31-525567,True,False,True,False,False,False,True
83,6,riverbend_roofward,riverbend_roofward:river ford:v8:task2:turn0,v31-454047,True,False,True,False,False,False,True
84,6,roofward_archive,roofward_archive:glass stair:v11:task6:turn1,v31-447937,True,True,True,False,False,False,True
85,6,archive_signal,archive_signal:stone kiosk path:v8:task6:turn0,v31-472828,True,False,True,True,False,False,True
86,6,signal_orchard,signal_orchard:river lantern loop:v10:task4:turn1,v31-479972,True,False,True,False,True,False,True
87,6,orchard_riverbend,orchard_riverbend:market plank route:v11:task6:turn0,v31-520125,True,False,True,False,False,True,True
88,6,central_repair_ring,central_repair_ring:outer bell path:v9:task6:turn0,v31-497890,True,False,True,True,False,False,True
89,6,riverbend_roofward,riverbend_roofward:river ford:v9:task2:turn0,v31-427992,True,True,True,False,False,True,True
