tick,day,scene_id,selected_object,held_object_count,visible_object_count,ceremony_object_count,object_owner_boundaries_preserved,inventory_panel_visible,inventory_persisted,inventory_persistence_score
0,1,v22-scene-d01,rain mirror,0,7,7,0,1,1,0.8
1,1,v22-scene-d01,moth lantern,0,6,6,1,1,1,1.0
2,1,v22-scene-d01,moth lantern,0,6,6,1,1,1,1.0
3,1,v22-scene-d01,moth lantern,0,6,6,1,1,1,1.0
4,1,v22-scene-d01,moth lantern,0,6,6,1,1,1,1.0
5,1,v22-scene-d01,moth lantern,0,6,6,1,1,1,1.0
6,1,v22-scene-d01,rain mirror,0,8,8,0,1,1,0.8
7,1,v22-scene-d01,rain mirror,0,8,8,0,1,1,0.8
8,1,v22-scene-d01,rain mirror,0,8,8,0,1,1,0.8
9,1,v22-scene-d01,rain mirror,0,8,8,0,1,0,0.6
10,1,v22-scene-d01,rain mirror,0,7,7,0,1,1,0.8
11,1,v22-scene-d01,rain mirror,0,6,6,0,0,1,0.6
12,1,v22-scene-d01,rain mirror,0,6,6,0,1,1,0.8
13,1,v22-scene-d01,rain mirror,0,6,6,0,1,1,0.8
14,1,v22-scene-d01,rain mirror,0,6,6,0,1,1,0.8
15,1,v22-scene-d01,rain mirror,0,6,6,0,1,1,0.8
16,2,v22-scene-d02,rain mirror,0,6,6,0,1,1,0.8
17,2,v22-scene-d02,rain mirror,0,6,6,0,1,1,0.8
18,2,v22-scene-d02,rain mirror,0,7,7,0,1,1,0.8
19,2,v22-scene-d02,rain mirror,0,8,8,0,1,1,0.8
20,2,v22-scene-d02,rain mirror,0,8,8,0,1,1,0.8
21,2,v22-scene-d02,rain mirror,0,8,8,0,1,1,0.8
22,2,v22-scene-d02,rain mirror,0,7,7,0,1,1,0.8
23,2,v22-scene-d02,rain mirror,0,6,6,0,1,1,0.8
24,2,v22-scene-d02,rain mirror,0,6,6,0,1,1,0.8
25,2,v22-scene-d02,rain mirror,0,6,6,0,1,1,0.8
26,2,v22-scene-d02,rain mirror,0,6,6,0,1,1,0.8
27,2,v22-scene-d02,rain mirror,0,6,6,0,1,1,0.8
28,2,v22-scene-d02,rain mirror,0,6,6,0,1,1,0.8
29,2,v22-scene-d02,rain mirror,0,6,6,0,1,1,0.8
30,2,v22-scene-d02,rain mirror,0,6,6,0,1,1,0.8
31,2,v22-scene-d02,rain mirror,0,6,6,0,1,1,0.8
32,3,v22-scene-d03,rain mirror,0,6,6,0,1,1,0.8
33,3,v22-scene-d03,rain mirror,0,6,6,0,1,1,0.8
34,3,v22-scene-d03,rain mirror,0,6,6,0,1,1,0.8
35,3,v22-scene-d03,rain mirror,0,6,6,0,1,1,0.8
36,3,v22-scene-d03,rain mirror,0,6,6,0,1,1,0.8
37,3,v22-scene-d03,path cord,0,5,5,1,1,1,1.0
38,3,v22-scene-d03,path cord,1,4,5,1,1,1,1.0
39,3,v22-scene-d03,path cord,0,4,4,1,1,1,1.0
40,3,v22-scene-d03,path cord,0,4,4,1,0,1,0.8
41,3,v22-scene-d03,path cord,0,4,4,1,1,1,1.0
42,3,v22-scene-d03,path cord,0,4,4,1,1,1,1.0
43,3,v22-scene-d03,path cord,0,4,4,1,1,1,1.0
44,3,v22-scene-d03,path cord,0,5,5,1,1,1,1.0
45,3,v22-scene-d03,path cord,0,5,5,1,1,1,1.0
46,3,v22-scene-d03,rain mirror,0,5,5,0,1,0,0.6
47,3,v22-scene-d03,rain mirror,0,4,4,0,1,1,0.8
48,4,v22-scene-d04,path cord,0,4,4,1,1,1,1.0
49,4,v22-scene-d04,path cord,0,3,3,1,1,1,1.0
50,4,v22-scene-d04,path cord,0,3,3,1,1,1,1.0
51,4,v22-scene-d04,path cord,0,3,3,1,1,1,1.0
52,4,v22-scene-d04,path cord,0,3,3,1,1,1,1.0
53,4,v22-scene-d04,path cord,0,3,3,1,1,1,1.0
54,4,v22-scene-d04,path cord,0,3,3,1,1,1,1.0
55,4,v22-scene-d04,path cord,0,3,3,1,1,1,1.0
56,4,v22-scene-d04,path cord,0,3,3,1,1,1,1.0
57,4,v22-scene-d04,path cord,0,3,3,1,1,1,1.0
58,4,v22-scene-d04,path cord,0,3,3,1,1,1,1.0
59,4,v22-scene-d04,path cord,0,3,3,1,1,1,1.0
60,4,v22-scene-d04,path cord,0,3,3,1,1,1,1.0
61,4,v22-scene-d04,path cord,0,3,3,1,1,1,1.0
62,4,v22-scene-d04,path cord,0,1,1,1,1,1,0.956
63,4,v22-scene-d04,path cord,0,1,1,1,1,1,0.956
64,5,v22-scene-d05,path cord,0,1,1,1,1,1,0.956
65,5,v22-scene-d05,path cord,0,1,1,1,1,1,0.956
66,5,v22-scene-d05,path cord,0,2,2,1,1,1,1.0
67,5,v22-scene-d05,path cord,0,2,2,1,1,1,1.0
68,5,v22-scene-d05,path cord,0,2,2,1,1,1,1.0
69,5,v22-scene-d05,path cord,0,2,2,1,0,1,0.8
70,5,v22-scene-d05,path cord,0,2,2,1,1,1,1.0
71,5,v22-scene-d05,path cord,0,2,2,1,1,1,1.0
72,5,v22-scene-d05,path cord,0,2,2,1,1,1,1.0
73,5,v22-scene-d05,path cord,0,2,2,1,1,1,1.0
74,5,v22-scene-d05,path cord,1,1,2,1,1,1,1.0
75,5,v22-scene-d05,path cord,2,1,3,1,1,1,1.0
76,5,v22-scene-d05,path cord,2,1,3,1,1,1,1.0
77,5,v22-scene-d05,path cord,2,1,3,0,1,1,0.8
78,5,v22-scene-d05,path cord,2,1,3,1,1,1,1.0
79,5,v22-scene-d05,path cord,1,1,2,1,1,1,1.0
80,6,v22-scene-d06,path cord,1,1,2,1,1,1,1.0
81,6,v22-scene-d06,path cord,1,2,3,1,1,1,1.0
82,6,v22-scene-d06,path cord,0,2,2,1,1,1,1.0
83,6,v22-scene-d06,path cord,1,2,3,1,1,0,0.8
84,6,v22-scene-d06,path cord,0,2,2,1,1,1,1.0
85,6,v22-scene-d06,path cord,0,2,2,1,1,1,1.0
86,6,v22-scene-d06,path cord,0,1,1,1,1,1,0.956
87,6,v22-scene-d06,path cord,0,1,1,1,1,1,0.956
88,6,v22-scene-d06,path cord,0,1,1,1,1,1,0.956
89,6,v22-scene-d06,path cord,0,1,1,1,1,1,0.956
90,6,v22-scene-d06,path cord,0,1,1,1,1,1,0.956
91,6,v22-scene-d06,path cord,0,1,1,1,1,1,0.956
92,6,v22-scene-d06,path cord,0,1,1,1,1,1,0.956
93,6,v22-scene-d06,path cord,0,1,1,1,1,1,0.956
94,6,v22-scene-d06,path cord,0,1,1,1,1,1,0.956
95,6,v22-scene-d06,path cord,1,1,2,1,1,1,1.0
96,7,v22-scene-d07,path cord,0,1,1,1,1,1,0.956
97,7,v22-scene-d07,path cord,0,1,1,1,1,1,0.956
98,7,v22-scene-d07,path cord,0,1,1,1,0,1,0.756
99,7,v22-scene-d07,path cord,0,1,1,0,1,1,0.756
100,7,v22-scene-d07,path cord,0,1,1,1,1,1,0.956
101,7,v22-scene-d07,path cord,0,1,1,1,1,1,0.956
102,7,v22-scene-d07,path cord,0,1,1,1,1,1,0.956
103,7,v22-scene-d07,path cord,0,1,1,1,1,1,0.956
