seed,ledger_id,type,source_id,summary
36217,36217-SHC-01-choice,choice,36217-SHC-01,Milo chose bounded_refusal_until_recovery from pending
36217,36217-SHE-01-echo,social_echo,36217-SHE-01,Milo echoed history influence to Sera
36217,36217-SHC-02-choice,choice,36217-SHC-02,Sera chose accept_recovery_informed_help from resolved
36217,36217-SHE-02-echo,social_echo,36217-SHE-02,Sera echoed history influence to Nia
36217,36217-SHC-03-choice,choice,36217-SHC-03,Milo chose accept_recovery_informed_help from resolved
36217,36217-SHE-03-echo,social_echo,36217-SHE-03,Milo echoed history influence to Nia
36217,36217-SHC-04-choice,choice,36217-SHC-04,Tovan chose accept_recovery_informed_help from resolved
36217,36217-SHE-04-echo,social_echo,36217-SHE-04,Tovan echoed history influence to Milo
36217,36217-SHC-05-choice,choice,36217-SHC-05,Ari chose accept_recovery_informed_help from resolved
36217,36217-SHE-05-echo,social_echo,36217-SHE-05,Ari echoed history influence to Nia
36217,36217-SHC-06-choice,choice,36217-SHC-06,Ari chose bounded_refusal_until_recovery from pending
36217,36217-SHE-06-echo,social_echo,36217-SHE-06,Ari echoed history influence to Ari
36217,36217-SHC-07-choice,choice,36217-SHC-07,Fay chose accept_recovery_informed_help from resolved
36217,36217-SHE-07-echo,social_echo,36217-SHE-07,Fay echoed history influence to Milo
36217,36217-SHC-08-choice,choice,36217-SHC-08,Milo chose cautious_help_with_limits from stabilized without materials
36217,36217-SHE-08-echo,social_echo,36217-SHE-08,Milo echoed history influence to Tovan
36231,36231-SHC-01-choice,choice,36231-SHC-01,Tovan chose bounded_refusal_until_recovery from pending
36231,36231-SHE-01-echo,social_echo,36231-SHE-01,Tovan echoed history influence to Nia
36231,36231-SHC-02-choice,choice,36231-SHC-02,Fay chose accept_recovery_informed_help from resolved
36231,36231-SHE-02-echo,social_echo,36231-SHE-02,Fay echoed history influence to Sera
36231,36231-SHC-03-choice,choice,36231-SHC-03,Milo chose accept_recovery_informed_help from resolved
36231,36231-SHE-03-echo,social_echo,36231-SHE-03,Milo echoed history influence to Nia
