agent,reputation_key,reputation_strength,public_history_count,private_workspace_digest
Ari,gives_space,0.760,8,sealed
Ari,keeps_promises,0.680,8,sealed
Ari,protects_social_face,0.535,8,sealed
Ari,reputation_verified_by_self,0.530,8,sealed
Ari,respects_body_limits,0.550,8,sealed
Ari,respects_body_limits_under_novelty,0.535,8,sealed
Ari,respects_rest,0.540,8,sealed
Ari,safe_to_invite_near,0.545,8,sealed
Ari,uses_name,0.660,8,sealed
Fay,asks_choice,0.700,8,sealed
Fay,keeps_promises,0.740,8,sealed
Fay,keeps_promises_softly,0.542,8,sealed
Fay,protects_ritual_under_novelty,0.530,8,sealed
Fay,repairs_after_delay,0.485,8,sealed
Fay,reputation_shared_with_specifics,0.525,8,sealed
Fay,returns_objects,0.785,8,sealed
Fay,sees_differences,0.535,8,sealed
Milo,asks_first,0.830,8,sealed
Milo,help_without_takeover,0.545,8,sealed
Milo,keeps_voice_low,0.760,8,sealed
Milo,ownership_under_novelty,0.535,8,sealed
Milo,protects_ownership,0.820,8,sealed
Milo,reputation_survives_group_pressure,0.535,8,sealed
Milo,respects_rest,0.535,8,sealed
