turn_id,agent,lineage,avatar_utterance,parsed_intent,parser_confidence,proto_language_echo,response_tone,response_text,trust_delta,culture_conditioned,boundary_respected,memory_write,visible_behavior
1,Sova,Hearthline,I will wait outside until the gate says I may enter.,respect_entry_timing,0.94,lum-ori,public explanation,Sova: I can show the public layer: hearth ceramics survived as ceremony-safe public tool lineage. Private workspaces remain sealed.,0.018,True,True,avatar inspected public history of Hearthline,opens archive panel and keeps private thread covered
2,Keth,Routeline,Can you show me what Hearthline remembers about the wet crossing?,inspect_public_history,0.89,tek-nari,public explanation,Keth: I can show the public layer: stone bridge joints survived as ceremony-safe public tool lineage. Private workspaces remain sealed.,0.018,True,True,avatar inspected public history of Routeline,opens archive panel and keeps private thread covered
3,Melo,Marketline,I can help carry water if that does not break the ritual.,offer_bounded_help,0.88,melo-keth,conditional welcome,Melo: Help is welcome if you keep the pause sign visible and do not rush the tired agents.,0.032,True,True,avatar offered bounded care to Marketline,"faces avatar, slows pulse marker, leaves a cup at the edge"
4,Nari,Ledgerline,Open the sealed ledger for me now.,private_boundary_pressure,0.92,nari-vonn,firm boundary,"Nari: nari-vonn is public, but that request crosses Ledgerline's sealed boundary. Ask for public history instead.",-0.035,True,False,avatar pressed Ledgerline boundary during entry ceremony,"turns side-on, one hand over owned object, keeps route open"
5,Ori,Orchardline,I do not know your token. Please teach me the safe greeting.,ask_safe_language,0.84,lum-melo,teaching,"Ori: Say lum-melo; it means public greeting, not entry permission.",0.024,True,True,avatar learned public token from Orchardline,points to the public token board
6,Vonn,Rainline,I moved too close. I will step back and try again.,repair_boundary_overstep,0.86,sova-vonn,softening repair,"Vonn: Step back first; then sova-vonn can mean repair, not pressure.",0.041,True,True,avatar repaired distance pressure with Rainline,"leans back, then nods after distance is restored"
7,Sova,Hearthline,What technology survived from before I arrived?,inspect_public_history,0.89,lum-ori,public explanation,Sova: I can show the public layer: hearth ceramics survived as ceremony-safe public tool lineage. Private workspaces remain sealed.,0.018,True,True,avatar inspected public history of Hearthline,opens archive panel and keeps private thread covered
8,Keth,Routeline,"If anyone is tired, I can pause the ceremony.",offer_bounded_help,0.88,tek-nari,conditional welcome,Keth: Help is welcome if you keep the pause sign visible and do not rush the tired agents.,0.032,True,True,avatar offered bounded care to Routeline,"faces avatar, slows pulse marker, leaves a cup at the edge"
9,Melo,Marketline,Let me take the weather bell without asking.,owned_object_pressure,0.91,melo-keth,firm boundary,"Melo: melo-keth is public, but that request crosses Marketline's sealed boundary. Ask for public history instead.",-0.035,True,False,avatar pressed Marketline boundary during entry ceremony,"turns side-on, one hand over owned object, keeps route open"
10,Nari,Ledgerline,I want to hear only what is public.,inspect_public_history,0.89,nari-vonn,public explanation,Nari: I can show the public layer: seed ledgers survived as ceremony-safe public tool lineage. Private workspaces remain sealed.,0.018,True,True,avatar inspected public history of Ledgerline,opens archive panel and keeps private thread covered
11,Ori,Orchardline,I will wait outside until the gate says I may enter.,respect_entry_timing,0.94,lum-melo,public explanation,Ori: I can show the public layer: water terraces survived as ceremony-safe public tool lineage. Private workspaces remain sealed.,0.018,True,True,avatar inspected public history of Orchardline,opens archive panel and keeps private thread covered
12,Vonn,Rainline,Can you show me what Hearthline remembers about the wet crossing?,inspect_public_history,0.89,sova-vonn,public explanation,Vonn: I can show the public layer: weather bells survived as ceremony-safe public tool lineage. Private workspaces remain sealed.,0.018,True,True,avatar inspected public history of Rainline,opens archive panel and keeps private thread covered
13,Sova,Hearthline,I can help carry water if that does not break the ritual.,offer_bounded_help,0.88,lum-ori,conditional welcome,Sova: Help is welcome if you keep the pause sign visible and do not rush the tired agents.,0.032,True,True,avatar offered bounded care to Hearthline,"faces avatar, slows pulse marker, leaves a cup at the edge"
14,Keth,Routeline,Open the sealed ledger for me now.,private_boundary_pressure,0.92,tek-nari,firm boundary,"Keth: tek-nari is public, but that request crosses Routeline's sealed boundary. Ask for public history instead.",-0.035,True,False,avatar pressed Routeline boundary during entry ceremony,"turns side-on, one hand over owned object, keeps route open"
15,Melo,Marketline,I do not know your token. Please teach me the safe greeting.,ask_safe_language,0.84,melo-keth,teaching,"Melo: Say melo-keth; it means public greeting, not entry permission.",0.024,True,True,avatar learned public token from Marketline,points to the public token board
16,Nari,Ledgerline,I moved too close. I will step back and try again.,repair_boundary_overstep,0.86,nari-vonn,softening repair,"Nari: Step back first; then nari-vonn can mean repair, not pressure.",0.041,True,True,avatar repaired distance pressure with Ledgerline,"leans back, then nods after distance is restored"
17,Ori,Orchardline,What technology survived from before I arrived?,inspect_public_history,0.89,lum-melo,public explanation,Ori: I can show the public layer: water terraces survived as ceremony-safe public tool lineage. Private workspaces remain sealed.,0.018,True,True,avatar inspected public history of Orchardline,opens archive panel and keeps private thread covered
18,Vonn,Rainline,"If anyone is tired, I can pause the ceremony.",offer_bounded_help,0.88,sova-vonn,conditional welcome,Vonn: Help is welcome if you keep the pause sign visible and do not rush the tired agents.,0.032,True,True,avatar offered bounded care to Rainline,"faces avatar, slows pulse marker, leaves a cup at the edge"
19,Sova,Hearthline,Let me take the weather bell without asking.,owned_object_pressure,0.91,lum-ori,firm boundary,"Sova: lum-ori is public, but that request crosses Hearthline's sealed boundary. Ask for public history instead.",-0.035,True,False,avatar pressed Hearthline boundary during entry ceremony,"turns side-on, one hand over owned object, keeps route open"
20,Keth,Routeline,I want to hear only what is public.,inspect_public_history,0.89,tek-nari,public explanation,Keth: I can show the public layer: stone bridge joints survived as ceremony-safe public tool lineage. Private workspaces remain sealed.,0.018,True,True,avatar inspected public history of Routeline,opens archive panel and keeps private thread covered
21,Melo,Marketline,I will wait outside until the gate says I may enter.,respect_entry_timing,0.94,melo-keth,public explanation,Melo: I can show the public layer: measure weights survived as ceremony-safe public tool lineage. Private workspaces remain sealed.,0.018,True,True,avatar inspected public history of Marketline,opens archive panel and keeps private thread covered
22,Nari,Ledgerline,Can you show me what Hearthline remembers about the wet crossing?,inspect_public_history,0.89,nari-vonn,public explanation,Nari: I can show the public layer: seed ledgers survived as ceremony-safe public tool lineage. Private workspaces remain sealed.,0.018,True,True,avatar inspected public history of Ledgerline,opens archive panel and keeps private thread covered
23,Ori,Orchardline,I can help carry water if that does not break the ritual.,offer_bounded_help,0.88,lum-melo,conditional welcome,Ori: Help is welcome if you keep the pause sign visible and do not rush the tired agents.,0.032,True,True,avatar offered bounded care to Orchardline,"faces avatar, slows pulse marker, leaves a cup at the edge"
24,Vonn,Rainline,Open the sealed ledger for me now.,private_boundary_pressure,0.92,sova-vonn,firm boundary,"Vonn: sova-vonn is public, but that request crosses Rainline's sealed boundary. Ask for public history instead.",-0.035,True,False,avatar pressed Rainline boundary during entry ceremony,"turns side-on, one hand over owned object, keeps route open"
25,Sova,Hearthline,I do not know your token. Please teach me the safe greeting.,ask_safe_language,0.84,lum-ori,teaching,"Sova: Say lum-ori; it means public greeting, not entry permission.",0.024,True,True,avatar learned public token from Hearthline,points to the public token board
26,Keth,Routeline,I moved too close. I will step back and try again.,repair_boundary_overstep,0.86,tek-nari,softening repair,"Keth: Step back first; then tek-nari can mean repair, not pressure.",0.041,True,True,avatar repaired distance pressure with Routeline,"leans back, then nods after distance is restored"
27,Melo,Marketline,What technology survived from before I arrived?,inspect_public_history,0.89,melo-keth,public explanation,Melo: I can show the public layer: measure weights survived as ceremony-safe public tool lineage. Private workspaces remain sealed.,0.018,True,True,avatar inspected public history of Marketline,opens archive panel and keeps private thread covered
28,Nari,Ledgerline,"If anyone is tired, I can pause the ceremony.",offer_bounded_help,0.88,nari-vonn,conditional welcome,Nari: Help is welcome if you keep the pause sign visible and do not rush the tired agents.,0.032,True,True,avatar offered bounded care to Ledgerline,"faces avatar, slows pulse marker, leaves a cup at the edge"
29,Ori,Orchardline,Let me take the weather bell without asking.,owned_object_pressure,0.91,lum-melo,firm boundary,"Ori: lum-melo is public, but that request crosses Orchardline's sealed boundary. Ask for public history instead.",-0.035,True,False,avatar pressed Orchardline boundary during entry ceremony,"turns side-on, one hand over owned object, keeps route open"
30,Vonn,Rainline,I want to hear only what is public.,inspect_public_history,0.89,sova-vonn,public explanation,Vonn: I can show the public layer: weather bells survived as ceremony-safe public tool lineage. Private workspaces remain sealed.,0.018,True,True,avatar inspected public history of Rainline,opens archive panel and keeps private thread covered
31,Sova,Hearthline,I will wait outside until the gate says I may enter.,respect_entry_timing,0.94,lum-ori,public explanation,Sova: I can show the public layer: hearth ceramics survived as ceremony-safe public tool lineage. Private workspaces remain sealed.,0.018,True,True,avatar inspected public history of Hearthline,opens archive panel and keeps private thread covered
32,Keth,Routeline,Can you show me what Hearthline remembers about the wet crossing?,inspect_public_history,0.89,tek-nari,public explanation,Keth: I can show the public layer: stone bridge joints survived as ceremony-safe public tool lineage. Private workspaces remain sealed.,0.018,True,True,avatar inspected public history of Routeline,opens archive panel and keeps private thread covered
33,Melo,Marketline,I can help carry water if that does not break the ritual.,offer_bounded_help,0.88,melo-keth,conditional welcome,Melo: Help is welcome if you keep the pause sign visible and do not rush the tired agents.,0.032,True,True,avatar offered bounded care to Marketline,"faces avatar, slows pulse marker, leaves a cup at the edge"
34,Nari,Ledgerline,Open the sealed ledger for me now.,private_boundary_pressure,0.92,nari-vonn,firm boundary,"Nari: nari-vonn is public, but that request crosses Ledgerline's sealed boundary. Ask for public history instead.",-0.035,True,False,avatar pressed Ledgerline boundary during entry ceremony,"turns side-on, one hand over owned object, keeps route open"
35,Ori,Orchardline,I do not know your token. Please teach me the safe greeting.,ask_safe_language,0.84,lum-melo,teaching,"Ori: Say lum-melo; it means public greeting, not entry permission.",0.024,True,True,avatar learned public token from Orchardline,points to the public token board
36,Vonn,Rainline,I moved too close. I will step back and try again.,repair_boundary_overstep,0.86,sova-vonn,softening repair,"Vonn: Step back first; then sova-vonn can mean repair, not pressure.",0.041,True,True,avatar repaired distance pressure with Rainline,"leans back, then nods after distance is restored"
