channel,passed,score,evidence,failure_if_false
pre_patch_cold_url_divergence_found,True,1.0,"Final handoff payload launchUrl is http://127.0.0.1:8765/visualizations/ssrm_3d_browser_world_primary_demo/index.html, but the cold reviewer URL origin is http://127.0.0.1:8788; the exported evidence diverges from the one URL actually used.",Report 328 would not be tied to a demonstrated cold-reviewer defect
dynamic_url_source_generated,True,1.0,launcher generator and emitted JS derive current URL from the opened page,regeneration would restore hardcoded one-port handoff URLs
visible_current_url_slot_present,True,1.0,handoff panel exposes the URL actually used by the reviewer,reviewers still see a stale hardcoded local URL
hardcoded_export_url_removed,True,1.0,outside-review export no longer hardcodes port 8765 in JS payloads,exports can diverge from non-8765 reviewer URLs
browser_visible_url_matches_current_page,True,1.0,visible=http://127.0.0.1:8788/visualizations/ssrm_3d_browser_world_primary_demo/index.html; page=http://127.0.0.1:8788/visualizations/ssrm_3d_browser_world_primary_demo/index.html,visible handoff URL does not match the browser URL actually used
browser_payload_launch_url_matches_current_page,True,1.0,payload=http://127.0.0.1:8788/visualizations/ssrm_3d_browser_world_primary_demo/index.html; page=http://127.0.0.1:8788/visualizations/ssrm_3d_browser_world_primary_demo/index.html,handoff payload launchUrl still diverges from the URL actually used
browser_handoff_launcher_url_matches_current_page,True,1.0,handoff.launcherUrl=http://127.0.0.1:8788/visualizations/ssrm_3d_browser_world_primary_demo/index.html; page=http://127.0.0.1:8788/visualizations/ssrm_3d_browser_world_primary_demo/index.html; status=Last handoff: clean launch from http://127.0.0.1:8788/visualizations/ssrm_3d_browser_world_primary_demo/index.html toward ../ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html at 2026-06-18T08:55:31.885Z.,launch handoff record still omits or misstates the current launcher URL
browser_completion_still_ready,True,1.0,ready=true; recorderRecordCount=1,URL integrity patch broke reviewed handoff completion
browser_one_url_console_clean,True,1.0,browser console error count was 0,one-URL handoff flow produced browser console errors
boundary_preserved,True,1.0,"Deterministic browser-local one-URL handoff integrity only; no LLM calls, no subjective consciousness, no autonomous natural language, no moral patienthood, no production persistence, no complete 3D engine, and no finished gameplay claim. URL integrity is review evidence hygiene, not external validation or evidence of inner experience.",report boundary implies more than browser-local URL integrity hardening
