tick_id,day,session_id,settlement_id,resident_id,tool_name,tool_action,owner_id,location_before,location_after,carried_by_before,carried_by_after,permission_checked,visible_hand_state,tool_slot_changed,tool_returned_or_carried
0,1,session-001,moss_ward,Milo,ledger awl,pickup,Milo,root_alcove,carried,none,Milo,True,True,True,True
1,1,session-001,glass_harbor,Sera,wick clamp,nearby-visible,Sera,lamp_pier,lamp_pier,none,none,True,True,False,True
2,1,session-001,cinder_garden,Juno,basket hook,nearby-visible,Juno,ash_path,ash_path,none,none,True,True,False,True
3,1,session-001,lichen_bridge,Luma,ledger punch,drop,Luma,meal_room,rope_bridge,none,none,True,True,True,True
4,1,session-001,orchid_engine,Dax,valve key,nearby-visible,Dax,engine_ring,engine_ring,none,none,True,True,False,True
5,1,session-001,moss_ward,Tala,loom hook,nearby-visible,Tala,blanket_room,blanket_room,none,none,True,True,False,True
6,1,session-001,glass_harbor,Nia,rope gauge,nearby-visible,Nia,fog_rail,fog_rail,none,none,True,True,False,True
7,1,session-001,cinder_garden,Pax,shade mallet,pickup,Pax,seed_shelf,carried,none,Pax,True,True,True,True
8,1,session-001,lichen_bridge,Rin,bell file,nearby-visible,Rin,signal_post,signal_post,none,none,True,True,False,True
9,1,session-001,orchid_engine,Eli,lamp tongs,nearby-visible,Eli,orchid_bay,orchid_bay,none,none,True,True,False,True
10,1,session-001,moss_ward,Ari,reed knife,drop,Ari,rain_gate,blanket_room,none,none,True,True,True,True
11,1,session-001,glass_harbor,Oren,net shuttle,nearby-visible,Oren,net_room,net_room,none,none,True,True,False,True
12,1,session-001,cinder_garden,Vale,calendar stylus,nearby-visible,Vale,shade_tent,shade_tent,none,none,True,True,False,True
13,1,session-001,lichen_bridge,Sol,tension peg,nearby-visible,Sol,rope_bridge,rope_bridge,none,none,True,True,False,True
14,1,session-001,orchid_engine,Bea,gear brush,pickup,Bea,gear_wash,carried,none,Bea,True,True,True,True
15,1,session-001,moss_ward,Fay,ledger awl,carry-visible,Fay,carried,carried,Milo,Milo,True,True,False,True
16,1,session-001,glass_harbor,Puck,wick clamp,nearby-visible,Puck,lamp_pier,lamp_pier,none,none,True,True,False,True
17,1,session-001,cinder_garden,Wren,basket hook,drop,Wren,ash_path,shade_tent,none,none,True,True,True,True
18,2,session-001,orchid_engine,Eli,gear brush,carry-visible,Dax,carried,carried,Bea,Bea,True,True,False,True
19,2,session-001,moss_ward,Ari,ledger awl,carry-visible,Tala,carried,carried,Milo,Milo,True,True,False,True
20,2,session-001,glass_harbor,Oren,wick clamp,drop,Nia,lamp_pier,lamp_pier,none,none,True,True,True,True
21,2,session-001,cinder_garden,Vale,basket hook,nearby-visible,Pax,shade_tent,shade_tent,none,none,True,True,False,True
22,2,session-001,lichen_bridge,Sol,ledger punch,nearby-visible,Rin,rope_bridge,rope_bridge,none,none,True,True,False,True
23,2,session-001,orchid_engine,Bea,valve key,nearby-visible,Eli,engine_ring,engine_ring,none,none,True,True,True,True
24,2,session-001,moss_ward,Fay,loom hook,pickup,Ari,blanket_room,carried,none,Fay,True,True,True,True
25,2,session-001,glass_harbor,Puck,rope gauge,nearby-visible,Oren,fog_rail,fog_rail,none,none,True,True,True,True
26,2,session-001,cinder_garden,Wren,shade mallet,carry-visible,Vale,carried,carried,Pax,Pax,True,True,False,True
27,2,session-001,lichen_bridge,Kio,bell file,drop,Sol,signal_post,signal_post,none,none,True,True,True,True
28,2,session-001,orchid_engine,Cai,lamp tongs,nearby-visible,Bea,orchid_bay,orchid_bay,none,none,True,True,True,True
29,2,session-001,moss_ward,Milo,reed knife,nearby-visible,Fay,blanket_room,blanket_room,none,none,True,True,False,True
30,2,session-001,glass_harbor,Sera,net shuttle,nearby-visible,Puck,net_room,net_room,none,none,True,True,True,True
31,2,session-001,cinder_garden,Juno,calendar stylus,pickup,Wren,shade_tent,carried,none,Juno,True,True,True,True
32,2,session-001,lichen_bridge,Luma,tension peg,nearby-visible,Kio,rope_bridge,rope_bridge,none,none,True,True,True,True
33,2,session-001,orchid_engine,Dax,gear brush,carry-visible,Cai,carried,carried,Bea,Bea,True,True,False,True
34,2,session-001,moss_ward,Tala,ledger awl,drop,Milo,carried,root_alcove,Milo,none,True,True,True,True
35,2,session-001,glass_harbor,Nia,wick clamp,nearby-visible,Sera,lamp_pier,lamp_pier,none,none,True,True,True,True
36,3,session-001,lichen_bridge,Kio,tension peg,nearby-visible,Rin,rope_bridge,rope_bridge,none,none,True,True,False,True
37,3,session-001,orchid_engine,Cai,gear brush,drop,Eli,carried,engine_ring,Bea,none,True,True,True,True
38,3,session-001,moss_ward,Milo,ledger awl,nearby-visible,Ari,root_alcove,root_alcove,none,none,True,True,False,True
39,3,session-001,glass_harbor,Sera,wick clamp,nearby-visible,Oren,lamp_pier,lamp_pier,none,none,True,True,False,True
40,3,session-001,cinder_garden,Juno,basket hook,nearby-visible,Vale,shade_tent,shade_tent,none,none,True,True,False,True
41,3,session-001,lichen_bridge,Luma,ledger punch,pickup,Sol,rope_bridge,carried,none,Luma,True,True,True,True
42,3,session-001,orchid_engine,Dax,valve key,nearby-visible,Bea,engine_ring,engine_ring,none,none,True,True,False,True
43,3,session-001,moss_ward,Tala,loom hook,carry-visible,Fay,carried,carried,Fay,Fay,True,True,False,True
44,3,session-001,glass_harbor,Nia,rope gauge,drop,Puck,fog_rail,net_room,none,none,True,True,True,True
45,3,session-001,cinder_garden,Pax,shade mallet,carry-visible,Wren,carried,carried,Pax,Pax,True,True,True,True
46,3,session-001,lichen_bridge,Rin,bell file,nearby-visible,Kio,signal_post,signal_post,none,none,True,True,False,True
47,3,session-001,orchid_engine,Eli,lamp tongs,nearby-visible,Cai,orchid_bay,orchid_bay,none,none,True,True,False,True
48,3,session-001,moss_ward,Ari,reed knife,pickup,Milo,blanket_room,carried,none,Ari,True,True,True,True
49,3,session-001,glass_harbor,Oren,net shuttle,nearby-visible,Sera,net_room,net_room,none,none,True,True,False,True
50,3,session-001,cinder_garden,Vale,calendar stylus,carry-visible,Juno,carried,carried,Juno,Juno,True,True,False,True
51,3,session-001,lichen_bridge,Sol,tension peg,drop,Luma,rope_bridge,meal_room,none,none,True,True,True,True
52,3,session-001,orchid_engine,Bea,gear brush,nearby-visible,Dax,engine_ring,engine_ring,none,none,True,True,True,True
53,3,session-001,moss_ward,Fay,ledger awl,nearby-visible,Tala,root_alcove,root_alcove,none,none,True,True,False,True
54,4,session-001,cinder_garden,Pax,calendar stylus,drop,Vale,carried,seed_shelf,Juno,none,True,True,True,True
55,4,session-001,lichen_bridge,Rin,tension peg,nearby-visible,Sol,meal_room,meal_room,none,none,True,True,False,True
56,4,session-001,orchid_engine,Eli,gear brush,nearby-visible,Bea,engine_ring,engine_ring,none,none,True,True,False,True
57,4,session-001,moss_ward,Ari,ledger awl,nearby-visible,Fay,root_alcove,root_alcove,none,none,True,True,False,True
58,4,session-001,glass_harbor,Oren,wick clamp,pickup,Puck,lamp_pier,carried,none,Oren,True,True,True,True
59,4,session-001,cinder_garden,Vale,basket hook,nearby-visible,Wren,shade_tent,shade_tent,none,none,True,True,True,True
60,4,session-001,lichen_bridge,Sol,ledger punch,carry-visible,Kio,carried,carried,Luma,Luma,True,True,False,True
61,4,session-001,orchid_engine,Bea,valve key,drop,Cai,engine_ring,gear_wash,none,none,True,True,True,True
62,4,session-001,moss_ward,Fay,loom hook,carry-visible,Milo,carried,carried,Fay,Fay,True,True,True,True
63,4,session-001,glass_harbor,Puck,rope gauge,nearby-visible,Sera,net_room,net_room,none,none,True,True,False,True
64,4,session-001,cinder_garden,Wren,shade mallet,carry-visible,Juno,carried,carried,Pax,Pax,True,True,False,True
65,4,session-001,lichen_bridge,Kio,bell file,pickup,Luma,signal_post,carried,none,Kio,True,True,True,True
66,4,session-001,orchid_engine,Cai,lamp tongs,nearby-visible,Dax,orchid_bay,orchid_bay,none,none,True,True,False,True
67,4,session-001,moss_ward,Milo,reed knife,carry-visible,Tala,carried,carried,Ari,Ari,True,True,False,True
68,4,session-001,glass_harbor,Sera,net shuttle,drop,Nia,net_room,fog_rail,none,none,True,True,True,True
69,4,session-001,cinder_garden,Juno,calendar stylus,nearby-visible,Pax,seed_shelf,seed_shelf,none,none,True,True,True,True
70,4,session-001,lichen_bridge,Luma,tension peg,nearby-visible,Rin,meal_room,meal_room,none,none,True,True,False,True
