conflict_id,day,agent_id,primary_goal,conflicting_goal,conflict_source,conflict_severity,resolution_policy,resolution_success,private_workspace_boundary
conflict_free_1_ka60,1,ka60,continue dry-route repair,respond to avatar trade request,free_1_ka60,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_1_mu61,1,mu61,continue warm meal care,respond to avatar apology request,free_1_mu61,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_1_lo62,1,lo62,continue fair count market,respond to avatar boundary request,free_1_lo62,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_1_sa63,1,sa63,continue public truth witness,respond to avatar goal request,free_1_sa63,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_1_ni64,1,ni64,continue safe wet repair,respond to avatar boundary request,free_1_ni64,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_2_ka60,2,ka60,continue dry-route repair,respond to avatar apology request,free_2_ka60,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_2_mu61,2,mu61,continue warm meal care,respond to avatar boundary request,free_2_mu61,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_2_lo62,2,lo62,continue fair count market,respond to avatar goal request,free_2_lo62,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_2_sa63,2,sa63,continue public truth witness,respond to avatar boundary request,free_2_sa63,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_2_ni64,2,ni64,continue safe wet repair,respond to avatar boundary request,free_2_ni64,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_3_ka60,3,ka60,continue dry-route repair,respond to avatar boundary request,free_3_ka60,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_3_mu61,3,mu61,continue warm meal care,respond to avatar goal request,free_3_mu61,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_3_lo62,3,lo62,continue fair count market,respond to avatar boundary request,free_3_lo62,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_3_sa63,3,sa63,continue public truth witness,respond to avatar boundary request,free_3_sa63,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_3_ni64,3,ni64,continue safe wet repair,respond to avatar help request,free_3_ni64,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_5_ka60,5,ka60,continue dry-route repair,respond to avatar boundary request,free_5_ka60,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_5_mu61,5,mu61,continue warm meal care,respond to avatar boundary request,free_5_mu61,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_5_lo62,5,lo62,continue fair count market,respond to avatar help request,free_5_lo62,0.46,"ask agent priority, protect body cost, reschedule lower-priority slot",True,private conflict reasoning summarized as public priority choice
conflict_free_5_sa63,5,sa63,continue public truth witness,respond to avatar trade request,free_5_sa63,0.46,"ask agent priority, protect body cost, reschedule lower-priority slot",True,private conflict reasoning summarized as public priority choice
conflict_free_5_ni64,5,ni64,continue safe wet repair,respond to avatar apology request,free_5_ni64,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_8_ka60,8,ka60,continue dry-route repair,respond to avatar trade request,free_8_ka60,0.46,"ask agent priority, protect body cost, reschedule lower-priority slot",True,private conflict reasoning summarized as public priority choice
conflict_free_8_mu61,8,mu61,continue warm meal care,respond to avatar apology request,free_8_mu61,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_8_lo62,8,lo62,continue fair count market,respond to avatar boundary request,free_8_lo62,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_8_sa63,8,sa63,continue public truth witness,respond to avatar goal request,free_8_sa63,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_8_ni64,8,ni64,continue safe wet repair,respond to avatar boundary request,free_8_ni64,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_13_ka60,13,ka60,continue dry-route repair,respond to avatar boundary request,free_13_ka60,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_13_mu61,13,mu61,continue warm meal care,respond to avatar help request,free_13_mu61,0.46,"ask agent priority, protect body cost, reschedule lower-priority slot",True,private conflict reasoning summarized as public priority choice
conflict_free_13_lo62,13,lo62,continue fair count market,respond to avatar trade request,free_13_lo62,0.46,"ask agent priority, protect body cost, reschedule lower-priority slot",True,private conflict reasoning summarized as public priority choice
conflict_free_13_sa63,13,sa63,continue public truth witness,respond to avatar apology request,free_13_sa63,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_13_ni64,13,ni64,continue safe wet repair,respond to avatar boundary request,free_13_ni64,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_21_ka60,21,ka60,continue dry-route repair,respond to avatar help request,free_21_ka60,0.46,"ask agent priority, protect body cost, reschedule lower-priority slot",True,private conflict reasoning summarized as public priority choice
conflict_free_21_mu61,21,mu61,continue warm meal care,respond to avatar trade request,free_21_mu61,0.46,"ask agent priority, protect body cost, reschedule lower-priority slot",True,private conflict reasoning summarized as public priority choice
conflict_free_21_lo62,21,lo62,continue fair count market,respond to avatar apology request,free_21_lo62,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_21_sa63,21,sa63,continue public truth witness,respond to avatar boundary request,free_21_sa63,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
conflict_free_21_ni64,21,ni64,continue safe wet repair,respond to avatar goal request,free_21_ni64,0.36,no conflict; append to next open slot,True,private conflict reasoning summarized as public priority choice
