tick_id,day,session_id,settlement_id,resident_id,site_id,start_x,start_y,target_x,target_y,distance_before,distance_after,path_nodes,collision_or_boundary,arrived_or_closer,sensory_marker,frequency_hz,flower_phase
0,1,session-001,moss_ward,Milo,rain_gate,10,1,2,8,15,11,10->1|11->2|12->3|13->3|14->3,wet edge reroute,True,wet moss,5.2505,0.021476
1,1,session-001,glass_harbor,Sera,net_room,11,3,7,5,6,2,11->3|12->4|13->5|14->5|15->5,clear,True,salt fiber,6.4095,0.037254
2,1,session-001,cinder_garden,Juno,shade_tent,12,5,10,6,3,0,12->5|13->6|14->7|15->7,clear,True,dry shade,8.9855,0.061032
3,1,session-001,lichen_bridge,Luma,rope_bridge,0,7,1,7,1,0,0->7|1->8,clear,True,damp rope,7.6565,0.05281
4,1,session-001,orchid_engine,Dax,gear_wash,1,9,8,8,8,4,1->9|2->10|3->11|4->11|5->11,clear,True,gear oil,9.965,0.078587
5,1,session-001,moss_ward,Tala,root_alcove,2,0,9,2,9,5,2->0|3->1|4->2|5->2|6->2,clear,True,root ink,5.3135,0.035365
6,1,session-001,glass_harbor,Nia,lamp_pier,3,2,3,9,7,3,3->2|4->3|5->4|6->4|7->4,clear,True,lamp oil,6.460214,0.051143
7,1,session-001,cinder_garden,Pax,ash_path,4,4,5,9,6,2,4->4|5->5|6->6|7->6|8->6,clear,True,cool ash,9.0255,0.074921
8,1,session-001,lichen_bridge,Rin,meal_room,5,6,9,5,5,1,5->6|6->7|7->8|8->8|9->8,clear,True,lichen soup,7.7025,0.066698
9,1,session-001,orchid_engine,Eli,engine_ring,6,8,4,3,7,3,6->8|7->9|8->10|9->10|10->10,clear,True,warm iron,10.023214,0.092476
10,1,session-001,moss_ward,Ari,blanket_room,7,10,6,4,7,3,7->10|8->11|9->12|10->12|11->12,clear,True,warm wool,5.374214,0.049254
11,1,session-001,glass_harbor,Oren,fog_rail,8,1,11,3,5,1,8->1|9->2|10->3|11->3|12->3,clear,True,cold fog,6.5255,0.065032
12,1,session-001,cinder_garden,Vale,seed_shelf,9,3,2,5,9,5,9->3|10->4|11->5|12->5|13->5,clear,True,seed oil,9.0705,0.08881
13,1,session-001,lichen_bridge,Sol,signal_post,10,5,6,10,9,5,10->5|11->6|12->7|13->7|14->7,clear,True,bell hum,7.7415,0.080587
14,1,session-001,orchid_engine,Bea,orchid_bay,11,7,12,4,4,0,11->7|12->8|13->9|14->9|15->9,clear,True,orchid steam,10.0975,0.106365
15,1,session-001,moss_ward,Fay,rain_gate,12,9,2,8,11,7,12->9|13->10|14->11|15->11|16->11,clear,True,wet moss,5.419864,0.063143
16,1,session-001,glass_harbor,Puck,net_room,0,0,7,5,12,8,0->0|1->1|2->2|3->2|4->2,clear,True,salt fiber,6.5595,0.078921
17,1,session-001,cinder_garden,Wren,shade_tent,1,2,10,6,13,9,1->2|2->3|3->4|4->4|5->4,clear,True,dry shade,9.119346,0.102698
18,2,session-001,orchid_engine,Eli,gear_wash,11,2,8,8,9,5,11->2|12->3|13->4|14->4|15->4,clear,True,gear oil,10.11675,0.117952
19,2,session-001,moss_ward,Ari,root_alcove,12,4,9,2,5,1,12->4|13->5|14->6|15->6|16->6,wet edge reroute,True,root ink,5.48375,0.07473
20,2,session-001,glass_harbor,Oren,lamp_pier,0,6,3,9,6,2,0->6|1->7|2->8|3->8|4->8,clear,True,lamp oil,6.61865,0.090508
21,2,session-001,cinder_garden,Vale,ash_path,1,8,5,9,5,1,1->8|2->9|3->10|4->10|5->10,clear,True,cool ash,9.18575,0.114286
22,2,session-001,lichen_bridge,Sol,meal_room,2,10,9,5,12,8,2->10|3->11|4->12|5->12|6->12,clear,True,lichen soup,7.83565,0.106063
23,2,session-001,orchid_engine,Bea,engine_ring,3,1,4,3,3,0,3->1|4->2|5->3|6->3,clear,True,warm iron,10.19675,0.131841
24,2,session-001,moss_ward,Fay,blanket_room,4,3,6,4,3,0,4->3|5->4|6->5|7->5,clear,True,warm wool,5.54775,0.088619
25,2,session-001,glass_harbor,Puck,fog_rail,5,5,11,3,8,4,5->5|6->6|7->7|8->7|9->7,clear,True,cold fog,6.66625,0.104397
26,2,session-001,cinder_garden,Wren,seed_shelf,6,7,2,5,6,2,6->7|7->8|8->9|9->9|10->9,clear,True,seed oil,9.23475,0.128175
27,2,session-001,lichen_bridge,Kio,signal_post,7,9,6,10,2,0,7->9|8->10|9->11,clear,True,bell hum,7.9205,0.119952
28,2,session-001,orchid_engine,Cai,orchid_bay,8,0,12,4,8,4,8->0|9->1|10->2|11->2|12->2,clear,True,orchid steam,10.229,0.14573
29,2,session-001,moss_ward,Milo,rain_gate,9,2,2,8,13,9,9->2|10->3|11->4|12->4|13->4,clear,True,wet moss,5.571596,0.102508
30,2,session-001,glass_harbor,Sera,net_room,10,4,7,5,4,0,10->4|11->5|12->6|13->6|14->6,clear,True,salt fiber,6.74365,0.118286
31,2,session-001,cinder_garden,Juno,shade_tent,11,6,10,6,1,0,11->6|12->7,clear,True,dry shade,9.30475,0.142063
32,2,session-001,lichen_bridge,Luma,rope_bridge,12,8,1,7,12,8,12->8|13->9|14->10|15->10|16->10,clear,True,damp rope,7.94565,0.133841
33,2,session-001,orchid_engine,Dax,gear_wash,0,10,8,8,10,6,0->10|1->11|2->12|3->12|4->12,clear,True,gear oil,10.27975,0.159619
34,2,session-001,moss_ward,Tala,root_alcove,1,1,9,2,9,5,1->1|2->2|3->3|4->3|5->3,clear,True,root ink,5.63265,0.116397
35,2,session-001,glass_harbor,Nia,lamp_pier,2,3,3,9,7,3,2->3|3->4|4->5|5->5|6->5,clear,True,lamp oil,6.779464,0.132175
36,3,session-001,lichen_bridge,Kio,meal_room,12,3,9,5,5,1,12->3|13->4|14->5|15->5|16->5,clear,True,lichen soup,8.01065,0.145429
37,3,session-001,orchid_engine,Cai,engine_ring,0,5,4,3,6,2,0->5|1->6|2->7|3->7|4->7,clear,True,warm iron,10.33575,0.171206
38,3,session-001,moss_ward,Milo,blanket_room,1,7,6,4,8,4,1->7|2->8|3->9|4->9|5->9,wet edge reroute,True,warm wool,5.6795,0.127984
39,3,session-001,glass_harbor,Sera,fog_rail,2,9,11,3,15,11,2->9|3->10|4->11|5->11|6->11,clear,True,cold fog,6.8099,0.143762
40,3,session-001,cinder_garden,Juno,seed_shelf,3,0,2,5,6,2,3->0|4->1|5->2|6->2|7->2,clear,True,seed oil,9.3889,0.16754
41,3,session-001,lichen_bridge,Luma,signal_post,4,2,6,10,10,6,4->2|5->3|6->4|7->4|8->4,clear,True,bell hum,8.0479,0.159317
42,3,session-001,orchid_engine,Dax,orchid_bay,5,4,12,4,7,3,5->4|6->5|7->6|8->6|9->6,clear,True,orchid steam,10.386714,0.185095
43,3,session-001,moss_ward,Tala,rain_gate,6,6,2,8,6,2,6->6|7->7|8->8|9->8|10->8,clear,True,wet moss,5.7419,0.141873
44,3,session-001,glass_harbor,Nia,net_room,7,8,7,5,3,0,7->8|8->9|9->10|10->10,clear,True,salt fiber,6.8979,0.157651
45,3,session-001,cinder_garden,Pax,shade_tent,8,10,10,6,6,2,8->10|9->11|10->12|11->12|12->12,clear,True,dry shade,9.44365,0.181429
46,3,session-001,lichen_bridge,Rin,rope_bridge,9,1,1,7,14,10,9->1|10->2|11->3|12->3|13->3,clear,True,damp rope,8.097607,0.173206
47,3,session-001,orchid_engine,Eli,gear_wash,10,3,8,8,7,3,10->3|11->4|12->5|13->5|14->5,clear,True,gear oil,10.441714,0.198984
48,3,session-001,moss_ward,Ari,root_alcove,11,5,9,2,5,1,11->5|12->6|13->7|14->7|15->7,clear,True,root ink,5.803,0.155762
49,3,session-001,glass_harbor,Oren,lamp_pier,12,7,3,9,11,7,12->7|13->8|14->9|15->9|16->9,clear,True,lamp oil,6.924264,0.17154
50,3,session-001,cinder_garden,Vale,ash_path,0,9,5,9,5,1,0->9|1->10|2->11|3->11|4->11,clear,True,cool ash,9.5049,0.195317
51,3,session-001,lichen_bridge,Sol,meal_room,1,0,9,5,13,9,1->0|2->1|3->2|4->2|5->2,clear,True,lichen soup,8.153746,0.187095
52,3,session-001,orchid_engine,Bea,engine_ring,2,2,4,3,3,0,2->2|3->3|4->4|5->4,clear,True,warm iron,10.5159,0.212873
53,3,session-001,moss_ward,Fay,blanket_room,3,4,6,4,3,0,3->4|4->5|5->6|6->6,clear,True,warm wool,5.867,0.169651
54,4,session-001,cinder_garden,Pax,seed_shelf,0,4,2,5,3,0,0->4|1->5|2->6|3->6,clear,True,seed oil,9.5578,0.206905
55,4,session-001,lichen_bridge,Rin,signal_post,1,6,6,10,9,5,1->6|2->7|3->8|4->8|5->8,clear,True,bell hum,8.204,0.198683
56,4,session-001,orchid_engine,Eli,orchid_bay,2,8,12,4,14,10,2->8|3->9|4->10|5->10|6->10,clear,True,orchid steam,10.528007,0.22446
57,4,session-001,moss_ward,Ari,rain_gate,3,10,2,8,3,0,3->10|4->11|5->12|6->12,wet edge reroute,True,wet moss,5.91125,0.181238
58,4,session-001,glass_harbor,Oren,net_room,4,1,7,5,7,3,4->1|5->2|6->3|7->3|8->3,clear,True,salt fiber,7.032864,0.197016
59,4,session-001,cinder_garden,Vale,shade_tent,5,3,10,6,8,4,5->3|6->4|7->5|8->5|9->5,clear,True,dry shade,9.59065,0.220794
60,4,session-001,lichen_bridge,Sol,rope_bridge,6,5,1,7,7,3,6->5|7->6|8->7|9->7|10->7,clear,True,damp rope,8.264864,0.212571
61,4,session-001,orchid_engine,Bea,gear_wash,7,7,8,8,2,0,7->7|8->8|9->9,clear,True,gear oil,10.61515,0.238349
62,4,session-001,moss_ward,Fay,root_alcove,8,9,9,2,8,4,8->9|9->10|10->11|11->11|12->11,clear,True,root ink,5.94365,0.195127
63,4,session-001,glass_harbor,Puck,lamp_pier,9,0,3,9,15,11,9->0|10->1|11->2|12->2|13->2,clear,True,lamp oil,7.0739,0.210905
64,4,session-001,cinder_garden,Wren,ash_path,10,2,5,9,12,8,10->2|11->3|12->4|13->4|14->4,clear,True,cool ash,9.638,0.234683
65,4,session-001,lichen_bridge,Kio,meal_room,11,4,9,5,3,0,11->4|12->5|13->6|14->6,clear,True,lichen soup,8.3389,0.22646
66,4,session-001,orchid_engine,Cai,engine_ring,12,6,4,3,11,7,12->6|13->7|14->8|15->8|16->8,clear,True,warm iron,10.641264,0.252238
67,4,session-001,moss_ward,Milo,blanket_room,0,8,6,4,10,6,0->8|1->9|2->10|3->10|4->10,clear,True,warm wool,5.99425,0.209016
68,4,session-001,glass_harbor,Sera,fog_rail,1,10,11,3,17,13,1->10|2->11|3->12|4->12|5->12,clear,True,cold fog,7.127738,0.224794
69,4,session-001,cinder_garden,Juno,seed_shelf,2,1,2,5,4,0,2->1|3->2|4->3|5->3|6->3,clear,True,seed oil,9.72315,0.248571
70,4,session-001,lichen_bridge,Luma,signal_post,3,3,6,10,10,6,3->3|4->4|5->5|6->5|7->5,clear,True,bell hum,8.36715,0.240349
71,4,session-001,orchid_engine,Dax,orchid_bay,4,5,12,4,9,5,4->5|5->6|6->7|7->7|8->7,clear,True,orchid steam,10.70025,0.266127
72,5,session-001,glass_harbor,Puck,net_room,1,5,7,5,6,2,1->5|2->6|3->7|4->7|5->7,clear,True,salt fiber,7.19115,0.236381
73,5,session-001,cinder_garden,Wren,shade_tent,2,7,10,6,9,5,2->7|3->8|4->9|5->9|6->9,clear,True,dry shade,9.74225,0.260159
74,5,session-001,lichen_bridge,Kio,rope_bridge,3,9,1,7,4,0,3->9|4->10|5->11|6->11|7->11,clear,True,damp rope,8.43805,0.251937
75,5,session-001,orchid_engine,Cai,gear_wash,4,0,8,8,12,8,4->0|5->1|6->2|7->2|8->2,clear,True,gear oil,10.73915,0.277714
76,5,session-001,moss_ward,Milo,root_alcove,5,2,9,2,4,0,5->2|6->3|7->4|8->4|9->4,wet edge reroute,True,root ink,6.1205,0.234492
77,5,session-001,glass_harbor,Sera,lamp_pier,6,4,3,9,8,4,6->4|7->5|8->6|9->6|10->6,clear,True,lamp oil,7.2389,0.25027
78,5,session-001,cinder_garden,Juno,ash_path,7,6,5,9,5,1,7->6|8->7|9->8|10->8|11->8,clear,True,cool ash,9.8133,0.274048
79,5,session-001,lichen_bridge,Luma,meal_room,8,8,9,5,4,0,8->8|9->9|10->10|11->10|12->10,clear,True,lichen soup,8.4934,0.265825
80,5,session-001,orchid_engine,Dax,engine_ring,9,10,4,3,12,8,9->10|10->11|11->12|12->12|13->12,clear,True,warm iron,10.7944,0.291603
81,5,session-001,moss_ward,Tala,blanket_room,10,1,6,4,7,3,10->1|11->2|12->3|13->3|14->3,clear,True,warm wool,6.155864,0.248381
82,5,session-001,glass_harbor,Nia,fog_rail,11,3,11,3,0,0,11->3,clear,True,cold fog,7.31615,0.264159
83,5,session-001,cinder_garden,Pax,seed_shelf,12,5,2,5,10,6,12->5|13->6|14->7|15->7|16->7,clear,True,seed oil,9.85005,0.287937
84,5,session-001,lichen_bridge,Rin,signal_post,0,7,6,10,9,5,0->7|1->8|2->9|3->9|4->9,clear,True,bell hum,8.52315,0.279714
85,5,session-001,orchid_engine,Eli,orchid_bay,1,9,12,4,16,12,1->9|2->10|3->11|4->11|5->11,clear,True,orchid steam,10.84565,0.305492
86,5,session-001,moss_ward,Ari,rain_gate,2,0,2,8,8,4,2->0|3->1|4->2|5->2|6->2,clear,True,wet moss,6.2079,0.26227
87,5,session-001,glass_harbor,Oren,net_room,3,2,7,5,7,3,3->2|4->3|5->4|6->4|7->4,clear,True,salt fiber,7.352114,0.278048
88,5,session-001,cinder_garden,Vale,shade_tent,4,4,10,6,8,4,4->4|5->5|6->6|7->6|8->6,clear,True,dry shade,9.9098,0.301825
89,5,session-001,lichen_bridge,Sol,rope_bridge,5,6,1,7,5,1,5->6|6->7|7->8|8->8|9->8,clear,True,damp rope,8.5944,0.293603
90,6,session-001,moss_ward,Tala,root_alcove,2,6,9,2,11,7,2->6|3->7|4->8|5->8|6->8,clear,True,root ink,6.245664,0.273857
91,6,session-001,glass_harbor,Nia,lamp_pier,3,8,3,9,1,0,3->8|4->9,clear,True,lamp oil,7.4154,0.289635
