tick_id,day,settlement_id,reload_index,project_count,inventory_keys,tool_keys,failure_recovery_count,phrase_memory_count,checksum,restored_projects_visible,restored_inventory_visible,restored_tool_wear_visible,restored_recovery_visible,restored_phrase_relationship_visible,replay_exportable
0,1,glass_harbor,1,1,4,3,1,1,ccdde65c25f8275d,True,True,True,True,True,True
1,1,cinder_garden,1,1,4,3,0,1,b1c0396e77abf625,True,True,True,True,True,True
2,1,lichen_bridge,1,1,4,3,1,1,ef5c591928991df9,True,True,True,True,True,True
3,1,orchid_engine,1,1,4,3,0,1,a165dddd862ee074,True,True,True,True,True,True
4,1,moss_ward,1,1,4,3,1,1,6a57f2cc3b0ee4d2,True,True,True,True,True,True
5,1,glass_harbor,2,2,4,3,1,2,c47fb176a4018b8b,True,True,True,True,True,True
6,1,cinder_garden,2,2,4,3,1,2,daed244fbdf1ab19,True,True,True,True,True,True
7,1,lichen_bridge,2,2,4,3,1,2,466a0ccfa0873cde,True,True,True,True,True,True
8,1,orchid_engine,2,2,4,3,1,2,1462454a72afbded,True,True,True,True,True,True
9,1,moss_ward,2,2,4,3,1,2,bab2ecf2c50b8b39,True,True,True,True,True,True
10,1,glass_harbor,3,3,4,3,2,3,a409510d66de5e39,True,True,True,True,True,True
11,1,cinder_garden,3,3,4,3,1,3,93ec16e288b9e8d5,True,True,True,True,True,True
12,1,lichen_bridge,3,3,4,3,2,3,786f9f53bbe56d00,True,True,True,True,True,True
13,1,orchid_engine,3,3,4,3,1,3,9db844e22a3aa139,True,True,True,True,True,True
14,1,moss_ward,3,3,4,3,2,3,dee2a3da4d2f78e9,True,True,True,True,True,True
15,1,glass_harbor,4,4,4,3,2,4,b387ff4ece8c20dd,True,True,True,True,True,True
16,1,cinder_garden,4,4,4,3,2,4,cb36e87313c2bed5,True,True,True,True,True,True
17,1,lichen_bridge,4,4,4,3,2,4,313278f7e661158e,True,True,True,True,True,True
24,2,glass_harbor,5,6,4,3,3,6,f039605cfc9d60c7,True,True,True,True,True,True
32,2,orchid_engine,4,6,4,3,3,6,5fd97558ab4a579c,True,True,True,True,True,True
40,3,lichen_bridge,5,8,4,3,4,8,9e814667204b43e0,True,True,True,True,True,True
48,3,glass_harbor,6,11,4,3,6,11,363e4d8336feab61,True,True,True,True,True,True
56,4,moss_ward,4,12,4,3,8,12,d41eb046050421c4,True,True,True,True,True,True
64,4,lichen_bridge,6,13,4,3,7,13,cf42cf240a2e4968,True,True,True,True,True,True
72,5,cinder_garden,5,15,4,3,8,15,b935ac1a7d7650d6,True,True,True,True,True,True
80,5,moss_ward,5,17,4,3,10,17,95da3e8963526181,True,True,True,True,True,True
88,5,lichen_bridge,7,18,4,3,9,18,c6e5fae6daf5d9b9,True,True,True,True,True,True
96,6,cinder_garden,6,20,4,3,11,20,3446d8d0a02753d9,True,True,True,True,True,True
104,6,moss_ward,6,21,4,3,12,21,083ec642f2669e81,True,True,True,True,True,True
112,7,orchid_engine,5,22,4,3,11,22,cf05592c50db26b4,True,True,True,True,True,True
120,7,cinder_garden,7,25,4,3,14,25,436be7d1986aa588,True,True,True,True,True,True
128,8,glass_harbor,7,27,4,3,14,27,683e793fb03a0110,True,True,True,True,True,True
136,8,orchid_engine,6,27,4,3,14,27,05d9947cbc9e618a,True,True,True,True,True,True
144,9,lichen_bridge,8,29,4,3,15,29,622fba83453211e7,True,True,True,True,True,True
152,9,glass_harbor,8,32,4,3,16,32,1f3c9512f28a7664,True,True,True,True,True,True
160,9,orchid_engine,7,32,4,3,16,32,7f9816962af12b2b,True,True,True,True,True,True
168,10,lichen_bridge,9,34,4,3,17,34,197a837d276bde4f,True,True,True,True,True,True
176,10,glass_harbor,9,36,4,3,18,36,d0087231ccbe0729,True,True,True,True,True,True
184,11,moss_ward,7,37,4,3,20,37,d606d7f0a21af7ae,True,True,True,True,True,True
192,11,lichen_bridge,10,39,4,3,20,39,e9e2d4ceaaa47eab,True,True,True,True,True,True
200,12,cinder_garden,8,41,4,3,22,41,0ddec6b3cbd4a8c5,True,True,True,True,True,True
208,12,moss_ward,8,42,4,3,23,42,99492c7d79329693,True,True,True,True,True,True
216,13,orchid_engine,8,43,4,3,22,43,0212b20ffc7bd02c,True,True,True,True,True,True
224,13,cinder_garden,9,46,4,3,24,46,b200192f0b1dda67,True,True,True,True,True,True
232,13,moss_ward,9,47,4,3,25,47,97d67a31dc43b4f6,True,True,True,True,True,True
240,14,orchid_engine,9,48,4,3,25,48,7a8a25f29094201c,True,True,True,True,True,True
248,14,cinder_garden,10,50,4,3,26,50,bad03f469798bce9,True,True,True,True,True,True
256,15,glass_harbor,10,52,4,3,26,52,f9610de725a17d61,True,True,True,True,True,True
264,15,orchid_engine,10,53,4,3,28,53,1d37ba8592be3520,True,True,True,True,True,True
272,16,lichen_bridge,11,55,4,3,28,55,3025ac32e20bfaaa,True,True,True,True,True,True
280,16,glass_harbor,11,57,4,3,30,57,017d1787cb46eeab,True,True,True,True,True,True
288,17,moss_ward,10,58,4,3,31,58,8ebdd51da37704ed,True,True,True,True,True,True
296,17,lichen_bridge,12,60,4,3,30,60,9ad3c6229071071c,True,True,True,True,True,True
304,17,glass_harbor,12,62,4,3,32,62,7d9eaa839cd1cfb2,True,True,True,True,True,True
312,18,moss_ward,11,63,4,3,33,63,5553cd75a7b0425b,True,True,True,True,True,True
320,18,lichen_bridge,13,64,4,3,32,64,a1bab2687f5ccb52,True,True,True,True,True,True
328,19,cinder_garden,11,66,4,3,34,66,38ced95f5569f9ab,True,True,True,True,True,True
336,19,moss_ward,12,68,4,3,36,68,e0a89613be6b056d,True,True,True,True,True,True
344,20,orchid_engine,11,69,4,3,36,69,5989d2a90bbce896,True,True,True,True,True,True
352,20,cinder_garden,12,71,4,3,37,71,2d4a897022fcf05b,True,True,True,True,True,True
360,21,glass_harbor,13,73,4,3,38,73,bec512ad64df7aa8,True,True,True,True,True,True
