tick_id,day,route_id,drill_id,playable_step,simulated_disaster,participant_guild,success_score,mistake_visible,recovery_lesson,replayable
0,1,riverbend_roofward,drill:riverbend_roofward:d1,none,none,Bridgewright Guild,0.0,False,none,False
1,1,roofward_archive,drill:roofward_archive:d1,none,none,Glassgarden Guild,0.0,False,none,False
2,1,archive_signal,drill:archive_signal:d1,none,none,Index Guild,0.0,False,none,False
3,1,signal_orchard,drill:signal_orchard:d1,none,none,Signal Guild,0.0,False,none,False
4,1,orchard_riverbend,drill:orchard_riverbend:d1,none,none,Seed Guild,0.0,False,none,False
5,1,central_repair_ring,drill:central_repair_ring:d1,none,none,Repair Circle,0.0,False,none,False
6,1,riverbend_roofward,drill:riverbend_roofward:d1,none,none,Bridgewright Guild,0.0,False,none,False
7,1,roofward_archive,drill:roofward_archive:d1,none,none,Glassgarden Guild,0.0,False,none,False
8,1,archive_signal,drill:archive_signal:d1,none,none,Index Guild,0.0,False,none,False
9,1,signal_orchard,drill:signal_orchard:d1,none,none,Signal Guild,0.0,False,none,False
10,1,orchard_riverbend,drill:orchard_riverbend:d1,none,none,Seed Guild,0.0,False,none,False
11,1,central_repair_ring,drill:central_repair_ring:d1,none,none,Repair Circle,0.0,False,none,False
12,1,riverbend_roofward,drill:riverbend_roofward:d1,none,none,Bridgewright Guild,0.0,False,none,False
13,1,roofward_archive,drill:roofward_archive:d1,none,none,Glassgarden Guild,0.0,False,none,False
14,2,archive_signal,drill:archive_signal:d2,none,none,Index Guild,0.0,False,none,False
15,2,signal_orchard,drill:signal_orchard:d2,none,none,Signal Guild,0.0,False,none,False
16,2,orchard_riverbend,drill:orchard_riverbend:d2,none,none,Seed Guild,0.0,False,none,False
17,2,central_repair_ring,drill:central_repair_ring:d2,none,none,Repair Circle,0.0,False,none,False
18,2,riverbend_roofward,drill:riverbend_roofward:d2,none,none,Bridgewright Guild,0.0,False,none,False
19,2,roofward_archive,drill:roofward_archive:d2,none,none,Glassgarden Guild,0.0,False,none,False
20,2,archive_signal,drill:archive_signal:d2,none,none,Index Guild,0.0,False,none,False
21,2,signal_orchard,drill:signal_orchard:d2,none,none,Signal Guild,0.0,False,none,False
22,2,orchard_riverbend,drill:orchard_riverbend:d2,none,none,Seed Guild,0.0,False,none,False
23,2,central_repair_ring,drill:central_repair_ring:d2,none,none,Repair Circle,0.0,False,none,False
