replay_id,choice_id,import_hash,export_hash,selected_branch_label,replay_includes_mutation,replay_includes_followup,save_restore_available,durable_keys
1,1,16e102de118a8717,16e102de118a8717,limited_access,True,True,True,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
2,2,16e102de118a8717,eba658ef8e792e96,repair_first_access,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
3,3,16e102de118a8717,17353bc17fdbbe26,summary_then_decide,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
4,4,16e102de118a8717,950b7bd84d9aaf13,blocked_until_repair,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
5,5,16e102de118a8717,eb8610831e4165a1,observe_then_followup,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
6,6,16e102de118a8717,ffee875bee2a07e4,limited_access,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
7,7,16e102de118a8717,b62989292eeb32e1,repair_first_access,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
8,8,16e102de118a8717,7ae2ef0a8e43c915,summary_then_decide,True,False,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
9,9,16e102de118a8717,880d97ab2745ea2a,blocked_until_repair,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
10,10,16e102de118a8717,65ce226543f9c75b,observe_then_followup,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
11,11,16e102de118a8717,03394dd845a9bc0e,limited_access,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
12,12,618c73ca61f22090,618c73ca61f22090,repair_first_access,True,True,True,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
13,13,618c73ca61f22090,1ae3522674d21f51,summary_then_decide,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
14,14,618c73ca61f22090,bc7799437838adbb,blocked_until_repair,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
15,15,618c73ca61f22090,78a0efb63ff3d8cb,observe_then_followup,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
16,16,618c73ca61f22090,15e98df7cd107551,limited_access,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
17,17,618c73ca61f22090,4f203b481fb62d6f,repair_first_access,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
18,18,618c73ca61f22090,14455a7f061c7d5d,summary_then_decide,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
19,19,618c73ca61f22090,125a4fca1b7101cb,blocked_until_repair,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
20,20,618c73ca61f22090,77130e0dbbbc4f4e,observe_then_followup,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
21,21,618c73ca61f22090,b37eafbc59271f12,limited_access,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
22,22,618c73ca61f22090,b970adfeb69d4f07,repair_first_access,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
23,23,618c73ca61f22090,3073784338ab41a0,summary_then_decide,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
24,24,5a60c9e508a5c1cb,5a60c9e508a5c1cb,blocked_until_repair,True,True,True,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
25,25,5a60c9e508a5c1cb,a784c2082a064440,observe_then_followup,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
26,26,5a60c9e508a5c1cb,b2a0d0fcdc3faedd,limited_access,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
27,27,5a60c9e508a5c1cb,61e7ef9669a154ff,repair_first_access,True,True,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
28,28,5a60c9e508a5c1cb,8995788cd3243dbd,summary_then_decide,True,False,False,"source_branch_hash,selected_branch,mutable_state,restore_probe,followup,rollback,replay"
