event_id,week,source_household,target_household,public_diffusion_marker,public_ritual_marker,public_reputation_marker,private_cultural_hint,guardrail_marker,replay_checkpoint,trace_integrity_token
1,1,Hearthnest,Marketroof,Hearthnest->Marketroof: lum adoption 0.40->0.56,lum-circle; ritual=0.29; clause=invite without pressure,avatar=0.56; pressure=0.17; household keeps ordinary distance,gain=0.160; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,r245-week01-event001,r245:1:0aaf6aacc6
2,1,Routehall,Quietledger,Routehall->Quietledger: tek adoption 0.40->0.56,tek-circle; ritual=0.35; clause=invite without pressure,avatar=0.56; pressure=0.17; household keeps ordinary distance,gain=0.160; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:2:f13bbe5901
3,1,Marketroof,Orchardring,Marketroof->Orchardring: melo adoption 0.68->0.81,melo-circle; ritual=0.35; clause=invite without pressure,avatar=0.56; pressure=0.17; household keeps ordinary distance,gain=0.134; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:3:c50bca2bf5
4,1,Quietledger,Rainloft,Quietledger->Rainloft: nari adoption 0.66->0.80,nari-circle; ritual=0.29; clause=invite without pressure,avatar=0.56; pressure=0.17; household keeps ordinary distance,gain=0.136; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:4:2f1b06d74e
5,1,Orchardring,Hearthnest,Orchardring->Hearthnest: tek adoption 0.40->0.56,tek-circle; ritual=0.37; clause=invite without pressure,avatar=0.56; pressure=0.17; household keeps ordinary distance,gain=0.163; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:5:00094ac93c
6,1,Rainloft,Routehall,Rainloft->Routehall: sova adoption 0.40->0.56,sova-circle; ritual=0.35; clause=invite without pressure,avatar=0.56; pressure=0.17; household keeps ordinary distance,gain=0.162; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:6:9d3c442420
7,1,Hearthnest,Quietledger,Hearthnest->Quietledger: lum adoption 0.40->0.56,lum-circle; ritual=0.36; clause=invite without pressure,avatar=0.58; pressure=0.16; household keeps ordinary distance,gain=0.161; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:7:507e26fea9
8,1,Routehall,Orchardring,Routehall->Orchardring: tek adoption 0.60->0.74,tek-circle; ritual=0.36; clause=invite without pressure,avatar=0.58; pressure=0.16; household keeps ordinary distance,gain=0.143; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:8:f5cce85788
9,1,Marketroof,Rainloft,Marketroof->Rainloft: melo adoption 0.40->0.56,melo-circle; ritual=0.36; clause=invite without pressure,avatar=0.58; pressure=0.16; household keeps ordinary distance,gain=0.162; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:9:142a4b969f
10,1,Quietledger,Hearthnest,Quietledger->Hearthnest: nari adoption 0.40->0.56,nari-circle; ritual=0.44; clause=invite without pressure,avatar=0.58; pressure=0.16; household keeps ordinary distance,gain=0.163; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:10:5f87e8594e
11,1,Orchardring,Routehall,Orchardring->Routehall: melo adoption 0.40->0.56,melo-circle; ritual=0.36; clause=invite without pressure,avatar=0.58; pressure=0.16; household keeps ordinary distance,gain=0.163; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:11:359935c6af
