tick_id,day,settlement_id,resident_id,room_id,schedule_phase,avatar_action,dialect_memory_used,body_state_referenced,object_context_referenced,interaction_visible,private_workspace_hidden
0,1,riverbend,Lio,arrival court,morning work,warm_up,True,True,True,True,True
1,1,roofward,Fay,arrival court,morning work,avoid_hazard,False,True,False,True,True
2,1,archive,Toma,stone stacks,morning work,move_east,False,False,False,True,True
3,1,signal,Milo,arrival court,midday exchange,pick_up_object,False,False,True,True,True
4,1,orchard,Mara,arrival court,midday exchange,talk_resident,True,True,False,True,True
5,1,repair_ring,Juno,spark lane,midday exchange,wait_for_schedule,True,False,False,True,True
6,1,riverbend,Lio,arrival court,evening repair,pick_up_object,True,False,True,True,True
7,1,roofward,Fay,arrival court,evening repair,talk_resident,True,True,True,True,True
8,1,archive,Toma,spool room,evening repair,wait_for_schedule,True,False,False,True,True
9,1,signal,Milo,arrival court,night memory,warm_up,False,True,False,True,True
10,1,orchard,Mara,seed lane,night memory,avoid_hazard,True,True,False,True,True
11,1,repair_ring,Juno,arrival court,night memory,move_east,True,False,False,True,True
12,2,riverbend,Ari,arrival court,morning work,dry_off,True,True,False,True,True
13,2,roofward,Sera,warm lane,morning work,move_north,False,False,False,True,True
14,2,archive,Nia,spool room,morning work,inspect_object,False,False,True,True,True
15,2,signal,Ren,arrival court,midday exchange,place_object,False,False,True,True,True
16,2,orchard,Ivo,seed lane,midday exchange,ask_dialect_memory,True,False,False,True,True
17,2,repair_ring,Pax,arrival court,midday exchange,rest,False,True,False,True,True
18,2,riverbend,Ari,arrival court,evening repair,place_object,True,False,True,True,True
19,2,roofward,Sera,warm lane,evening repair,ask_dialect_memory,True,False,False,True,True
20,2,archive,Nia,spool room,evening repair,rest,True,True,False,True,True
21,2,signal,Ren,arrival court,night memory,dry_off,False,True,True,True,True
22,2,orchard,Ivo,market plank,night memory,move_north,True,False,False,True,True
23,2,repair_ring,Pax,arrival court,night memory,inspect_object,False,False,True,True,True
24,3,riverbend,Lio,plank hall,morning work,avoid_hazard,True,True,False,True,True
25,3,roofward,Fay,arrival court,morning work,move_east,True,False,False,True,True
26,3,archive,Toma,spool room,morning work,pick_up_object,True,False,True,True,True
27,3,signal,Milo,arrival court,midday exchange,talk_resident,True,True,False,True,True
28,3,orchard,Mara,satchel shed,midday exchange,wait_for_schedule,True,False,True,True,True
29,3,repair_ring,Juno,arrival court,midday exchange,warm_up,True,True,False,True,True
30,3,riverbend,Lio,plank hall,evening repair,talk_resident,True,True,False,True,True
31,3,roofward,Fay,warm lane,evening repair,wait_for_schedule,True,False,False,True,True
32,3,archive,Toma,spool room,evening repair,warm_up,True,True,False,True,True
33,3,signal,Milo,arrival court,night memory,avoid_hazard,True,True,False,True,True
34,3,orchard,Mara,arrival court,night memory,move_east,True,False,False,True,True
35,3,repair_ring,Juno,arrival court,night memory,pick_up_object,True,False,True,True,True
36,4,riverbend,Ari,dry ridge,morning work,move_north,True,False,False,True,True
37,4,roofward,Sera,warm lane,morning work,inspect_object,True,False,True,True,True
38,4,archive,Nia,spool room,morning work,place_object,True,False,True,True,True
39,4,signal,Ren,arrival court,midday exchange,ask_dialect_memory,True,False,False,True,True
40,4,orchard,Ivo,arrival court,midday exchange,rest,True,True,False,True,True
41,4,repair_ring,Pax,arrival court,midday exchange,dry_off,False,True,False,True,True
42,4,riverbend,Ari,dry ridge,evening repair,ask_dialect_memory,True,False,True,True,True
43,4,roofward,Sera,warm lane,evening repair,rest,True,True,False,True,True
44,4,archive,Nia,spool room,evening repair,dry_off,True,True,False,True,True
45,4,signal,Ren,lantern walk,night memory,move_north,True,False,False,True,True
46,4,orchard,Ivo,seed lane,night memory,inspect_object,True,False,True,True,True
47,4,repair_ring,Pax,arrival court,night memory,place_object,False,False,True,True,True
48,5,riverbend,Lio,kit alcove,morning work,move_east,True,False,False,True,True
49,5,roofward,Fay,warm lane,morning work,pick_up_object,True,False,True,True,True
50,5,archive,Toma,spool room,morning work,talk_resident,True,True,False,True,True
51,5,signal,Milo,arrival court,midday exchange,wait_for_schedule,True,False,False,True,True
52,5,orchard,Mara,seed lane,midday exchange,warm_up,True,True,False,True,True
53,5,repair_ring,Juno,wire bench,midday exchange,avoid_hazard,True,True,False,True,True
54,5,riverbend,Lio,arrival court,evening repair,wait_for_schedule,True,False,False,True,True
55,5,roofward,Fay,warm lane,evening repair,warm_up,True,True,False,True,True
56,5,archive,Toma,spool room,evening repair,avoid_hazard,True,True,True,True,True
57,5,signal,Milo,lantern walk,night memory,move_east,True,False,False,True,True
58,5,orchard,Mara,market plank,night memory,pick_up_object,True,False,True,True,True
59,5,repair_ring,Juno,wire bench,night memory,talk_resident,True,True,False,True,True
60,6,riverbend,Ari,plank hall,morning work,inspect_object,True,False,True,True,True
61,6,roofward,Sera,warm lane,morning work,place_object,True,False,True,True,True
62,6,archive,Nia,spool room,morning work,ask_dialect_memory,True,False,False,True,True
63,6,signal,Ren,lantern walk,midday exchange,rest,True,True,True,True,True
64,6,orchard,Ivo,market plank,midday exchange,dry_off,True,True,False,True,True
65,6,repair_ring,Pax,bell alcove,midday exchange,move_north,False,False,False,True,True
66,6,riverbend,Ari,plank hall,evening repair,rest,True,True,False,True,True
67,6,roofward,Sera,warm lane,evening repair,dry_off,True,True,False,True,True
68,6,archive,Nia,ink niche,evening repair,move_north,True,False,False,True,True
69,6,signal,Ren,lantern walk,night memory,inspect_object,True,False,True,True,True
70,6,orchard,Ivo,satchel shed,night memory,place_object,True,False,True,True,True
71,6,repair_ring,Pax,bell alcove,night memory,ask_dialect_memory,True,False,False,True,True
72,7,roofward,Sera,ledger loft,morning work,place_object,True,False,True,True,True
73,7,archive,Nia,ink niche,morning work,ask_dialect_memory,True,False,False,True,True
74,7,signal,Ren,lantern walk,morning work,rest,True,True,False,True,True
75,7,orchard,Ivo,satchel shed,midday exchange,dry_off,True,True,False,True,True
76,7,repair_ring,Pax,arrival court,midday exchange,move_north,True,False,False,True,True
77,7,riverbend,Ari,plank hall,midday exchange,rest,True,True,True,True,True
