tick,day,replay_id,scene_id,includes_object_dialogue,includes_agent_request,includes_reaction_consequence,includes_later_pathing,includes_access_refusal,includes_storage_snapshot,deterministic_order,replay_integrity_score
0,1,v23-replay-0000,v23-scene-d01,1,1,0,1,1,1,1,0.891667
1,1,v23-replay-0001,v23-scene-d01,0,True,0,1,1,0,1,0.870833
2,1,v23-replay-0002,v23-scene-d01,1,1,0,1,1,1,1,0.891667
3,1,v23-replay-0003,v23-scene-d01,1,1,0,1,1,1,1,0.866667
4,1,v23-replay-0004,v23-scene-d01,1,1,0,1,0,1,1,0.860417
5,1,v23-replay-0005,v23-scene-d01,1,True,0,1,0,0,1,0.839583
6,1,v23-replay-0006,v23-scene-d01,1,1,1,1,0,1,1,0.96875
7,1,v23-replay-0007,v23-scene-d01,0,False,1,1,1,1,1,0.922917
8,1,v23-replay-0008,v23-scene-d01,1,1,0,1,1,1,1,0.891667
9,1,v23-replay-0009,v23-scene-d01,0,False,1,1,1,0,1,0.870833
10,1,v23-replay-0010,v23-scene-d01,1,1,1,1,0,1,1,0.96875
11,1,v23-replay-0011,v23-scene-d01,1,1,1,1,1,1,1,0.916667
12,1,v23-replay-0012,v23-scene-d01,1,False,1,1,1,1,1,0.96875
13,1,v23-replay-0013,v23-scene-d01,1,True,0,1,0,0,1,0.864583
14,1,v23-replay-0014,v23-scene-d01,1,1,1,1,1,1,1,0.9375
15,1,v23-replay-0015,v23-scene-d01,1,1,1,1,1,1,1,0.916667
16,2,v23-replay-0016,v23-scene-d02,1,1,1,1,1,1,1,0.975
17,2,v23-replay-0017,v23-scene-d02,0,True,1,1,1,0,1,0.895833
18,2,v23-replay-0018,v23-scene-d02,1,1,0,1,1,1,1,0.891667
19,2,v23-replay-0019,v23-scene-d02,1,1,1,1,0,1,1,0.96875
20,2,v23-replay-0020,v23-scene-d02,1,1,1,1,1,1,1,1.0
21,2,v23-replay-0021,v23-scene-d02,1,True,1,1,1,1,1,0.910417
22,2,v23-replay-0022,v23-scene-d02,1,1,1,1,1,1,1,0.9375
23,2,v23-replay-0023,v23-scene-d02,0,False,1,1,1,1,1,0.90625
24,2,v23-replay-0024,v23-scene-d02,1,1,1,1,1,1,1,0.9375
25,2,v23-replay-0025,v23-scene-d02,1,True,1,1,1,1,1,0.947917
26,2,v23-replay-0026,v23-scene-d02,1,1,1,1,1,1,1,1.0
27,2,v23-replay-0027,v23-scene-d02,1,1,1,1,1,1,1,0.975
28,2,v23-replay-0028,v23-scene-d02,0,False,1,1,1,1,1,0.94375
