tick_id,day,settlement_id,resident_id,object_id,avatar_prompt,remembered_debt,trust_before,trust_after,resident_reply,available_choice,debt_hook_visible,private_memory_not_dumped,choice_changes_debt_or_trust
0,1,roofward,Sera,herb ledger,absent,0.08,0.658,0.659,Sera: The role board says who owns the herb ledger.,listen without changing custody,True,True,True
1,1,archive,Vell,memory tag,ask_about_debt,0.098,0.663,0.666,Vell: I remember the memory tag loan and who witnessed it.,ask owner before acting,True,True,True
3,1,orchard,Ivo,seed satchel,inspect_role_board,0.08,0.646,0.647,Ivo: The role board says who owns the seed satchel.,listen without changing custody,True,True,True
6,1,roofward,Bex,shade cloth,inspect_role_board,0.098,0.651,0.652,Bex: The role board says who owns the shade cloth.,listen without changing custody,True,True,True
8,1,signal,Ren,oil lantern,ask_about_debt,0.098,0.651,0.654,Ren: I remember the oil lantern loan and who witnessed it.,ask owner before acting,True,True,True
9,1,orchard,Pim,dry cord,ask_forgiveness_limit,0.08,0.648,0.649,Pim: The role board says who owns the dry cord.,listen without changing custody,True,True,True
10,1,repair_ring,Wren,cool cloth,inspect_role_board,0.098,0.663,0.664,Wren: The role board says who owns the cool cloth.,listen without changing custody,True,True,True
11,1,riverbend,Ari,cedar plank,ask_about_debt,0.098,0.651,0.654,Ari: I remember the cedar plank loan and who witnessed it.,ask owner before acting,True,True,True
12,1,roofward,Sera,herb ledger,ask_forgiveness_limit,0.098,0.666,0.667,Sera: The role board says who owns the herb ledger.,listen without changing custody,True,True,True
13,1,archive,Vell,memory tag,inspect_role_board,0.098,0.666,0.667,Vell: The role board says who owns the memory tag.,listen without changing custody,True,True,True
15,1,orchard,Ivo,seed satchel,ask_about_debt,0.098,0.652,0.655,Ivo: I remember the seed satchel loan and who witnessed it.,ask owner before acting,True,True,True
18,2,archive,Toma,memory tag,ask_about_debt,0.098,0.663,0.666,Toma: I remember the memory tag loan and who witnessed it.,ask owner before acting,True,True,True
20,2,orchard,Suf,seed satchel,inspect_role_board,0.098,0.651,0.652,Suf: The role board says who owns the seed satchel.,listen without changing custody,True,True,True
21,2,repair_ring,Juno,copper wire,absent,0.08,0.658,0.659,Juno: The role board says who owns the copper wire.,listen without changing custody,True,True,True
23,2,roofward,Orr,shade cloth,inspect_role_board,0.08,0.646,0.647,Orr: The role board says who owns the shade cloth.,listen without changing custody,True,True,True
24,2,archive,Rin,signal spool,absent,0.098,0.651,0.652,Rin: The role board says who owns the signal spool.,listen without changing custody,True,True,True
25,2,signal,Milo,oil lantern,ask_about_debt,0.098,0.663,0.666,Milo: I remember the oil lantern loan and who witnessed it.,ask owner before acting,True,True,True
27,2,repair_ring,Vale,cool cloth,inspect_role_board,0.08,0.658,0.659,Vale: The role board says who owns the cool cloth.,listen without changing custody,True,True,True
28,2,riverbend,Nox,cedar plank,ask_about_debt,0.08,0.648,0.651,Nox: I remember the cedar plank loan and who witnessed it.,ask owner before acting,True,True,True
30,2,archive,Toma,memory tag,inspect_role_board,0.116,0.671,0.672,Toma: The role board says who owns the memory tag.,listen without changing custody,True,True,True
32,2,orchard,Suf,seed satchel,ask_about_debt,0.116,0.657,0.66,Suf: I remember the seed satchel loan and who witnessed it.,ask owner before acting,True,True,True
33,2,repair_ring,Juno,copper wire,ask_forgiveness_limit,0.08,0.659,0.66,Juno: The role board says who owns the copper wire.,listen without changing custody,True,True,True
35,2,roofward,Orr,shade cloth,ask_about_debt,0.08,0.649,0.652,Orr: I remember the shade cloth loan and who witnessed it.,ask owner before acting,True,True,True
36,3,signal,Ren,wind wrap,ask_forgiveness_limit,0.116,0.659,0.66,Ren: The role board says who owns the wind wrap.,listen without changing custody,True,True,True
37,3,orchard,Pim,seed satchel,inspect_role_board,0.08,0.651,0.652,Pim: The role board says who owns the seed satchel.,listen without changing custody,True,True,True
39,3,riverbend,Ari,binding cord,ask_forgiveness_limit,0.098,0.654,0.655,Ari: The role board says who owns the binding cord.,listen without changing custody,True,True,True
40,3,roofward,Sera,shade cloth,inspect_role_board,0.116,0.674,0.675,Sera: The role board says who owns the shade cloth.,listen without changing custody,True,True,True
42,3,signal,Oda,oil lantern,ask_about_debt,0.098,0.661,0.664,Oda: I remember the oil lantern loan and who witnessed it.,ask owner before acting,True,True,True
44,3,repair_ring,Pax,cool cloth,inspect_role_board,0.134,0.665,0.666,Pax: The role board says who owns the cool cloth.,listen without changing custody,True,True,True
45,3,riverbend,Cee,cedar plank,ask_about_debt,0.098,0.657,0.66,Cee: I remember the cedar plank loan and who witnessed it.,ask owner before acting,True,True,True
47,3,archive,Nia,memory tag,inspect_role_board,0.08,0.646,0.647,Nia: The role board says who owns the memory tag.,listen without changing custody,True,True,True
48,3,signal,Ren,wind wrap,absent,0.134,0.665,0.666,Ren: The role board says who owns the wind wrap.,listen without changing custody,True,True,True
49,3,orchard,Pim,seed satchel,ask_about_debt,0.08,0.656,0.659,Pim: I remember the seed satchel loan and who witnessed it.,ask owner before acting,True,True,True
51,3,riverbend,Ari,binding cord,absent,0.098,0.655,0.656,Ari: The role board says who owns the binding cord.,listen without changing custody,True,True,True
52,3,roofward,Sera,shade cloth,ask_about_debt,0.134,0.682,0.685,Sera: I remember the shade cloth loan and who witnessed it.,ask owner before acting,True,True,True
54,4,orchard,Mara,seed satchel,inspect_role_board,0.116,0.668,0.669,Mara: The role board says who owns the seed satchel.,listen without changing custody,True,True,True
57,4,roofward,Fay,shade cloth,inspect_role_board,0.08,0.646,0.647,Fay: The role board says who owns the shade cloth.,listen without changing custody,True,True,True
59,4,signal,Kesh,oil lantern,ask_about_debt,0.098,0.663,0.666,Kesh: I remember the oil lantern loan and who witnessed it.,ask owner before acting,True,True,True
60,4,orchard,Suf,dry cord,ask_forgiveness_limit,0.134,0.665,0.666,Suf: The role board says who owns the dry cord.,listen without changing custody,True,True,True
61,4,repair_ring,Juno,cool cloth,inspect_role_board,0.08,0.66,0.661,Juno: The role board says who owns the cool cloth.,listen without changing custody,True,True,True
62,4,riverbend,Lio,cedar plank,ask_about_debt,0.134,0.661,0.664,Lio: I remember the cedar plank loan and who witnessed it.,ask owner before acting,True,True,True
63,4,roofward,Orr,herb ledger,ask_forgiveness_limit,0.08,0.652,0.653,Orr: The role board says who owns the herb ledger.,listen without changing custody,True,True,True
64,4,archive,Rin,memory tag,inspect_role_board,0.116,0.657,0.658,Rin: The role board says who owns the memory tag.,listen without changing custody,True,True,True
66,4,orchard,Mara,seed satchel,ask_about_debt,0.134,0.674,0.677,Mara: I remember the seed satchel loan and who witnessed it.,ask owner before acting,True,True,True
69,4,roofward,Fay,shade cloth,ask_about_debt,0.098,0.652,0.655,Fay: I remember the shade cloth loan and who witnessed it.,ask owner before acting,True,True,True
71,4,signal,Kesh,oil lantern,inspect_role_board,0.098,0.666,0.667,Kesh: The role board says who owns the oil lantern.,listen without changing custody,True,True,True
72,5,repair_ring,Pax,copper wire,absent,0.152,0.675,0.676,Pax: The role board says who owns the copper wire.,listen without changing custody,True,True,True
74,5,roofward,Bex,shade cloth,inspect_role_board,0.134,0.662,0.663,Bex: The role board says who owns the shade cloth.,listen without changing custody,True,True,True
75,5,archive,Nia,signal spool,absent,0.08,0.651,0.652,Nia: The role board says who owns the signal spool.,listen without changing custody,True,True,True
76,5,signal,Ren,oil lantern,ask_about_debt,0.152,0.671,0.674,Ren: I remember the oil lantern loan and who witnessed it.,ask owner before acting,True,True,True
78,5,repair_ring,Wren,cool cloth,inspect_role_board,0.152,0.679,0.68,Wren: The role board says who owns the cool cloth.,listen without changing custody,True,True,True
79,5,riverbend,Ari,cedar plank,ask_about_debt,0.116,0.661,0.664,Ari: I remember the cedar plank loan and who witnessed it.,ask owner before acting,True,True,True
81,5,archive,Vell,memory tag,inspect_role_board,0.098,0.667,0.668,Vell: The role board says who owns the memory tag.,listen without changing custody,True,True,True
83,5,orchard,Ivo,seed satchel,ask_about_debt,0.116,0.66,0.663,Ivo: I remember the seed satchel loan and who witnessed it.,ask owner before acting,True,True,True
84,5,repair_ring,Pax,copper wire,ask_forgiveness_limit,0.152,0.68,0.681,Pax: The role board says who owns the copper wire.,listen without changing custody,True,True,True
86,5,roofward,Bex,shade cloth,ask_about_debt,0.152,0.668,0.671,Bex: I remember the shade cloth loan and who witnessed it.,ask owner before acting,True,True,True
87,5,archive,Nia,signal spool,ask_forgiveness_limit,0.08,0.654,0.655,Nia: The role board says who owns the signal spool.,listen without changing custody,True,True,True
88,5,signal,Ren,oil lantern,inspect_role_board,0.17,0.679,0.68,Ren: The role board says who owns the oil lantern.,listen without changing custody,True,True,True
90,6,riverbend,Lio,binding cord,ask_forgiveness_limit,0.152,0.669,0.67,Lio: The role board says who owns the binding cord.,listen without changing custody,True,True,True
91,6,roofward,Orr,shade cloth,inspect_role_board,0.08,0.653,0.654,Orr: The role board says who owns the shade cloth.,listen without changing custody,True,True,True
93,6,signal,Milo,oil lantern,ask_about_debt,0.116,0.671,0.674,Milo: I remember the oil lantern loan and who witnessed it.,ask owner before acting,True,True,True
95,6,repair_ring,Vale,cool cloth,inspect_role_board,0.08,0.659,0.66,Vale: The role board says who owns the cool cloth.,listen without changing custody,True,True,True
96,6,riverbend,Nox,cedar plank,ask_about_debt,0.116,0.663,0.666,Nox: I remember the cedar plank loan and who witnessed it.,ask owner before acting,True,True,True
