scenario,accuracy,agent,episodes,mean_total_reward,mean_cue_count,mean_risky_count,mean_safe_count,mean_failed_risky_count,mean_success_rate
independent_hidden,0.5,greedy_no_state,500,36.64,0.0,6.0,0.0,2.684,0.5526666666666666
independent_hidden,0.5,oracle_observation,500,101.056,0.0,3.316,2.684,0.0,1.0
independent_hidden,0.5,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
independent_hidden,0.5,shared_self_belief,500,47.0,3.0,0.0,6.0,0.0,1.0
independent_hidden,0.5,shared_world_belief,500,47.0,3.0,0.0,6.0,0.0,1.0
independent_hidden,0.5,step_local_probe,500,95.056,6.0,3.316,2.684,0.0,1.0
independent_hidden,0.55,greedy_no_state,500,38.32,0.0,6.0,0.0,2.642,0.5596666666666666
independent_hidden,0.55,oracle_observation,500,101.728,0.0,3.358,2.642,0.0,1.0
independent_hidden,0.55,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
independent_hidden,0.55,shared_self_belief,500,45.448,3.0,0.768,5.232,0.346,0.9423333333333334
independent_hidden,0.55,shared_world_belief,500,45.832,3.0,0.852,5.148,0.37,0.9383333333333334
independent_hidden,0.55,step_local_probe,500,95.728,6.0,3.358,2.642,0.0,1.0
independent_hidden,0.6,greedy_no_state,500,34.4,0.0,6.0,0.0,2.74,0.5433333333333333
independent_hidden,0.6,oracle_observation,500,100.16,0.0,3.26,2.74,0.0,1.0
independent_hidden,0.6,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
independent_hidden,0.6,shared_self_belief,500,38.712,3.0,3.072,2.928,1.436,0.7606666666666666
independent_hidden,0.6,shared_world_belief,500,40.312,3.0,3.012,2.988,1.372,0.7713333333333334
independent_hidden,0.6,step_local_probe,500,94.16,6.0,3.26,2.74,0.0,1.0
independent_hidden,0.65,greedy_no_state,500,36.64,0.0,6.0,0.0,2.684,0.5526666666666666
independent_hidden,0.65,oracle_observation,500,101.056,0.0,3.316,2.684,0.0,1.0
independent_hidden,0.65,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
independent_hidden,0.65,shared_self_belief,500,40.872,3.0,3.192,2.808,1.43,0.7616666666666666
independent_hidden,0.65,shared_world_belief,500,42.024,3.0,3.024,2.976,1.334,0.7776666666666666
independent_hidden,0.65,step_local_probe,500,95.056,6.0,3.316,2.684,0.0,1.0
independent_hidden,0.7,greedy_no_state,500,38.72,0.0,6.0,0.0,2.632,0.5613333333333334
independent_hidden,0.7,oracle_observation,500,101.888,0.0,3.368,2.632,0.0,1.0
independent_hidden,0.7,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
independent_hidden,0.7,shared_self_belief,500,41.592,3.0,3.132,2.868,1.388,0.7686666666666666
independent_hidden,0.7,shared_world_belief,500,41.096,3.0,3.216,2.784,1.434,0.761
independent_hidden,0.7,step_local_probe,500,95.888,6.0,3.368,2.632,0.0,1.0
independent_hidden,0.75,greedy_no_state,500,33.12,0.0,6.0,0.0,2.772,0.538
independent_hidden,0.75,oracle_observation,500,99.648,0.0,3.228,2.772,0.0,1.0
independent_hidden,0.75,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
independent_hidden,0.75,shared_self_belief,500,38.872,3.0,3.492,2.508,1.6,0.7333333333333334
independent_hidden,0.75,shared_world_belief,500,38.792,3.0,3.192,2.808,1.482,0.753
independent_hidden,0.75,step_local_probe,500,93.648,6.0,3.228,2.772,0.0,1.0
independent_hidden,0.8,greedy_no_state,500,34.64,0.0,6.0,0.0,2.734,0.5443333333333333
independent_hidden,0.8,oracle_observation,500,100.256,0.0,3.266,2.734,0.0,1.0
independent_hidden,0.8,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
independent_hidden,0.8,shared_self_belief,500,40.824,3.0,3.384,2.616,1.508,0.7486666666666666
independent_hidden,0.8,shared_world_belief,500,38.696,3.0,3.396,2.604,1.566,0.739
independent_hidden,0.8,step_local_probe,500,94.256,6.0,3.266,2.734,0.0,1.0
independent_hidden,0.85,greedy_no_state,500,35.84,0.0,6.0,0.0,2.704,0.5493333333333333
independent_hidden,0.85,oracle_observation,500,100.736,0.0,3.296,2.704,0.0,1.0
independent_hidden,0.85,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
independent_hidden,0.85,shared_self_belief,500,39.224,3.0,3.384,2.616,1.548,0.742
independent_hidden,0.85,shared_world_belief,500,41.368,3.0,3.228,2.772,1.432,0.7613333333333334
independent_hidden,0.85,step_local_probe,500,94.736,6.0,3.296,2.704,0.0,1.0
independent_hidden,0.9,greedy_no_state,500,33.44,0.0,6.0,0.0,2.764,0.5393333333333333
independent_hidden,0.9,oracle_observation,500,99.776,0.0,3.236,2.764,0.0,1.0
independent_hidden,0.9,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
independent_hidden,0.9,shared_self_belief,500,38.008,3.0,3.228,2.772,1.516,0.7473333333333334
independent_hidden,0.9,shared_world_belief,500,39.48,3.0,3.12,2.88,1.436,0.7606666666666666
independent_hidden,0.9,step_local_probe,500,93.776,6.0,3.236,2.764,0.0,1.0
independent_hidden,0.95,greedy_no_state,500,36.08,0.0,6.0,0.0,2.698,0.5503333333333333
independent_hidden,0.95,oracle_observation,500,100.832,0.0,3.302,2.698,0.0,1.0
independent_hidden,0.95,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
independent_hidden,0.95,shared_self_belief,500,40.248,3.0,3.108,2.892,1.412,0.7646666666666666
independent_hidden,0.95,shared_world_belief,500,40.44,3.0,3.3,2.7,1.484,0.7526666666666666
independent_hidden,0.95,step_local_probe,500,94.832,6.0,3.302,2.698,0.0,1.0
irrelevant_control,0.5,greedy_no_state,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.5,oracle_observation,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.5,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
irrelevant_control,0.5,shared_self_belief,500,47.0,3.0,0.0,6.0,0.0,1.0
irrelevant_control,0.5,shared_world_belief,500,47.0,3.0,0.0,6.0,0.0,1.0
irrelevant_control,0.5,step_local_probe,500,138.0,6.0,6.0,0.0,0.0,1.0
irrelevant_control,0.55,greedy_no_state,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.55,oracle_observation,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.55,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
irrelevant_control,0.55,shared_self_belief,500,58.136,3.0,0.696,5.304,0.0,1.0
irrelevant_control,0.55,shared_world_belief,500,60.056,3.0,0.816,5.184,0.0,1.0
irrelevant_control,0.55,step_local_probe,500,138.0,6.0,6.0,0.0,0.0,1.0
irrelevant_control,0.6,greedy_no_state,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.6,oracle_observation,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.6,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
irrelevant_control,0.6,shared_self_belief,500,97.496,3.0,3.156,2.844,0.0,1.0
irrelevant_control,0.6,shared_world_belief,500,95.0,3.0,3.0,3.0,0.0,1.0
irrelevant_control,0.6,step_local_probe,500,138.0,6.0,6.0,0.0,0.0,1.0
irrelevant_control,0.65,greedy_no_state,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.65,oracle_observation,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.65,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
irrelevant_control,0.65,shared_self_belief,500,97.112,3.0,3.132,2.868,0.0,1.0
irrelevant_control,0.65,shared_world_belief,500,98.648,3.0,3.228,2.772,0.0,1.0
irrelevant_control,0.65,step_local_probe,500,138.0,6.0,6.0,0.0,0.0,1.0
irrelevant_control,0.7,greedy_no_state,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.7,oracle_observation,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.7,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
irrelevant_control,0.7,shared_self_belief,500,98.456,3.0,3.216,2.784,0.0,1.0
irrelevant_control,0.7,shared_world_belief,500,97.688,3.0,3.168,2.832,0.0,1.0
irrelevant_control,0.7,step_local_probe,500,138.0,6.0,6.0,0.0,0.0,1.0
irrelevant_control,0.75,greedy_no_state,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.75,oracle_observation,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.75,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
irrelevant_control,0.75,shared_self_belief,500,96.92,3.0,3.12,2.88,0.0,1.0
irrelevant_control,0.75,shared_world_belief,500,99.608,3.0,3.288,2.712,0.0,1.0
irrelevant_control,0.75,step_local_probe,500,138.0,6.0,6.0,0.0,0.0,1.0
irrelevant_control,0.8,greedy_no_state,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.8,oracle_observation,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.8,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
irrelevant_control,0.8,shared_self_belief,500,100.184,3.0,3.324,2.676,0.0,1.0
irrelevant_control,0.8,shared_world_belief,500,94.424,3.0,2.964,3.036,0.0,1.0
irrelevant_control,0.8,step_local_probe,500,138.0,6.0,6.0,0.0,0.0,1.0
irrelevant_control,0.85,greedy_no_state,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.85,oracle_observation,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.85,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
irrelevant_control,0.85,shared_self_belief,500,100.952,3.0,3.372,2.628,0.0,1.0
irrelevant_control,0.85,shared_world_belief,500,100.76,3.0,3.36,2.64,0.0,1.0
irrelevant_control,0.85,step_local_probe,500,138.0,6.0,6.0,0.0,0.0,1.0
irrelevant_control,0.9,greedy_no_state,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.9,oracle_observation,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.9,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
irrelevant_control,0.9,shared_self_belief,500,99.032,3.0,3.252,2.748,0.0,1.0
irrelevant_control,0.9,shared_world_belief,500,101.336,3.0,3.396,2.604,0.0,1.0
irrelevant_control,0.9,step_local_probe,500,138.0,6.0,6.0,0.0,0.0,1.0
irrelevant_control,0.95,greedy_no_state,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.95,oracle_observation,500,144.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,0.95,safe_no_state,500,48.0,0.0,0.0,6.0,0.0,1.0
