technology_id,year,household_id,lineage_name,precursor,innovation,material_basis,maintenance_cost,safety_effect,market_effect,rollback_plan
tech_0_westkeepers,0,westkeepers,Westkeepers hand memory marks,founder habit,stone-and-bronze pathwork hand memory marks,"chalk dust, warm metal, echoing steps",0.38,0.2,0.16,fall back to household ritual memory and manual repair if mechanism fails
tech_0_mossgarden,0,mossgarden,Mossgarden hand memory marks,founder habit,"seed, cup, and blanket care hand memory marks","wet moss, seed oil, low humming",0.36,0.2,0.16,fall back to household ritual memory and manual repair if mechanism fails
tech_0_ledgerkin,0,ledgerkin,Ledgerkin hand memory marks,founder habit,thread ledger counting hand memory marks,"coin-clicks, wool thread, dry wood",0.34,0.2,0.16,fall back to household ritual memory and manual repair if mechanism fails
tech_0_redstair,0,redstair,Redstair hand memory marks,founder habit,shell listening and dispute repair hand memory marks,"cool clay, shell resonance, still air",0.38,0.2,0.16,fall back to household ritual memory and manual repair if mechanism fails
tech_0_wheelwright,0,wheelwright,Wheelwright hand memory marks,founder habit,copper vane maintenance hand memory marks,"river spray, copper tang, wheel pulse",0.38,0.2,0.16,fall back to household ritual memory and manual repair if mechanism fails
tech_1_westkeepers,1,westkeepers,Westkeepers shared dry storage,hand memory marks,stone-and-bronze pathwork shared dry storage,"chalk dust, warm metal, echoing steps",0.362,0.275,0.23,fall back to household ritual memory and manual repair if mechanism fails
tech_1_mossgarden,1,mossgarden,Mossgarden shared dry storage,hand memory marks,"seed, cup, and blanket care shared dry storage","wet moss, seed oil, low humming",0.342,0.275,0.23,fall back to household ritual memory and manual repair if mechanism fails
tech_1_ledgerkin,1,ledgerkin,Ledgerkin shared dry storage,hand memory marks,thread ledger counting shared dry storage,"coin-clicks, wool thread, dry wood",0.322,0.275,0.23,fall back to household ritual memory and manual repair if mechanism fails
tech_1_redstair,1,redstair,Redstair shared dry storage,hand memory marks,shell listening and dispute repair shared dry storage,"cool clay, shell resonance, still air",0.362,0.275,0.23,fall back to household ritual memory and manual repair if mechanism fails
tech_1_wheelwright,1,wheelwright,Wheelwright shared dry storage,hand memory marks,copper vane maintenance shared dry storage,"river spray, copper tang, wheel pulse",0.362,0.275,0.23,fall back to household ritual memory and manual repair if mechanism fails
tech_8_westkeepers,8,westkeepers,Westkeepers ledger knots,shared dry storage,stone-and-bronze pathwork ledger knots,"chalk dust, warm metal, echoing steps",0.344,0.35,0.3,fall back to household ritual memory and manual repair if mechanism fails
tech_8_mossgarden,8,mossgarden,Mossgarden ledger knots,shared dry storage,"seed, cup, and blanket care ledger knots","wet moss, seed oil, low humming",0.324,0.35,0.3,fall back to household ritual memory and manual repair if mechanism fails
tech_8_ledgerkin,8,ledgerkin,Ledgerkin ledger knots,shared dry storage,thread ledger counting ledger knots,"coin-clicks, wool thread, dry wood",0.304,0.35,0.3,fall back to household ritual memory and manual repair if mechanism fails
tech_8_redstair,8,redstair,Redstair ledger knots,shared dry storage,shell listening and dispute repair ledger knots,"cool clay, shell resonance, still air",0.344,0.35,0.3,fall back to household ritual memory and manual repair if mechanism fails
tech_8_wheelwright,8,wheelwright,Wheelwright ledger knots,shared dry storage,copper vane maintenance ledger knots,"river spray, copper tang, wheel pulse",0.344,0.35,0.3,fall back to household ritual memory and manual repair if mechanism fails
tech_55_westkeepers,55,westkeepers,Westkeepers waterwheel brake,ledger knots,stone-and-bronze pathwork waterwheel brake,"chalk dust, warm metal, echoing steps",0.326,0.425,0.37,fall back to household ritual memory and manual repair if mechanism fails
tech_55_mossgarden,55,mossgarden,Mossgarden waterwheel brake,ledger knots,"seed, cup, and blanket care waterwheel brake","wet moss, seed oil, low humming",0.306,0.425,0.37,fall back to household ritual memory and manual repair if mechanism fails
tech_55_ledgerkin,55,ledgerkin,Ledgerkin waterwheel brake,ledger knots,thread ledger counting waterwheel brake,"coin-clicks, wool thread, dry wood",0.286,0.425,0.37,fall back to household ritual memory and manual repair if mechanism fails
tech_55_redstair,55,redstair,Redstair waterwheel brake,ledger knots,shell listening and dispute repair waterwheel brake,"cool clay, shell resonance, still air",0.326,0.425,0.37,fall back to household ritual memory and manual repair if mechanism fails
tech_55_wheelwright,55,wheelwright,Wheelwright waterwheel brake,ledger knots,copper vane maintenance waterwheel brake,"river spray, copper tang, wheel pulse",0.326,0.425,0.37,fall back to household ritual memory and manual repair if mechanism fails
tech_377_westkeepers,377,westkeepers,Westkeepers heated moss wall,waterwheel brake,stone-and-bronze pathwork heated moss wall,"chalk dust, warm metal, echoing steps",0.308,0.5,0.44,fall back to household ritual memory and manual repair if mechanism fails
tech_377_mossgarden,377,mossgarden,Mossgarden heated moss wall,waterwheel brake,"seed, cup, and blanket care heated moss wall","wet moss, seed oil, low humming",0.288,0.5,0.44,fall back to household ritual memory and manual repair if mechanism fails
tech_377_ledgerkin,377,ledgerkin,Ledgerkin heated moss wall,waterwheel brake,thread ledger counting heated moss wall,"coin-clicks, wool thread, dry wood",0.268,0.5,0.44,fall back to household ritual memory and manual repair if mechanism fails
tech_377_redstair,377,redstair,Redstair heated moss wall,waterwheel brake,shell listening and dispute repair heated moss wall,"cool clay, shell resonance, still air",0.308,0.5,0.44,fall back to household ritual memory and manual repair if mechanism fails
tech_377_wheelwright,377,wheelwright,Wheelwright heated moss wall,waterwheel brake,copper vane maintenance heated moss wall,"river spray, copper tang, wheel pulse",0.308,0.5,0.44,fall back to household ritual memory and manual repair if mechanism fails
tech_987_westkeepers,987,westkeepers,Westkeepers witness shell archive,heated moss wall,stone-and-bronze pathwork witness shell archive,"chalk dust, warm metal, echoing steps",0.29,0.575,0.51,fall back to household ritual memory and manual repair if mechanism fails
tech_987_mossgarden,987,mossgarden,Mossgarden witness shell archive,heated moss wall,"seed, cup, and blanket care witness shell archive","wet moss, seed oil, low humming",0.27,0.575,0.51,fall back to household ritual memory and manual repair if mechanism fails
tech_987_ledgerkin,987,ledgerkin,Ledgerkin witness shell archive,heated moss wall,thread ledger counting witness shell archive,"coin-clicks, wool thread, dry wood",0.25,0.575,0.51,fall back to household ritual memory and manual repair if mechanism fails
