tick_id,day,settlement_id,resident_id,relationship,queue_pressure,trust_repair_need,gaze,posture,gesture,movement_speed,expression_reason,visible_body_language,matches_state,not_private_workspace_dump
0,1,orchard,Mara,0.58,0.38,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
1,1,repair_ring,Juno,0.58,0.38,0.08,tracks-avatar,attentive,turns shoulders,0.66,avatar nearby,True,True,True
2,1,riverbend,Lio,0.64,0.38,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
3,1,roofward,Fay,0.64,0.38,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
4,1,archive,Toma,0.58,0.38,0.08,tracks-avatar,attentive,turns shoulders,0.66,avatar nearby,True,True,True
5,1,signal,Milo,0.58,0.38,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
6,1,orchard,Mara,0.581,0.379,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
7,1,repair_ring,Juno,0.58,0.386,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
8,1,riverbend,Lio,0.64,0.38,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
9,1,roofward,Fay,0.641,0.379,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
10,1,archive,Toma,0.58,0.386,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
11,1,signal,Milo,0.594,0.38,0.0596,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
12,1,orchard,Mara,0.591,0.375,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
13,1,repair_ring,Juno,0.596,0.376,0.049,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
14,1,riverbend,Lio,0.654,0.38,0.0596,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
15,1,roofward,Fay,0.651,0.375,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
16,1,archive,Toma,0.596,0.376,0.049,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
17,1,signal,Milo,0.6,0.37,0.0456,tracks-avatar,attentive,turns shoulders,0.66,avatar nearby,True,True,True
18,2,repair_ring,Juno,0.596,0.376,0.049,tracks-avatar,attentive,turns shoulders,0.66,avatar nearby,True,True,True
19,2,riverbend,Lio,0.66,0.37,0.0456,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
20,2,roofward,Fay,0.652,0.374,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
21,2,archive,Toma,0.596,0.376,0.049,tracks-avatar,attentive,turns shoulders,0.66,avatar nearby,True,True,True
22,2,signal,Milo,0.6,0.376,0.0456,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
23,2,orchard,Mara,0.592,0.374,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
24,2,repair_ring,Juno,0.596,0.382,0.049,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
25,2,riverbend,Lio,0.66,0.37,0.0456,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
26,2,roofward,Fay,0.652,0.374,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
27,2,archive,Toma,0.596,0.382,0.049,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
28,2,signal,Milo,0.614,0.376,0.0252,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
29,2,orchard,Mara,0.602,0.37,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
30,2,repair_ring,Juno,0.612,0.372,0.018,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
31,2,riverbend,Lio,0.674,0.37,0.0252,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
32,2,roofward,Fay,0.662,0.37,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
33,2,archive,Toma,0.612,0.372,0.018,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
34,2,signal,Milo,0.62,0.366,0.0112,tracks-avatar,attentive,turns shoulders,0.66,avatar nearby,True,True,True
35,2,orchard,Mara,0.602,0.37,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
36,3,riverbend,Lio,0.68,0.36,0.0112,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
37,3,roofward,Fay,0.662,0.37,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
38,3,archive,Toma,0.613,0.371,0.018,tracks-avatar,attentive,turns shoulders,0.66,avatar nearby,True,True,True
39,3,signal,Milo,0.62,0.372,0.0112,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
40,3,orchard,Mara,0.616,0.37,0.0596,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
41,3,repair_ring,Juno,0.613,0.371,0.018,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
42,3,riverbend,Lio,0.684,0.359,0.0112,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
43,3,roofward,Fay,0.662,0.37,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
44,3,archive,Toma,0.616,0.377,0.018,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
45,3,signal,Milo,0.622,0.372,0.0112,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
46,3,orchard,Mara,0.629,0.366,0.0596,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
47,3,repair_ring,Juno,0.637,0.361,0.0,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
48,3,riverbend,Lio,0.689,0.359,0.0112,soft-eye-contact,open,small beckon,0.76,trusted familiar action,True,True,True
49,3,roofward,Fay,0.672,0.366,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
50,3,archive,Toma,0.64,0.367,0.0,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
51,3,signal,Milo,0.636,0.362,0.0,tracks-avatar,attentive,turns shoulders,0.66,avatar nearby,True,True,True
52,3,orchard,Mara,0.632,0.366,0.0596,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
53,3,repair_ring,Juno,0.637,0.361,0.0,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
54,4,roofward,Fay,0.672,0.366,0.08,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
55,4,archive,Toma,0.643,0.367,0.0,tracks-avatar,attentive,turns shoulders,0.66,avatar nearby,True,True,True
56,4,signal,Milo,0.636,0.368,0.0,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
57,4,orchard,Mara,0.649,0.366,0.0392,ambient-scan,neutral,small work motion,0.61,routine local activity,True,True,True
