seed,era,era_day,proposal_id,materials,stock_before,stock_after,trade_shift,material_bottleneck_bound
36217,week_01,7,36217-PROP-00-4047,clay_jar+iron_sand,"{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 2, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",none,True
36217,moon_02,42,36217-PROP-01-1026,ash_glass+reed_fiber,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 2, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 2, ""red_scrap"": 5, ""reed_fiber"": 4, ""wet_wood"": 6}",more_ash_glass,True
36217,season_01,120,36217-PROP-02-6830,reed_fiber+wet_wood,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 2, ""red_scrap"": 5, ""reed_fiber"": 4, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 2, ""red_scrap"": 5, ""reed_fiber"": 3, ""wet_wood"": 4}",avoid_wet_wood,True
36217,year_01,365,36217-PROP-03-4805,reed_fiber+red_scrap,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 2, ""red_scrap"": 5, ""reed_fiber"": 3, ""wet_wood"": 4}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 4}",none,True
36217,year_03,1095,36217-PROP-04-8057,clay_jar+dry_resin,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 4}","{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 4, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 4}",more_clay_jar,True
36217,generation_02,9125,36217-PROP-05-8391,clay_jar+ash_glass,"{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 4, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 4}","{""ash_glass"": 1, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 4}",avoid_ash_glass,True
36217,generation_04,18250,36217-PROP-06-3679,reed_fiber+ash_glass,"{""ash_glass"": 1, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 4}","{""ash_glass"": 0, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 4}",more_reed_fiber,True
36231,week_01,7,36231-PROP-00-5854,dry_resin+clay_jar,"{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 5, ""wet_wood"": 6}",more_dry_resin,True
36231,moon_02,42,36231-PROP-01-6822,wet_wood+red_scrap,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 3, ""reed_fiber"": 5, ""wet_wood"": 5}",none,True
36231,season_01,120,36231-PROP-02-5029,red_scrap+ash_glass,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 3, ""reed_fiber"": 5, ""wet_wood"": 5}","{""ash_glass"": 2, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 2, ""reed_fiber"": 5, ""wet_wood"": 5}",none,True
36231,year_01,365,36231-PROP-03-4762,clay_jar+iron_sand,"{""ash_glass"": 2, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 2, ""reed_fiber"": 5, ""wet_wood"": 5}","{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 2, ""red_scrap"": 2, ""reed_fiber"": 5, ""wet_wood"": 5}",none,True
36231,year_03,1095,36231-PROP-04-2573,wet_wood+iron_sand,"{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 2, ""red_scrap"": 2, ""reed_fiber"": 5, ""wet_wood"": 5}","{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 1, ""red_scrap"": 2, ""reed_fiber"": 5, ""wet_wood"": 6}",more_wet_wood,True
36231,generation_02,9125,36231-PROP-05-7822,ash_glass+clay_jar,"{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 1, ""red_scrap"": 2, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 1, ""clay_jar"": 0, ""dry_resin"": 5, ""iron_sand"": 1, ""red_scrap"": 2, ""reed_fiber"": 5, ""wet_wood"": 6}",avoid_clay_jar,True
36231,generation_04,18250,36231-PROP-06-7859,reed_fiber+red_scrap,"{""ash_glass"": 1, ""clay_jar"": 0, ""dry_resin"": 5, ""iron_sand"": 1, ""red_scrap"": 2, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 1, ""clay_jar"": 0, ""dry_resin"": 5, ""iron_sand"": 1, ""red_scrap"": 1, ""reed_fiber"": 4, ""wet_wood"": 6}",none,True
36247,week_01,7,36247-PROP-00-8056,ash_glass+red_scrap,"{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 2, ""clay_jar"": 4, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 5, ""wet_wood"": 6}",none,True
36247,moon_02,42,36247-PROP-01-9591,wet_wood+dry_resin,"{""ash_glass"": 2, ""clay_jar"": 4, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 2, ""clay_jar"": 4, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 5, ""wet_wood"": 5}",avoid_dry_resin,True
36247,season_01,120,36247-PROP-02-5063,dry_resin+reed_fiber,"{""ash_glass"": 2, ""clay_jar"": 4, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 5, ""wet_wood"": 5}","{""ash_glass"": 2, ""clay_jar"": 4, ""dry_resin"": 2, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 5}",avoid_reed_fiber,True
36247,year_01,365,36247-PROP-03-4828,clay_jar+wet_wood,"{""ash_glass"": 2, ""clay_jar"": 4, ""dry_resin"": 2, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 5}","{""ash_glass"": 2, ""clay_jar"": 3, ""dry_resin"": 2, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 4}",none,True
36247,year_03,1095,36247-PROP-04-5167,wet_wood+clay_jar,"{""ash_glass"": 2, ""clay_jar"": 3, ""dry_resin"": 2, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 4}","{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 2, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 3}",none,True
36247,generation_02,9125,36247-PROP-05-2108,dry_resin+ash_glass,"{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 2, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 3}","{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 3}",more_dry_resin,True
36247,generation_04,18250,36247-PROP-06-9223,dry_resin+ash_glass,"{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 3}","{""ash_glass"": 0, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 3}",more_dry_resin,True
