followup_id,choice_id,followup_day,lineage,agent,selected_branch_label,followup_trigger,agent_line_after_reload,requested_avatar_response,derived_from_restored_state,respects_boundary,followup_hash
1,1,3,Hearthline,Sova,limited_access,restored limited access,Sova: limited access branch restored. We can continue slowly.,continue limited task,True,True,10c0d49e03ce6817
2,2,3,Hearthline,Sova,repair_first_access,restored repair plan,Sova: the repair branch survived reload. Do you want to continue with witness present?,continue witnessed repair,True,True,5a1b94f94baef008
3,3,3,Hearthline,Sova,summary_then_decide,restored limited access,Sova: limited access branch restored. We can continue slowly.,continue limited task,True,True,51076e1eb70f08fc
4,4,3,Hearthline,Sova,blocked_until_repair,restored boundary pressure,"Sova: after reload, I still remember the old-access pressure. Repair first?",choose repair or wait,True,True,805643a280b1c882
5,5,3,Hearthline,Sova,observe_then_followup,restored waiting branch,Sova: you waited last time. A small public task is available now.,accept or decline public task,True,True,32bf77a6597fb9a6
6,6,3,Routeline,Keth,limited_access,restored limited access,Keth: limited access branch restored. We can continue slowly.,continue limited task,True,True,905fbf36fa26c7a7
7,7,3,Routeline,Keth,repair_first_access,restored repair plan,Keth: the repair branch survived reload. Do you want to continue with witness present?,continue witnessed repair,True,True,4c73a100f6cdac62
8,9,3,Routeline,Keth,blocked_until_repair,restored boundary pressure,"Keth: after reload, I still remember the old-access pressure. Repair first?",choose repair or wait,True,True,063a9fe61bca8047
9,10,3,Routeline,Keth,observe_then_followup,restored waiting branch,Keth: you waited last time. A small public task is available now.,accept or decline public task,True,True,44b9fae426251945
10,11,3,Marketline,Melo,limited_access,restored limited access,Melo: limited access branch restored. We can continue slowly.,continue limited task,True,True,d839308283573fcb
11,12,3,Marketline,Melo,repair_first_access,restored repair plan,Melo: the repair branch survived reload. Do you want to continue with witness present?,continue witnessed repair,True,True,2a51dd21221b4d39
12,13,3,Marketline,Melo,summary_then_decide,restored limited access,Melo: limited access branch restored. We can continue slowly.,continue limited task,True,True,c782af9793530435
13,14,3,Marketline,Melo,blocked_until_repair,restored boundary pressure,"Melo: after reload, I still remember the old-access pressure. Repair first?",choose repair or wait,True,True,14c4f45d5bff54b6
14,15,3,Marketline,Melo,observe_then_followup,restored waiting branch,Melo: you waited last time. A small public task is available now.,accept or decline public task,True,True,93fb0d0fd538c46f
15,16,3,Ledgerline,Nari,limited_access,restored limited access,Nari: limited access branch restored. We can continue slowly.,continue limited task,True,True,3c5f1983cd385899
16,17,3,Ledgerline,Nari,repair_first_access,restored repair plan,Nari: the repair branch survived reload. Do you want to continue with witness present?,continue witnessed repair,True,True,a869509c1eaebc3b
17,18,3,Ledgerline,Nari,summary_then_decide,restored limited access,Nari: limited access branch restored. We can continue slowly.,continue limited task,True,True,db773f98b9a1e44e
18,19,3,Ledgerline,Nari,blocked_until_repair,restored boundary pressure,"Nari: after reload, I still remember the old-access pressure. Repair first?",choose repair or wait,True,True,3903aa62389f1940
19,20,3,Ledgerline,Nari,observe_then_followup,restored waiting branch,Nari: you waited last time. A small public task is available now.,accept or decline public task,True,True,70517285b80d993a
20,21,3,Orchardline,Ori,limited_access,restored limited access,Ori: limited access branch restored. We can continue slowly.,continue limited task,True,True,f37f3e98a338da92
21,22,3,Orchardline,Ori,repair_first_access,restored repair plan,Ori: the repair branch survived reload. Do you want to continue with witness present?,continue witnessed repair,True,True,2e9f16d5511b38b1
22,23,3,Orchardline,Ori,summary_then_decide,restored limited access,Ori: limited access branch restored. We can continue slowly.,continue limited task,True,True,de57a6998f0bc546
23,24,3,Orchardline,Ori,blocked_until_repair,restored boundary pressure,"Ori: after reload, I still remember the old-access pressure. Repair first?",choose repair or wait,True,True,e6f2f5876554d3c2
24,25,3,Orchardline,Ori,observe_then_followup,restored waiting branch,Ori: you waited last time. A small public task is available now.,accept or decline public task,True,True,31cd7e1239cdb885
25,26,3,Rainline,Vonn,limited_access,restored limited access,Vonn: limited access branch restored. We can continue slowly.,continue limited task,True,True,44d5bd4ae6d054e6
26,27,3,Rainline,Vonn,repair_first_access,restored repair plan,Vonn: the repair branch survived reload. Do you want to continue with witness present?,continue witnessed repair,True,True,1be98be886dae424
27,29,3,Rainline,Vonn,blocked_until_repair,restored boundary pressure,"Vonn: after reload, I still remember the old-access pressure. Repair first?",choose repair or wait,True,True,a3917a3c8663104c
28,30,3,Rainline,Vonn,observe_then_followup,restored waiting branch,Vonn: you waited last time. A small public task is available now.,accept or decline public task,True,True,9297f97fbf311aba
29,31,4,Hearthline,Sova,limited_access,restored limited access,Sova: limited access branch restored. We can continue slowly.,continue limited task,True,True,3017627aabec4f16
30,32,4,Hearthline,Sova,repair_first_access,restored repair plan,Sova: the repair branch survived reload. Do you want to continue with witness present?,continue witnessed repair,True,True,3a018ec5233aab97
31,33,4,Hearthline,Sova,summary_then_decide,restored limited access,Sova: limited access branch restored. We can continue slowly.,continue limited task,True,True,d263ab25393ff316
32,34,4,Hearthline,Sova,blocked_until_repair,restored boundary pressure,"Sova: after reload, I still remember the old-access pressure. Repair first?",choose repair or wait,True,True,bf6642e8337137c0
33,35,4,Hearthline,Sova,observe_then_followup,restored waiting branch,Sova: you waited last time. A small public task is available now.,accept or decline public task,True,True,a913a1ecae7871e3
34,36,4,Routeline,Keth,limited_access,restored limited access,Keth: limited access branch restored. We can continue slowly.,continue limited task,True,True,0bf5713c0cc894ef
35,37,4,Routeline,Keth,repair_first_access,restored repair plan,Keth: the repair branch survived reload. Do you want to continue with witness present?,continue witnessed repair,True,True,35b912699611d404
36,38,4,Routeline,Keth,summary_then_decide,restored limited access,Keth: limited access branch restored. We can continue slowly.,continue limited task,True,True,e5bfb3e2e145d7b1
37,39,4,Routeline,Keth,blocked_until_repair,restored boundary pressure,"Keth: after reload, I still remember the old-access pressure. Repair first?",choose repair or wait,True,True,6d578cae6159821b
38,40,4,Routeline,Keth,observe_then_followup,restored waiting branch,Keth: you waited last time. A small public task is available now.,accept or decline public task,True,True,df965b95ad5d0522
39,41,4,Marketline,Melo,limited_access,restored limited access,Melo: limited access branch restored. We can continue slowly.,continue limited task,True,True,fc6e9585a4b64328
40,42,4,Marketline,Melo,repair_first_access,restored repair plan,Melo: the repair branch survived reload. Do you want to continue with witness present?,continue witnessed repair,True,True,01b9aa826dfaae15
41,43,4,Marketline,Melo,summary_then_decide,restored limited access,Melo: limited access branch restored. We can continue slowly.,continue limited task,True,True,058b3b1bbbaa791a
42,44,4,Marketline,Melo,blocked_until_repair,restored boundary pressure,"Melo: after reload, I still remember the old-access pressure. Repair first?",choose repair or wait,True,True,e34f55645ba0c16b
43,45,4,Marketline,Melo,observe_then_followup,restored waiting branch,Melo: you waited last time. A small public task is available now.,accept or decline public task,True,True,27ca32de6d52ebeb
44,46,4,Ledgerline,Nari,limited_access,restored limited access,Nari: limited access branch restored. We can continue slowly.,continue limited task,True,True,50e3189f01e8e549
45,47,4,Ledgerline,Nari,repair_first_access,restored repair plan,Nari: the repair branch survived reload. Do you want to continue with witness present?,continue witnessed repair,True,True,4b3f327ece4344c7
46,49,4,Ledgerline,Nari,blocked_until_repair,restored boundary pressure,"Nari: after reload, I still remember the old-access pressure. Repair first?",choose repair or wait,True,True,ebca78019379411d
47,50,4,Ledgerline,Nari,observe_then_followup,restored waiting branch,Nari: you waited last time. A small public task is available now.,accept or decline public task,True,True,c37b37ad85f99a3f
48,51,4,Orchardline,Ori,limited_access,restored limited access,Ori: limited access branch restored. We can continue slowly.,continue limited task,True,True,57ced7d4e923cda2
49,52,4,Orchardline,Ori,repair_first_access,restored repair plan,Ori: the repair branch survived reload. Do you want to continue with witness present?,continue witnessed repair,True,True,8511ccb069c6fdcc
50,53,4,Orchardline,Ori,summary_then_decide,restored limited access,Ori: limited access branch restored. We can continue slowly.,continue limited task,True,True,8042fbe4f252c24a
51,54,4,Orchardline,Ori,blocked_until_repair,restored boundary pressure,"Ori: after reload, I still remember the old-access pressure. Repair first?",choose repair or wait,True,True,4fd099f8d0a1b8e8
52,55,4,Orchardline,Ori,observe_then_followup,restored waiting branch,Ori: you waited last time. A small public task is available now.,accept or decline public task,True,True,768b94d0a388a5eb
53,56,4,Rainline,Vonn,limited_access,restored limited access,Vonn: limited access branch restored. We can continue slowly.,continue limited task,True,True,9178f721a123cb91
54,57,4,Rainline,Vonn,repair_first_access,restored repair plan,Vonn: the repair branch survived reload. Do you want to continue with witness present?,continue witnessed repair,True,True,ee0c7fdbe2bc6352
55,58,4,Rainline,Vonn,summary_then_decide,restored limited access,Vonn: limited access branch restored. We can continue slowly.,continue limited task,True,True,a5dba0e206f32818
56,59,4,Rainline,Vonn,blocked_until_repair,restored boundary pressure,"Vonn: after reload, I still remember the old-access pressure. Repair first?",choose repair or wait,True,True,5ddb3e4b81d21a12
57,60,4,Rainline,Vonn,observe_then_followup,restored waiting branch,Vonn: you waited last time. A small public task is available now.,accept or decline public task,True,True,3d1c5a7952f0e311
58,61,5,Hearthline,Sova,limited_access,restored limited access,Sova: limited access branch restored. We can continue slowly.,continue limited task,True,True,a169cb658dc1a89b
59,62,5,Hearthline,Sova,repair_first_access,restored repair plan,Sova: the repair branch survived reload. Do you want to continue with witness present?,continue witnessed repair,True,True,6aa146d1711324f9
60,63,5,Hearthline,Sova,summary_then_decide,restored limited access,Sova: limited access branch restored. We can continue slowly.,continue limited task,True,True,8bd05861adba6634
61,64,5,Hearthline,Sova,blocked_until_repair,restored boundary pressure,"Sova: after reload, I still remember the old-access pressure. Repair first?",choose repair or wait,True,True,7fd7289406fb02db
62,65,5,Hearthline,Sova,observe_then_followup,restored waiting branch,Sova: you waited last time. A small public task is available now.,accept or decline public task,True,True,df0d0e4eda9aaca3
63,66,5,Routeline,Keth,limited_access,restored limited access,Keth: limited access branch restored. We can continue slowly.,continue limited task,True,True,82351f481d82e913
64,67,5,Routeline,Keth,repair_first_access,restored repair plan,Keth: the repair branch survived reload. Do you want to continue with witness present?,continue witnessed repair,True,True,8094341390c999f2
65,69,5,Routeline,Keth,blocked_until_repair,restored boundary pressure,"Keth: after reload, I still remember the old-access pressure. Repair first?",choose repair or wait,True,True,c7f33b347e86db08
