seed,session_id,return_index,branches_seen,avatar_action,direct_reset,normal_play_action
36217,36217-HRS-01,1,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36217,36217-HRS-02,2,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36217,36217-HRS-03,3,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36231,36231-HRS-01,1,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36231,36231-HRS-02,2,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36231,36231-HRS-03,3,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36247,36247-HRS-01,1,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36247,36247-HRS-02,2,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36247,36247-HRS-03,3,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36263,36263-HRS-01,1,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36263,36263-HRS-02,2,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36263,36263-HRS-03,3,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36281,36281-HRS-01,1,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36281,36281-HRS-02,2,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36281,36281-HRS-03,3,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36307,36307-HRS-01,1,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36307,36307-HRS-02,2,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36307,36307-HRS-03,3,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36319,36319-HRS-01,1,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36319,36319-HRS-02,2,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36319,36319-HRS-03,3,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36343,36343-HRS-01,1,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36343,36343-HRS-02,2,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
36343,36343-HRS-03,3,6,returned and asked what residents still carry,False,ask_schedule_then_offer_help
