tick_id,day,settlement_id,resident_id,visit_count,dialect_id,remembered_lexeme,prior_phrase,recall_success,multi_visit_memory,persistent_memory_key,reply_line
0,1,riverbend,Lio,1,riverbend-dialect-8,riverbend-arrival-1,first visit,True,False,ssrm.v39.dialect.riverbend.Lio,Lio remembers first visit; now says riverbend-arrival-1 near arrival court.
4,1,orchard,Mara,1,orchard-dialect-8,orchard-arrival-1,first visit,True,False,ssrm.v39.dialect.orchard.Mara,Mara remembers first visit; now says orchard-arrival-1 near arrival court.
5,1,repair_ring,Juno,1,repair_ring-dialect-8,repair_ring-spark-1,first visit,True,False,ssrm.v39.dialect.repair_ring.Juno,Juno remembers first visit; now says repair_ring-spark-1 near spark lane.
7,1,roofward,Fay,1,roofward-dialect-8,roofward-arrival-1,first visit,True,False,ssrm.v39.dialect.roofward.Fay,Fay remembers first visit; now says roofward-arrival-1 near arrival court.
8,1,archive,Toma,1,archive-dialect-8,archive-spool-1,first visit,True,False,ssrm.v39.dialect.archive.Toma,Toma remembers first visit; now says archive-spool-1 near spool room.
12,2,riverbend,Ari,1,riverbend-dialect-8,riverbend-arrival-1,first visit,True,False,ssrm.v39.dialect.riverbend.Ari,Ari remembers first visit; now says riverbend-arrival-1 near arrival court.
16,2,orchard,Ivo,1,orchard-dialect-8,orchard-seed-1,first visit,True,False,ssrm.v39.dialect.orchard.Ivo,Ivo remembers first visit; now says orchard-seed-1 near seed lane.
19,2,roofward,Sera,1,roofward-dialect-8,roofward-warm-1,first visit,True,False,ssrm.v39.dialect.roofward.Sera,Sera remembers first visit; now says roofward-warm-1 near warm lane.
20,2,archive,Nia,1,archive-dialect-8,archive-spool-1,first visit,True,False,ssrm.v39.dialect.archive.Nia,Nia remembers first visit; now says archive-spool-1 near spool room.
24,3,riverbend,Lio,2,riverbend-dialect-8,riverbend-plank-2,riverbend-arrival-1,True,True,ssrm.v39.dialect.riverbend.Lio,Lio remembers riverbend-arrival-1; now says riverbend-plank-2 near plank hall.
27,3,signal,Milo,1,signal-dialect-8,signal-arrival-1,first visit,True,False,ssrm.v39.dialect.signal.Milo,Milo remembers first visit; now says signal-arrival-1 near arrival court.
28,3,orchard,Mara,2,orchard-dialect-8,orchard-satchel-2,orchard-arrival-1,True,True,ssrm.v39.dialect.orchard.Mara,Mara remembers orchard-arrival-1; now says orchard-satchel-2 near satchel shed.
30,3,riverbend,Lio,3,riverbend-dialect-8,riverbend-plank-3,riverbend-plank-2,True,True,ssrm.v39.dialect.riverbend.Lio,Lio remembers riverbend-plank-2; now says riverbend-plank-3 near plank hall.
31,3,roofward,Fay,2,roofward-dialect-8,roofward-warm-2,roofward-arrival-1,True,True,ssrm.v39.dialect.roofward.Fay,Fay remembers roofward-arrival-1; now says roofward-warm-2 near warm lane.
32,3,archive,Toma,2,archive-dialect-8,archive-spool-2,archive-spool-1,True,True,ssrm.v39.dialect.archive.Toma,Toma remembers archive-spool-1; now says archive-spool-2 near spool room.
36,4,riverbend,Ari,2,riverbend-dialect-8,riverbend-dry-2,riverbend-arrival-1,True,True,ssrm.v39.dialect.riverbend.Ari,Ari remembers riverbend-arrival-1; now says riverbend-dry-2 near dry ridge.
39,4,signal,Ren,1,signal-dialect-8,signal-arrival-1,first visit,True,False,ssrm.v39.dialect.signal.Ren,Ren remembers first visit; now says signal-arrival-1 near arrival court.
40,4,orchard,Ivo,2,orchard-dialect-8,orchard-arrival-2,orchard-seed-1,True,True,ssrm.v39.dialect.orchard.Ivo,Ivo remembers orchard-seed-1; now says orchard-arrival-2 near arrival court.
42,4,riverbend,Ari,3,riverbend-dialect-8,riverbend-dry-3,riverbend-dry-2,True,True,ssrm.v39.dialect.riverbend.Ari,Ari remembers riverbend-dry-2; now says riverbend-dry-3 near dry ridge.
44,4,archive,Nia,2,archive-dialect-8,archive-spool-2,archive-spool-1,True,True,ssrm.v39.dialect.archive.Nia,Nia remembers archive-spool-1; now says archive-spool-2 near spool room.
48,5,riverbend,Lio,4,riverbend-dialect-8,riverbend-kit-4,riverbend-plank-3,True,True,ssrm.v39.dialect.riverbend.Lio,Lio remembers riverbend-plank-3; now says riverbend-kit-4 near kit alcove.
50,5,archive,Toma,3,archive-dialect-8,archive-spool-3,archive-spool-2,True,True,ssrm.v39.dialect.archive.Toma,Toma remembers archive-spool-2; now says archive-spool-3 near spool room.
51,5,signal,Milo,2,signal-dialect-8,signal-arrival-2,signal-arrival-1,True,True,ssrm.v39.dialect.signal.Milo,Milo remembers signal-arrival-1; now says signal-arrival-2 near arrival court.
52,5,orchard,Mara,3,orchard-dialect-8,orchard-seed-3,orchard-satchel-2,True,True,ssrm.v39.dialect.orchard.Mara,Mara remembers orchard-satchel-2; now says orchard-seed-3 near seed lane.
