criterion,passed,score,evidence
report_368_lineage_gate_passing,True,1.0,Report 368 verdict=pass weakest=1.0
runner_includes_report_369,True,1.0,scripts/run_experiments.py includes Report 369 module
artifact_set_written,True,1.0,all Report 369 artifacts exist
lineage_to_schedule_binding,True,1.0,metric=1.0
lineage_to_apprenticeship_binding,True,1.0,metric=1.0
lineage_to_trade_route_binding,True,1.0,metric=1.0
lineage_to_safety_custom_binding,True,1.0,metric=1.0
ordinary_affordance_pressure_binding,True,1.0,metric=1.0
same_law_divergent_civilization_pressure,True,1.0,metric=1.0
source_trace_integrity,True,1.0,metric=1.0
no_predeclared_device_tree,True,1.0,metric=1.0
archived_failure_affects_safety,True,1.0,metric=1.0
browser_shell_state_wired,True,1.0,metric=1.0
browser_shell_not_panel_only,True,1.0,metric=1.0
browser_index_wired,True,1.0,metric=1.0
ablations_degrade_relevant_channels,True,1.0,"ablations=[{'ablation': 'no_schedule_rewrite', 'mean_score': 0.833333, 'degraded_metrics': 'lineage_to_schedule_binding;ordinary_affordance_pressure_binding'}, {'ablation': 'no_apprenticeship', 'mean_score': 0.916667, 'degraded_metrics': 'lineage_to_apprenticeship_binding'}, {'ablation': 'no_trade_routes', 'mean_score': 0.916667, 'degraded_metrics': 'lineage_to_trade_route_binding'}, {'ablation': 'no_safety_customs', 'mean_score': 0.833333, 'degraded_metrics': 'lineage_to_safety_custom_binding;archived_failure_affects_safety'}, {'ablation': 'no_ordinary_choice', 'mean_score': 0.916667, 'degraded_metrics': 'ordinary_affordance_pressure_binding'}, {'ablation': 'no_source_links', 'mean_score': 0.916667, 'degraded_metrics': 'source_trace_integrity'}, {'ablation': 'no_lineage_divergence', 'mean_score': 0.916667, 'degraded_metrics': 'same_law_divergent_civilization_pressure'}]"
boundary_preserved,True,1.0,"Browser-local civilization-pressure integration only. Long-horizon belief lineage may rewrite ordinary schedules, apprenticeships, trade routes, safety customs, resources, and bounded resident choices while preserving source belief IDs. No LLM call, no subjective-consciousness claim, no moral-patienthood claim, no real civilization claim, and no predeclared device tree."
