scenario,scenario_name,pressure,condition,policy_name,mean_reward,mean_success_rate,mean_survival,mean_hazard_avoidance,mean_vision_events,mean_audio_events,mean_visual_memory_reads,mean_audio_memory_reads,mean_tools_built,mean_tool_reads,mean_attention_switches,mean_self_state_adaptations,mean_confidence,external_memory_recovery_rate
0,open_daylight_control,open daylight resource collection with no partial-perception pressure,full_perception,no_perception_baseline,134.14398281440614,0.8967609599999999,0.9576345599999999,0.8592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8343440000000001,0.0
0,open_daylight_control,open daylight resource collection with no partial-perception pressure,no_perception,no_perception_baseline,134.23034284774778,0.8967609599999999,0.9576345599999999,0.8592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8343440000000001,0.0
0,open_daylight_control,open daylight resource collection with no partial-perception pressure,no_vision,no_perception_baseline,134.21823442330302,0.8967609599999999,0.9576345599999999,0.8592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8343440000000001,0.0
0,open_daylight_control,open daylight resource collection with no partial-perception pressure,no_audio,no_perception_baseline,134.15535503735538,0.8967609599999999,0.9576345599999999,0.8592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8343440000000001,0.0
0,open_daylight_control,open daylight resource collection with no partial-perception pressure,no_fov_limit,no_perception_baseline,134.30170437715103,0.8967609599999999,0.9576345599999999,0.8592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8343440000000001,0.0
0,open_daylight_control,open daylight resource collection with no partial-perception pressure,constant_loudness_audio,no_perception_baseline,134.18623496931883,0.8967609599999999,0.9576345599999999,0.8592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8343440000000001,0.0
0,open_daylight_control,open daylight resource collection with no partial-perception pressure,no_direction_audio,no_perception_baseline,134.19796084639168,0.8967609599999999,0.9576345599999999,0.8592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8343440000000001,0.0
0,open_daylight_control,open daylight resource collection with no partial-perception pressure,visual_memory_ablation,no_perception_baseline,134.20930194130017,0.8967609599999999,0.9576345599999999,0.8592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8343440000000001,0.0
0,open_daylight_control,open daylight resource collection with no partial-perception pressure,audio_memory_ablation,no_perception_baseline,134.12471116484505,0.8967609599999999,0.9576345599999999,0.8592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8343440000000001,0.0
0,open_daylight_control,open daylight resource collection with no partial-perception pressure,tool_alarm_ablation,no_perception_baseline,134.29705807337123,0.8967609599999999,0.9576345599999999,0.8592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8343440000000001,0.0
0,open_daylight_control,open daylight resource collection with no partial-perception pressure,body_state_blind_perception,no_perception_baseline,134.21263465066244,0.8967609599999999,0.9576345599999999,0.8592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8343440000000001,0.0
0,open_daylight_control,open daylight resource collection with no partial-perception pressure,omniscient_vision_control,no_perception_baseline,134.17712363522773,0.8967609599999999,0.9576345599999999,0.8592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8343440000000001,0.0
1,cone_vision_route_memory,resource and shelter cues leave the field of view and must be remembered,full_perception,body_state_adaptive_integrator,100.36043732283726,0.9044907853261597,0.9126058139639176,0.48707590870040646,3.0,0.0,3.0,1.0,2.0,3.0,3.0,0.0,0.7631242457714099,1.0
1,cone_vision_route_memory,resource and shelter cues leave the field of view and must be remembered,no_perception,body_state_adaptive_integrator,25.554568690419313,0.18677632,0.8809055999999998,0.144,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.44927028480000003,0.0
1,cone_vision_route_memory,resource and shelter cues leave the field of view and must be remembered,no_vision,body_state_adaptive_integrator,20.42932142498409,0.1388416,0.8809055999999998,0.144,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.43297248000000005,0.0
1,cone_vision_route_memory,resource and shelter cues leave the field of view and must be remembered,no_audio,body_state_adaptive_integrator,94.40663573954329,0.8481682594823016,0.9125941652510218,0.4869498403790251,3.0,0.0,3.0,1.0,2.0,3.0,3.0,0.0,0.7439489265340908,1.0
