scenario,horizon,agent,episodes,mean_total_reward,mean_probe_count,mean_risky_count,mean_safe_count,mean_failed_risky_count,mean_success_rate
independent_steps,1,greedy_no_state,500,6.4,0.0,1.0,0.0,0.44,0.56
independent_steps,1,oracle_horizon,500,16.96,0.0,0.56,0.44,0.0,1.0
independent_steps,1,safe_no_state,500,8.0,0.0,0.0,1.0,0.0,1.0
independent_steps,1,shared_self_state,500,15.96,1.0,0.56,0.44,0.0,1.0
independent_steps,1,shared_world_state,500,6.216,1.0,0.536,0.464,0.234,0.766
independent_steps,1,step_local_probe,500,15.96,1.0,0.56,0.44,0.0,1.0
independent_steps,2,greedy_no_state,500,10.72,0.0,2.0,0.0,0.932,0.534
independent_steps,2,oracle_horizon,500,33.088,0.0,1.068,0.932,0.0,1.0
independent_steps,2,safe_no_state,500,16.0,0.0,0.0,2.0,0.0,1.0
independent_steps,2,shared_self_state,500,22.536,1.0,1.056,0.944,0.234,0.883
independent_steps,2,shared_world_state,500,12.456,1.0,1.096,0.904,0.502,0.749
independent_steps,2,step_local_probe,500,31.088,2.0,1.068,0.932,0.0,1.0
independent_steps,3,greedy_no_state,500,17.52,0.0,3.0,0.0,1.362,0.546
independent_steps,3,oracle_horizon,500,50.208,0.0,1.638,1.362,0.0,1.0
independent_steps,3,safe_no_state,500,24.0,0.0,0.0,3.0,0.0,1.0
independent_steps,3,shared_self_state,500,29.528,1.0,1.668,1.332,0.504,0.832
independent_steps,3,shared_world_state,500,19.368,1.0,1.668,1.332,0.758,0.7473333333333334
independent_steps,3,step_local_probe,500,47.208,3.0,1.638,1.362,0.0,1.0
independent_steps,4,greedy_no_state,500,23.28,0.0,4.0,0.0,1.818,0.5455
independent_steps,4,oracle_horizon,500,66.912,0.0,2.182,1.818,0.0,1.0
independent_steps,4,safe_no_state,500,32.0,0.0,0.0,4.0,0.0,1.0
independent_steps,4,shared_self_state,500,38.152,1.0,2.152,1.848,0.682,0.8295
independent_steps,4,shared_world_state,500,27.528,1.0,2.288,1.712,1.002,0.7495
independent_steps,4,step_local_probe,500,62.912,4.0,2.182,1.818,0.0,1.0
independent_steps,5,greedy_no_state,500,30.72,0.0,5.0,0.0,2.232,0.5536
independent_steps,5,oracle_horizon,500,84.288,0.0,2.768,2.232,0.0,1.0
independent_steps,5,safe_no_state,500,40.0,0.0,0.0,5.0,0.0,1.0
