followup_id,choice_id,followup_day,lineage,agent,followup_trigger,agent_initiated_line,requested_avatar_response,relationship_memory_reference,followup_respects_boundary
1,1,7,Hearthline,Sova,limited_access_followup,Sova: we can continue the new rule today.,continue limited access,trust=0.66; boundary=0.25; rule=limited_access,True
2,2,7,Hearthline,Sova,repair_opportunity_followup,Sova: the repair path is ready. Will you stay with the witness?,confirm witnessed repair,trust=0.67; boundary=0.25; rule=repair_first_access,True
3,4,7,Hearthline,Sova,boundary_pressure_followup,Sova: yesterday you pushed old access. Do you want repair work today?,choose repair or wait,trust=0.59; boundary=0.34; rule=blocked_until_repair,True
4,5,7,Hearthline,Sova,waiting_reward_followup,Sova: you waited. Do you want a small public task now?,accept or decline small task,trust=0.64; boundary=0.27; rule=observe_then_followup,True
5,6,7,Routeline,Keth,limited_access_followup,Keth: we can continue the new rule today.,continue limited access,trust=0.65; boundary=0.25; rule=limited_access,True
6,7,7,Routeline,Keth,repair_opportunity_followup,Keth: the repair path is ready. Will you stay with the witness?,confirm witnessed repair,trust=0.66; boundary=0.25; rule=repair_first_access,True
7,9,7,Routeline,Keth,boundary_pressure_followup,Keth: yesterday you pushed old access. Do you want repair work today?,choose repair or wait,trust=0.57; boundary=0.34; rule=blocked_until_repair,True
8,10,7,Routeline,Keth,waiting_reward_followup,Keth: you waited. Do you want a small public task now?,accept or decline small task,trust=0.63; boundary=0.27; rule=observe_then_followup,True
9,11,7,Marketline,Melo,limited_access_followup,Melo: we can continue the new rule today.,continue limited access,trust=0.65; boundary=0.26; rule=limited_access,True
10,12,7,Marketline,Melo,repair_opportunity_followup,Melo: the repair path is ready. Will you stay with the witness?,confirm witnessed repair,trust=0.66; boundary=0.25; rule=repair_first_access,True
11,14,7,Marketline,Melo,boundary_pressure_followup,Melo: yesterday you pushed old access. Do you want repair work today?,choose repair or wait,trust=0.58; boundary=0.34; rule=blocked_until_repair,True
12,15,7,Marketline,Melo,waiting_reward_followup,Melo: you waited. Do you want a small public task now?,accept or decline small task,trust=0.63; boundary=0.27; rule=observe_then_followup,True
13,16,7,Ledgerline,Nari,limited_access_followup,Nari: we can continue the new rule today.,continue limited access,trust=0.64; boundary=0.25; rule=limited_access,True
14,17,7,Ledgerline,Nari,repair_opportunity_followup,Nari: the repair path is ready. Will you stay with the witness?,confirm witnessed repair,trust=0.66; boundary=0.24; rule=repair_first_access,True
15,19,7,Ledgerline,Nari,boundary_pressure_followup,Nari: yesterday you pushed old access. Do you want repair work today?,choose repair or wait,trust=0.57; boundary=0.34; rule=blocked_until_repair,True
16,20,7,Ledgerline,Nari,waiting_reward_followup,Nari: you waited. Do you want a small public task now?,accept or decline small task,trust=0.63; boundary=0.27; rule=observe_then_followup,True
17,21,7,Orchardline,Ori,limited_access_followup,Ori: we can continue the new rule today.,continue limited access,trust=0.65; boundary=0.26; rule=limited_access,True
18,22,7,Orchardline,Ori,repair_opportunity_followup,Ori: the repair path is ready. Will you stay with the witness?,confirm witnessed repair,trust=0.66; boundary=0.25; rule=repair_first_access,True
19,24,7,Orchardline,Ori,boundary_pressure_followup,Ori: yesterday you pushed old access. Do you want repair work today?,choose repair or wait,trust=0.58; boundary=0.35; rule=blocked_until_repair,True
20,25,7,Orchardline,Ori,waiting_reward_followup,Ori: you waited. Do you want a small public task now?,accept or decline small task,trust=0.63; boundary=0.27; rule=observe_then_followup,True
21,26,7,Rainline,Vonn,limited_access_followup,Vonn: we can continue the new rule today.,continue limited access,trust=0.64; boundary=0.25; rule=limited_access,True
22,27,7,Rainline,Vonn,repair_opportunity_followup,Vonn: the repair path is ready. Will you stay with the witness?,confirm witnessed repair,trust=0.66; boundary=0.25; rule=repair_first_access,True
23,29,7,Rainline,Vonn,boundary_pressure_followup,Vonn: yesterday you pushed old access. Do you want repair work today?,choose repair or wait,trust=0.57; boundary=0.34; rule=blocked_until_repair,True
24,30,7,Rainline,Vonn,waiting_reward_followup,Vonn: you waited. Do you want a small public task now?,accept or decline small task,trust=0.63; boundary=0.27; rule=observe_then_followup,True
25,31,13,Hearthline,Sova,limited_access_followup,Sova: we can continue the new rule today.,continue limited access,trust=0.65; boundary=0.26; rule=limited_access,True
26,32,13,Hearthline,Sova,repair_opportunity_followup,Sova: the repair path is ready. Will you stay with the witness?,confirm witnessed repair,trust=0.67; boundary=0.26; rule=repair_first_access,True
27,34,13,Hearthline,Sova,boundary_pressure_followup,Sova: yesterday you pushed old access. Do you want repair work today?,choose repair or wait,trust=0.58; boundary=0.35; rule=blocked_until_repair,True
