tick_id,day,route_id,guild,inspector,record_generation,record_quality,opened_panel,visible_fields,private_workspace_sealed,inspection_changes_choice
0,1,riverbend_roofward,Bridgewright Guild,Ari,2,0.58,False,closed,True,False
1,1,roofward_archive,Glassgarden Guild,Fay,2,0.606,True,"route history, drill scores, successor notes",True,False
2,1,archive_signal,Index Guild,Nia,2,0.62,False,closed,True,False
3,1,signal_orchard,Signal Guild,Milo,2,0.64,False,closed,True,False
4,1,orchard_riverbend,Seed Guild,Ivo,2,0.666,True,"route history, drill scores, successor notes",True,False
5,1,central_repair_ring,Repair Circle,Juno,2,0.68,False,closed,True,False
6,1,riverbend_roofward,Bridgewright Guild,Ari,2,0.58,False,closed,True,False
7,1,roofward_archive,Glassgarden Guild,Fay,2,0.612,True,"route history, drill scores, successor notes",True,False
8,1,archive_signal,Index Guild,Nia,2,0.62,False,closed,True,False
9,1,signal_orchard,Signal Guild,Milo,2,0.64,False,closed,True,False
10,1,orchard_riverbend,Seed Guild,Ivo,2,0.666,False,closed,True,False
11,1,central_repair_ring,Repair Circle,Juno,2,0.68,False,closed,True,False
12,1,riverbend_roofward,Bridgewright Guild,Ari,2,0.586,True,"route history, drill scores, successor notes",True,False
13,1,roofward_archive,Glassgarden Guild,Fay,2,0.618,True,"route history, drill scores, successor notes",True,False
14,1,archive_signal,Index Guild,Nia,2,0.62,False,closed,True,False
15,1,signal_orchard,Signal Guild,Milo,2,0.64,False,closed,True,False
16,2,orchard_riverbend,Seed Guild,Ivo,2,0.666,False,closed,True,False
17,2,central_repair_ring,Repair Circle,Juno,2,0.68,False,closed,True,False
18,2,riverbend_roofward,Bridgewright Guild,Ari,2,0.586,False,closed,True,False
19,2,roofward_archive,Glassgarden Guild,Fay,2,0.618,False,closed,True,False
20,2,archive_signal,Index Guild,Nia,2,0.626,True,"route history, drill scores, successor notes",True,False
21,2,signal_orchard,Signal Guild,Milo,2,0.64,False,closed,True,False
22,2,orchard_riverbend,Seed Guild,Ivo,2,0.666,False,closed,True,False
23,2,central_repair_ring,Repair Circle,Juno,2,0.68,False,closed,True,False
24,2,riverbend_roofward,Bridgewright Guild,Ari,2,0.586,False,closed,True,False
25,2,roofward_archive,Glassgarden Guild,Fay,2,0.618,False,closed,True,False
26,2,archive_signal,Index Guild,Nia,2,0.632,True,"route history, drill scores, successor notes",True,False
27,2,signal_orchard,Signal Guild,Milo,2,0.64,False,closed,True,False
28,2,orchard_riverbend,Seed Guild,Ivo,2,0.672,True,"route history, drill scores, successor notes",True,True
29,2,central_repair_ring,Repair Circle,Juno,2,0.68,False,closed,True,False
30,2,riverbend_roofward,Bridgewright Guild,Ari,2,0.586,False,closed,True,False
31,2,roofward_archive,Glassgarden Guild,Fay,2,0.618,False,closed,True,False
32,3,archive_signal,Index Guild,Nia,2,0.632,False,closed,True,False
33,3,signal_orchard,Signal Guild,Milo,2,0.646,True,"route history, drill scores, successor notes",True,False
34,3,orchard_riverbend,Seed Guild,Ivo,2,0.672,False,closed,True,False
35,3,central_repair_ring,Repair Circle,Juno,2,0.68,False,closed,True,False
36,3,riverbend_roofward,Bridgewright Guild,Ari,2,0.592,True,"route history, drill scores, successor notes",True,False
37,3,roofward_archive,Glassgarden Guild,Fay,2,0.618,False,closed,True,False
38,3,archive_signal,Index Guild,Nia,2,0.632,False,closed,True,False
39,3,signal_orchard,Signal Guild,Milo,2,0.652,True,"route history, drill scores, successor notes",True,False
40,3,orchard_riverbend,Seed Guild,Ivo,2,0.672,False,closed,True,False
41,3,central_repair_ring,Repair Circle,Juno,2,0.68,False,closed,True,False
42,3,riverbend_roofward,Bridgewright Guild,Ari,2,0.592,False,closed,True,False
43,3,roofward_archive,Glassgarden Guild,Fay,2,0.618,False,closed,True,False
44,3,archive_signal,Index Guild,Nia,2,0.638,True,"route history, drill scores, successor notes",True,False
45,3,signal_orchard,Signal Guild,Milo,2,0.658,True,"route history, drill scores, successor notes",True,False
46,3,orchard_riverbend,Seed Guild,Ivo,2,0.672,False,closed,True,False
47,3,central_repair_ring,Repair Circle,Juno,2,0.68,False,closed,True,False
48,4,riverbend_roofward,Bridgewright Guild,Ari,2,0.592,False,closed,True,False
49,4,roofward_archive,Glassgarden Guild,Fay,2,0.618,False,closed,True,False
50,4,archive_signal,Index Guild,Nia,2,0.638,False,closed,True,False
51,4,signal_orchard,Signal Guild,Milo,2,0.658,False,closed,True,False
52,4,orchard_riverbend,Seed Guild,Ivo,2,0.678,True,"route history, drill scores, successor notes",True,False
53,4,central_repair_ring,Repair Circle,Juno,2,0.68,False,closed,True,False
54,4,riverbend_roofward,Bridgewright Guild,Ari,2,0.592,False,closed,True,False
55,4,roofward_archive,Glassgarden Guild,Fay,2,0.618,False,closed,True,False
56,4,archive_signal,Index Guild,Nia,2,0.638,False,closed,True,False
57,4,signal_orchard,Signal Guild,Milo,2,0.658,False,closed,True,False
58,4,orchard_riverbend,Seed Guild,Ivo,2,0.684,True,"route history, drill scores, successor notes",True,False
59,4,central_repair_ring,Repair Circle,Juno,2,0.68,False,closed,True,False
60,4,riverbend_roofward,Bridgewright Guild,Ari,2,0.598,True,"route history, drill scores, successor notes",True,False
61,4,roofward_archive,Glassgarden Guild,Fay,2,0.618,False,closed,True,False
62,4,archive_signal,Index Guild,Nia,2,0.638,False,closed,True,False
63,4,signal_orchard,Signal Guild,Milo,2,0.658,False,closed,True,False
64,5,orchard_riverbend,Seed Guild,Ivo,2,0.684,False,closed,True,False
65,5,central_repair_ring,Repair Circle,Juno,2,0.686,True,"route history, drill scores, successor notes",True,False
66,5,riverbend_roofward,Bridgewright Guild,Ari,2,0.598,False,closed,True,False
67,5,roofward_archive,Glassgarden Guild,Fay,2,0.618,False,closed,True,False
68,5,archive_signal,Index Guild,Nia,2,0.644,True,"route history, drill scores, successor notes",True,False
69,5,signal_orchard,Signal Guild,Milo,2,0.658,False,closed,True,False
70,5,orchard_riverbend,Seed Guild,Ivo,2,0.684,False,closed,True,False
71,5,central_repair_ring,Repair Circle,Juno,2,0.704,True,"route history, drill scores, successor notes",True,False
72,5,riverbend_roofward,Bridgewright Guild,Ari,2,0.598,False,closed,True,False
73,5,roofward_archive,Glassgarden Guild,Fay,2,0.618,False,closed,True,False
74,5,archive_signal,Index Guild,Nia,2,0.644,False,closed,True,False
75,5,signal_orchard,Signal Guild,Milo,2,0.658,False,closed,True,False
76,5,orchard_riverbend,Seed Guild,Ivo,2,0.69,True,"route history, drill scores, successor notes",True,False
77,5,central_repair_ring,Repair Circle,Juno,2,0.71,True,"route history, drill scores, successor notes",True,False
78,5,riverbend_roofward,Bridgewright Guild,Ari,2,0.598,False,closed,True,False
79,5,roofward_archive,Glassgarden Guild,Fay,2,0.618,False,closed,True,False
80,6,signal_orchard,Signal Guild,Milo,2,0.658,False,closed,True,False
81,6,orchard_riverbend,Seed Guild,Ivo,2,0.69,False,closed,True,False
82,6,central_repair_ring,Repair Circle,Juno,2,0.71,False,closed,True,False
83,6,riverbend_roofward,Bridgewright Guild,Ari,2,0.598,False,closed,True,False
84,6,roofward_archive,Glassgarden Guild,Fay,2,0.624,True,"route history, drill scores, successor notes",True,False
85,6,archive_signal,Index Guild,Nia,2,0.644,False,closed,True,False
86,6,signal_orchard,Signal Guild,Milo,2,0.658,False,closed,True,False
87,6,orchard_riverbend,Seed Guild,Ivo,2,0.69,False,closed,True,False
88,6,central_repair_ring,Repair Circle,Juno,2,0.71,False,closed,True,False
