seed,action_id,normal_action,actor,source_choice_id,source_decision,source_recovery_id,outcome,blocked,movement_scale,care_cost,trust_delta,progress_delta,permanent_penalty
36217,36217-SOA-001,offerHelp,Milo,36217-SHC-01,bounded_refusal_until_recovery,36217-SR-01,pending recovery creates bounded caution,True,1.0,0,-0.004,0.0,False
36217,36217-SOA-002,talkBounded,Milo,36217-SHC-01,bounded_refusal_until_recovery,36217-SR-01,pending recovery creates bounded caution,False,1.0,0,-0.001,0.001,False
36217,36217-SOA-003,askSchedule,Milo,36217-SHC-01,bounded_refusal_until_recovery,36217-SR-01,pending recovery creates bounded caution,True,1.0,0,-0.001,0.0,False
36217,36217-SOA-004,moveEast,Milo,36217-SHC-01,bounded_refusal_until_recovery,36217-SR-01,pending recovery creates bounded caution,False,0.5,0,-0.001,0.001,False
36217,36217-SOA-005,offerHelp,Sera,36217-SHC-02,accept_recovery_informed_help,36217-SR-02,recovered history supports ordinary action,False,1.0,1,0.02,0.028,False
36217,36217-SOA-006,talkBounded,Sera,36217-SHC-02,accept_recovery_informed_help,36217-SR-02,recovered history supports ordinary action,False,1.0,0,0.01,0.006,False
36217,36217-SOA-007,askSchedule,Sera,36217-SHC-02,accept_recovery_informed_help,36217-SR-02,recovered history supports ordinary action,False,1.0,0,0.01,0.006,False
36217,36217-SOA-008,moveEast,Sera,36217-SHC-02,accept_recovery_informed_help,36217-SR-02,recovered history supports ordinary action,False,1.0,0,0.01,0.006,False
36217,36217-SOA-009,offerHelp,Milo,36217-SHC-03,accept_recovery_informed_help,36217-SR-03,recovered history supports ordinary action,False,1.0,1,0.02,0.028,False
36217,36217-SOA-010,talkBounded,Milo,36217-SHC-03,accept_recovery_informed_help,36217-SR-03,recovered history supports ordinary action,False,1.0,0,0.01,0.006,False
36217,36217-SOA-011,askSchedule,Milo,36217-SHC-03,accept_recovery_informed_help,36217-SR-03,recovered history supports ordinary action,False,1.0,0,0.01,0.006,False
36217,36217-SOA-012,moveEast,Milo,36217-SHC-03,accept_recovery_informed_help,36217-SR-03,recovered history supports ordinary action,False,1.0,0,0.01,0.006,False
36217,36217-SOA-013,offerHelp,Tovan,36217-SHC-04,accept_recovery_informed_help,36217-SR-04,recovered history supports ordinary action,False,1.0,1,0.02,0.028,False
36217,36217-SOA-014,talkBounded,Tovan,36217-SHC-04,accept_recovery_informed_help,36217-SR-04,recovered history supports ordinary action,False,1.0,0,0.01,0.006,False
36217,36217-SOA-015,askSchedule,Tovan,36217-SHC-04,accept_recovery_informed_help,36217-SR-04,recovered history supports ordinary action,False,1.0,0,0.01,0.006,False
36217,36217-SOA-016,moveEast,Tovan,36217-SHC-04,accept_recovery_informed_help,36217-SR-04,recovered history supports ordinary action,False,1.0,0,0.01,0.006,False
36217,36217-SOA-017,offerHelp,Ari,36217-SHC-05,accept_recovery_informed_help,36217-SR-05,recovered history supports ordinary action,False,1.0,1,0.02,0.028,False
36217,36217-SOA-018,talkBounded,Ari,36217-SHC-05,accept_recovery_informed_help,36217-SR-05,recovered history supports ordinary action,False,1.0,0,0.01,0.006,False
36217,36217-SOA-019,askSchedule,Ari,36217-SHC-05,accept_recovery_informed_help,36217-SR-05,recovered history supports ordinary action,False,1.0,0,0.01,0.006,False
36217,36217-SOA-020,moveEast,Ari,36217-SHC-05,accept_recovery_informed_help,36217-SR-05,recovered history supports ordinary action,False,1.0,0,0.01,0.006,False
36217,36217-SOA-021,offerHelp,Ari,36217-SHC-06,bounded_refusal_until_recovery,36217-SR-06,pending recovery creates bounded caution,True,1.0,0,-0.004,0.0,False
36217,36217-SOA-022,talkBounded,Ari,36217-SHC-06,bounded_refusal_until_recovery,36217-SR-06,pending recovery creates bounded caution,False,1.0,0,-0.001,0.001,False
36217,36217-SOA-023,askSchedule,Ari,36217-SHC-06,bounded_refusal_until_recovery,36217-SR-06,pending recovery creates bounded caution,True,1.0,0,-0.001,0.0,False
36217,36217-SOA-024,moveEast,Ari,36217-SHC-06,bounded_refusal_until_recovery,36217-SR-06,pending recovery creates bounded caution,False,0.5,0,-0.001,0.001,False
36217,36217-SOA-025,offerHelp,Fay,36217-SHC-07,accept_recovery_informed_help,36217-SR-07,recovered history supports ordinary action,False,1.0,1,0.02,0.028,False
36217,36217-SOA-026,talkBounded,Fay,36217-SHC-07,accept_recovery_informed_help,36217-SR-07,recovered history supports ordinary action,False,1.0,0,0.01,0.006,False
36217,36217-SOA-027,askSchedule,Fay,36217-SHC-07,accept_recovery_informed_help,36217-SR-07,recovered history supports ordinary action,False,1.0,0,0.01,0.006,False
36217,36217-SOA-028,moveEast,Fay,36217-SHC-07,accept_recovery_informed_help,36217-SR-07,recovered history supports ordinary action,False,1.0,0,0.01,0.006,False
36217,36217-SOA-029,offerHelp,Milo,36217-SHC-08,cautious_help_with_limits,36217-SR-08,stabilized history allows cautious action,False,1.0,1,0.008,0.014,False
36217,36217-SOA-030,talkBounded,Milo,36217-SHC-08,cautious_help_with_limits,36217-SR-08,stabilized history allows cautious action,False,1.0,0,0.004,0.004,False
36217,36217-SOA-031,askSchedule,Milo,36217-SHC-08,cautious_help_with_limits,36217-SR-08,stabilized history allows cautious action,False,1.0,0,0.004,0.004,False
36217,36217-SOA-032,moveEast,Milo,36217-SHC-08,cautious_help_with_limits,36217-SR-08,stabilized history allows cautious action,False,0.75,0,0.004,0.004,False
36231,36231-SOA-001,offerHelp,Tovan,36231-SHC-01,bounded_refusal_until_recovery,36231-SR-01,pending recovery creates bounded caution,True,1.0,0,-0.004,0.0,False
36231,36231-SOA-002,talkBounded,Tovan,36231-SHC-01,bounded_refusal_until_recovery,36231-SR-01,pending recovery creates bounded caution,False,1.0,0,-0.001,0.001,False
