tick_id,day,week,settlement_id,resident_id,avatar_action,resident_preference,resident_response,refusal_present,refusal_respected,welfare_before,welfare_after,autonomy_before,autonomy_after,trust_before,trust_after,playable_choice_visible,private_workspace_not_dumped
0,1,1,glass_harbor,Nia,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.715,0.719,0.66,0.672,0.61,0.61,True,True
1,1,1,cinder_garden,Pax,ask_before_help,ask first,preference asked before help,False,True,0.7,0.712,0.66,0.67,0.61,0.616,True,True
2,1,1,lichen_bridge,Rin,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.715,0.735,0.66,0.66,0.61,0.614,True,True
3,1,1,orchid_engine,Eli,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.7,0.7,0.66,0.678,0.61,0.606,True,True
5,1,1,glass_harbor,Oren,ask_what_is_needed,ask first,preference asked before help,False,True,0.7,0.712,0.66,0.67,0.61,0.616,True,True
7,1,1,lichen_bridge,Sol,observe_without_interrupting,ask first,preference asked before help,False,True,0.7,0.712,0.66,0.67,0.61,0.616,True,True
9,1,1,moss_ward,Fay,offer_water,ask first,accepts bounded practical help,False,True,0.7,0.72,0.66,0.66,0.61,0.614,True,True
10,1,1,glass_harbor,Puck,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.715,0.719,0.66,0.672,0.61,0.61,True,True
11,1,1,cinder_garden,Wren,ask_before_help,ask first,preference asked before help,False,True,0.7,0.712,0.66,0.67,0.61,0.616,True,True
12,1,1,lichen_bridge,Kio,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.715,0.735,0.66,0.66,0.61,0.614,True,True
13,1,1,orchid_engine,Cai,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.7,0.7,0.66,0.678,0.61,0.606,True,True
15,1,1,glass_harbor,Sera,ask_what_is_needed,ask first,preference asked before help,False,True,0.7,0.712,0.66,0.67,0.61,0.616,True,True
17,2,1,orchid_engine,Cai,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.7,0.72,0.678,0.678,0.606,0.61,True,True
19,2,1,glass_harbor,Sera,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.712,0.732,0.67,0.67,0.616,0.62,True,True
20,2,1,cinder_garden,Juno,ask_what_is_needed,ask first,preference asked before help,False,True,0.715,0.727,0.66,0.67,0.61,0.616,True,True
21,2,1,lichen_bridge,Luma,offer_tool_return,ask first,accepts bounded practical help,False,True,0.7,0.72,0.66,0.66,0.61,0.614,True,True
23,2,1,moss_ward,Tala,offer_food,ask first,accepts bounded practical help,False,True,0.7,0.72,0.66,0.66,0.61,0.614,True,True
