stage,agent,episode,total_reward,survived_ticks,survival_fraction,resources_collected,hazards_hit,commitment_done,recovered_after_interruption,mean_prediction_error,attention_entropy,latent_decodability,latent_reuse_contexts,self_world_attribution_accuracy,counterfactual_edit_swing,llm_calls,llm_follow_rate
0,reactive_no_self,0,92.68935832530329,540,1.0,3,0,False,False,0.004673728897151144,0.785081632556314,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,1,67.28723481459605,540,1.0,2,0,False,False,0.004462330887167126,0.7889159706847312,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,2,120.78726314044972,540,1.0,4,0,False,False,0.00179179057337982,0.7800463280377568,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,3,96.22230090107885,540,1.0,3,0,False,False,0.004171738862776977,0.7856204886468647,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,4,121.36024899024633,540,1.0,4,0,False,False,0.0037522381433975844,0.7752490328450435,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,5,117.591528732245,540,1.0,4,0,False,False,0.002875691520072176,0.7762189117511051,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,6,88.74180926862456,540,1.0,3,0,False,False,0.003836058064663142,0.7830975325310552,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,7,99.77167911561014,540,1.0,3,0,False,False,0.0037265423404620034,0.7861180205396127,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,8,91.7043596809296,540,1.0,3,0,False,False,0.004243562554189231,0.7853632543007011,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,9,67.43983110421802,540,1.0,2,0,False,False,0.005576269862138424,0.7929925647052904,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,10,93.69022948023306,540,1.0,3,0,False,False,0.0038100440404760356,0.7839722587135283,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,11,94.02708845301481,540,1.0,3,0,False,False,0.006160818694306783,0.7948644271721629,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,12,91.31728257030268,540,1.0,3,0,False,False,0.0041695349521138755,0.7840001986310532,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,13,92.05012902324191,540,1.0,3,0,False,False,0.003435627826368972,0.782262814607898,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,14,65.33634067578325,540,1.0,2,0,False,False,0.006219990303590336,0.8032756474090305,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,15,117.51161267166763,540,1.0,4,0,False,False,0.00271367682687931,0.773824455109141,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,16,94.73181832704597,540,1.0,3,0,False,False,0.004387625416819038,0.7822357709975556,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,17,70.11735481661462,540,1.0,2,0,False,False,0.005285040445049211,0.7947432777680274,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,18,116.94188008480752,540,1.0,4,0,False,False,0.0031807709582742888,0.7800373850156224,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,19,90.22658496095619,540,1.0,3,0,False,False,0.0040155533847890034,0.7900483286460903,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,20,115.24594481576773,540,1.0,4,0,False,False,0.0022604008821430974,0.776225445252818,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,21,93.01064336547167,540,1.0,3,0,False,False,0.004675086156155949,0.7859420263549319,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,22,65.57498323789675,540,1.0,2,0,False,False,0.005402875374012694,0.801295818184699,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,23,94.34386662232406,540,1.0,3,0,False,False,0.003486289522981423,0.78357236352753,0.0,0.0,0.0,0.0,0,0.0
0,reactive_no_self,24,117.92296535508717,540,1.0,4,0,False,False,0.0030451292966409906,0.7764909828596345,0.0,0.0,0.0,0.0,0,0.0
