technology_slot_id,year,household_id,technology_name,use_context,maintenance_need,failure_risk,rollback_action,market_or_ritual_link,playable_affordance
tech_slot_agent_0_westkeepers,0,westkeepers,westkeepers hand marks,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.36,0.24,manual ritual memory and household repair if tool fails,feeds westkeepers market slot and ritual slot for year 0,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_0_mossgarden,0,mossgarden,mossgarden hand marks,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.366,0.24,manual ritual memory and household repair if tool fails,feeds mossgarden market slot and ritual slot for year 0,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_0_ledgerkin,0,ledgerkin,ledgerkin hand marks,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.372,0.24,manual ritual memory and household repair if tool fails,feeds ledgerkin market slot and ritual slot for year 0,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_0_redstair,0,redstair,redstair hand marks,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.378,0.24,manual ritual memory and household repair if tool fails,feeds redstair market slot and ritual slot for year 0,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_0_wheelwright,0,wheelwright,wheelwright hand marks,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.384,0.28,manual ritual memory and household repair if tool fails,feeds wheelwright market slot and ritual slot for year 0,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_55_westkeepers,55,westkeepers,westkeepers dry store,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.332,0.22,manual ritual memory and household repair if tool fails,feeds westkeepers market slot and ritual slot for year 55,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_55_mossgarden,55,mossgarden,mossgarden dry store,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.338,0.22,manual ritual memory and household repair if tool fails,feeds mossgarden market slot and ritual slot for year 55,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_55_ledgerkin,55,ledgerkin,ledgerkin dry store,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.344,0.22,manual ritual memory and household repair if tool fails,feeds ledgerkin market slot and ritual slot for year 55,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_55_redstair,55,redstair,redstair dry store,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.35,0.22,manual ritual memory and household repair if tool fails,feeds redstair market slot and ritual slot for year 55,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_55_wheelwright,55,wheelwright,wheelwright dry store,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.356,0.26,manual ritual memory and household repair if tool fails,feeds wheelwright market slot and ritual slot for year 55,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_377_westkeepers,377,westkeepers,westkeepers ledger knots,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.304,0.2,manual ritual memory and household repair if tool fails,feeds westkeepers market slot and ritual slot for year 377,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_377_mossgarden,377,mossgarden,mossgarden ledger knots,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.31,0.2,manual ritual memory and household repair if tool fails,feeds mossgarden market slot and ritual slot for year 377,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_377_ledgerkin,377,ledgerkin,ledgerkin ledger knots,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.316,0.2,manual ritual memory and household repair if tool fails,feeds ledgerkin market slot and ritual slot for year 377,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_377_redstair,377,redstair,redstair ledger knots,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.322,0.2,manual ritual memory and household repair if tool fails,feeds redstair market slot and ritual slot for year 377,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_377_wheelwright,377,wheelwright,wheelwright ledger knots,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.328,0.24,manual ritual memory and household repair if tool fails,feeds wheelwright market slot and ritual slot for year 377,"inspect, help repair, ask history, or decline unsafe use"
