tick_id,day,settlement_id,resident_id,project_id,material_item,inventory_before,inventory_after,output_item,output_before,output_after,task_effect,inventory_delta_visible,material_consumed,output_created,no_magic_inventory
0,1,glass_harbor,Oren,4691632fda,salt chalk,520,518,mend fog net output,0,1,consume 2 salt chalk; advance mend fog net,True,True,True,True
1,1,cinder_garden,Vale,669e90cbc3,shade reed,520,519,repair seed calendar output,0,1,consume 1 shade reed; advance repair seed calendar,True,True,True,True
2,1,lichen_bridge,Sol,797e050dde,bell tin,520,519,weave spare rope output,0,1,consume 1 bell tin; advance weave spare rope,True,True,True,True
3,1,orchid_engine,Bea,936769c116,orchid oil,520,519,stabilize steam kettle output,0,1,consume 1 orchid oil; advance stabilize steam kettle,True,True,True,True
4,1,moss_ward,Fay,23961e054e,charcoal mark,520,519,patch blanket loom output,0,1,consume 1 charcoal mark; advance patch blanket loom,True,True,True,True
5,1,glass_harbor,Puck,4e34e5eca9,lamp oil,520,519,mark crossing rope output,0,1,consume 1 lamp oil; advance mark crossing rope,True,True,True,True
6,1,cinder_garden,Wren,f54993de4d,ember basket,520,519,sort ember fruit output,0,1,consume 1 ember basket; advance sort ember fruit,True,True,True,True
7,1,lichen_bridge,Kio,e74a8726db,meal token,520,519,repair meal ledger output,0,1,consume 1 meal token; advance repair meal ledger,True,True,True,True
8,1,orchid_engine,Cai,fee339b1d9,steam seal,520,519,clean gear wash output,0,1,consume 1 steam seal; advance clean gear wash,True,True,True,True
9,1,moss_ward,Milo,d27f39c290,reed bundle,520,519,raise warm-cup shelf output,0,1,consume 1 reed bundle; advance raise warm-cup shelf,True,True,True,True
10,1,glass_harbor,Sera,c5ce3bb82a,glass bead,520,519,mend fog net output,1,2,consume 1 glass bead; advance mend fog net,True,True,True,True
11,1,cinder_garden,Juno,ab3857f6de,cool stone,520,519,repair seed calendar output,1,2,consume 1 cool stone; advance repair seed calendar,True,True,True,True
12,1,lichen_bridge,Luma,6e76849c77,lichen glue,520,519,weave spare rope output,1,2,consume 1 lichen glue; advance weave spare rope,True,True,True,True
13,1,orchid_engine,Dax,1194905158,valve grease,520,518,stabilize steam kettle output,1,2,consume 2 valve grease; advance stabilize steam kettle,True,True,True,True
14,1,moss_ward,Tala,ffd144b235,dry clay,520,519,patch blanket loom output,1,2,consume 1 dry clay; advance patch blanket loom,True,True,True,True
15,1,glass_harbor,Nia,e283abe06a,net fiber,520,519,mark crossing rope output,1,2,consume 1 net fiber; advance mark crossing rope,True,True,True,True
16,1,cinder_garden,Pax,f91854767d,seed ink,520,519,sort ember fruit output,1,2,consume 1 seed ink; advance sort ember fruit,True,True,True,True
17,1,lichen_bridge,Rin,47513db752,rope fiber,520,519,repair meal ledger output,1,2,consume 1 rope fiber; advance repair meal ledger,True,True,True,True
18,2,moss_ward,Milo,48ae12c016,reed bundle,519,518,copy root ledger output,0,1,consume 1 reed bundle; advance copy root ledger,True,True,True,True
19,2,glass_harbor,Sera,ea7173b0ad,glass bead,519,518,relight public lamp output,0,1,consume 1 glass bead; advance relight public lamp,True,True,True,True
20,2,cinder_garden,Juno,5f79a57e6f,cool stone,519,518,cool ash path output,0,1,consume 1 cool stone; advance cool ash path,True,True,True,True
21,2,lichen_bridge,Luma,e1bab827b9,lichen glue,519,518,test rope bridge output,0,1,consume 1 lichen glue; advance test rope bridge,True,True,True,True
22,2,orchid_engine,Dax,3645f43e1d,valve grease,518,517,tend orchid lamp output,0,1,consume 1 valve grease; advance tend orchid lamp,True,True,True,True
23,2,moss_ward,Tala,28589c06c6,dry clay,519,518,drain rain path output,0,1,consume 1 dry clay; advance drain rain path,True,True,True,True
24,2,glass_harbor,Nia,9a5c1e063a,net fiber,519,518,seal fog catcher output,0,1,consume 1 net fiber; advance seal fog catcher,True,True,True,True
25,2,cinder_garden,Pax,da2b247900,seed ink,519,518,shade seed rows output,0,1,consume 1 seed ink; advance shade seed rows,True,True,True,True
26,2,lichen_bridge,Rin,0d07f43a57,rope fiber,519,517,mark signal bell output,0,1,consume 2 rope fiber; advance mark signal bell,True,True,True,True
27,2,orchid_engine,Eli,2432f12bb3,gear cloth,520,519,listen to valve pulse output,0,1,consume 1 gear cloth; advance listen to valve pulse,True,True,True,True
28,2,moss_ward,Ari,2ea8f2d96e,moss cord,520,519,copy root ledger output,1,2,consume 1 moss cord; advance copy root ledger,True,True,True,True
29,2,glass_harbor,Oren,fd03ad5da8,salt chalk,518,517,relight public lamp output,1,2,consume 1 salt chalk; advance relight public lamp,True,True,True,True
30,2,cinder_garden,Vale,5e37aea90d,shade reed,519,518,cool ash path output,1,2,consume 1 shade reed; advance cool ash path,True,True,True,True
31,2,lichen_bridge,Sol,72a63892cd,bell tin,519,518,test rope bridge output,1,2,consume 1 bell tin; advance test rope bridge,True,True,True,True
32,2,orchid_engine,Bea,ff802a82b5,orchid oil,519,518,tend orchid lamp output,1,2,consume 1 orchid oil; advance tend orchid lamp,True,True,True,True
33,2,moss_ward,Fay,b4068fee47,charcoal mark,519,518,drain rain path output,1,2,consume 1 charcoal mark; advance drain rain path,True,True,True,True
34,2,glass_harbor,Puck,b9f27156b1,lamp oil,519,518,seal fog catcher output,1,2,consume 1 lamp oil; advance seal fog catcher,True,True,True,True
35,2,cinder_garden,Wren,8d7a6c2aa4,ember basket,519,518,shade seed rows output,1,2,consume 1 ember basket; advance shade seed rows,True,True,True,True
36,3,orchid_engine,Eli,b41913dbe2,gear cloth,519,518,stabilize steam kettle output,2,3,consume 1 gear cloth; advance stabilize steam kettle,True,True,True,True
