tick,day,resident,posture,gaze,gesture,facing,proximity_before,proximity_after,trust_before,trust_after,gesture_visible,body_state_public,private_workspace_not_leaked
0,1,Sera,open stance,toward tool,touches chest,side-on boundary,2.957,3.137,0.59752,0.58352,True,steady,True
1,1,Tovan,focused crouch,away then back,offers handle,avatar,2.972,2.762,0.618554,0.624554,True,wet,True
2,1,Nia,alert half-turn,toward bystander,steps aside,side-on boundary,2.986,3.166,0.653692,0.639692,True,steady,True
3,1,Ari,open stance,toward exit,small wave,avatar,2.999,2.789,0.535764,0.553764,True,wet,True
4,1,Fay,focused crouch,down at hands,palm stop,avatar,3.012,2.802,0.57383,0.57983,True,steady,True
5,1,Milo,alert half-turn,toward avatar,points to shelf,avatar,3.023,2.813,0.571449,0.577449,True,steady,True
6,1,Sera,open stance,toward tool,touches chest,avatar,3.034,2.824,0.628195,0.646195,True,steady,True
7,1,Tovan,focused crouch,away then back,offers handle,side-on boundary,3.044,3.224,0.649761,0.635761,True,wet,True
8,1,Nia,alert half-turn,toward bystander,steps aside,avatar,3.054,2.844,0.658017,0.664017,True,steady,True
9,1,Ari,open stance,toward exit,small wave,side-on boundary,3.062,3.242,0.526396,0.512396,True,wet,True
10,1,Fay,focused crouch,down at hands,palm stop,avatar,3.07,2.86,0.555823,0.573823,True,steady,True
11,1,Milo,alert half-turn,toward avatar,points to shelf,avatar,3.076,2.866,0.606313,0.612313,True,steady,True
12,1,Sera,open stance,toward tool,touches chest,avatar,3.082,2.872,0.604405,0.610405,True,steady,True
13,1,Tovan,focused crouch,away then back,offers handle,avatar,3.087,2.877,0.625714,0.643714,True,wet,True
14,1,Nia,alert half-turn,toward bystander,steps aside,side-on boundary,3.092,3.272,0.637057,0.623057,True,steady,True
15,1,Ari,open stance,toward exit,small wave,avatar,3.095,2.885,0.52548,0.53148,True,tired,True
16,1,Fay,focused crouch,down at hands,palm stop,side-on boundary,3.097,3.277,0.546437,0.532437,True,tired,True
