tick,day,snapshot_key,restored_avatar_room,restored_resident,restored_memory_key,restored_debt_name,replay_event_count,restored_ok,audit_scrubbable
0,1,ssrm:v58:snapshot:d001:t00000,west hearth,Sera,sera:water_carry:d001:s00,water carry,1,True,True
7,1,ssrm:v58:snapshot:d001:t00007,river gate,Tovan,tovan:repair_promise:d001:s07,repair promise,8,True,True
14,1,ssrm:v58:snapshot:d001:t00014,arrival court,Nia,nia:missed_greeting:d001:s14,missed greeting,15,True,True
17,1,ssrm:v58:snapshot:d001:t00017,fiber loft,Milo,milo:tool_loan:d001:s17,tool loan,18,True,True
18,2,ssrm:v58:snapshot:d002:t00018,river gate,Sera,sera:repair_promise:d002:s00,repair promise,19,True,True
21,2,ssrm:v58:snapshot:d002:t00021,rain court,Ari,ari:route_warning:d002:s03,route warning,22,True,True
28,2,ssrm:v58:snapshot:d002:t00028,fiber loft,Fay,fay:tool_loan:d002:s10,tool loan,29,True,True
35,2,ssrm:v58:snapshot:d002:t00035,west hearth,Milo,milo:water_carry:d002:s17,water carry,36,True,True
36,3,ssrm:v58:snapshot:d003:t00036,arrival court,Sera,sera:missed_greeting:d003:s00,missed greeting,37,True,True
42,3,ssrm:v58:snapshot:d003:t00042,arrival court,Sera,sera:missed_greeting:d003:s06,missed greeting,43,True,True
49,3,ssrm:v58:snapshot:d003:t00049,tool alcove,Tovan,tovan:care_favor:d003:s13,care favor,50,True,True
53,3,ssrm:v58:snapshot:d003:t00053,river gate,Milo,milo:repair_promise:d003:s17,repair promise,54,True,True
54,4,ssrm:v58:snapshot:d004:t00054,tool alcove,Sera,sera:care_favor:d004:s00,care favor,55,True,True
56,4,ssrm:v58:snapshot:d004:t00056,fiber loft,Nia,nia:tool_loan:d004:s02,tool loan,57,True,True
63,4,ssrm:v58:snapshot:d004:t00063,west hearth,Ari,ari:water_carry:d004:s09,water carry,64,True,True
70,4,ssrm:v58:snapshot:d004:t00070,river gate,Fay,fay:repair_promise:d004:s16,repair promise,71,True,True
71,4,ssrm:v58:snapshot:d004:t00071,arrival court,Milo,milo:missed_greeting:d004:s17,missed greeting,72,True,True
72,5,ssrm:v58:snapshot:d005:t00072,rain court,Sera,sera:route_warning:d005:s00,route warning,73,True,True
77,5,ssrm:v58:snapshot:d005:t00077,tool alcove,Milo,milo:care_favor:d005:s05,care favor,78,True,True
84,5,ssrm:v58:snapshot:d005:t00084,rain court,Sera,sera:route_warning:d005:s12,route warning,85,True,True
89,5,ssrm:v58:snapshot:d005:t00089,tool alcove,Milo,milo:care_favor:d005:s17,care favor,90,True,True
90,6,ssrm:v58:snapshot:d006:t00090,fiber loft,Sera,sera:tool_loan:d006:s00,tool loan,91,True,True
91,6,ssrm:v58:snapshot:d006:t00091,west hearth,Tovan,tovan:water_carry:d006:s01,water carry,92,True,True
98,6,ssrm:v58:snapshot:d006:t00098,river gate,Nia,nia:repair_promise:d006:s08,repair promise,99,True,True
105,6,ssrm:v58:snapshot:d006:t00105,arrival court,Ari,ari:missed_greeting:d006:s15,missed greeting,106,True,True
107,6,ssrm:v58:snapshot:d006:t00107,rain court,Milo,milo:route_warning:d006:s17,route warning,108,True,True
108,7,ssrm:v58:snapshot:d007:t00108,west hearth,Sera,sera:water_carry:d007:s00,water carry,109,True,True
112,7,ssrm:v58:snapshot:d007:t00112,rain court,Fay,fay:route_warning:d007:s04,route warning,113,True,True
119,7,ssrm:v58:snapshot:d007:t00119,fiber loft,Milo,milo:tool_loan:d007:s11,tool loan,120,True,True
125,7,ssrm:v58:snapshot:d007:t00125,fiber loft,Milo,milo:tool_loan:d007:s17,tool loan,126,True,True
126,8,ssrm:v58:snapshot:d008:t00126,river gate,Sera,sera:repair_promise:d008:s00,repair promise,127,True,True
133,8,ssrm:v58:snapshot:d008:t00133,arrival court,Tovan,tovan:missed_greeting:d008:s07,missed greeting,134,True,True
140,8,ssrm:v58:snapshot:d008:t00140,tool alcove,Nia,nia:care_favor:d008:s14,care favor,140,True,True
143,8,ssrm:v58:snapshot:d008:t00143,west hearth,Milo,milo:water_carry:d008:s17,water carry,140,True,True
144,9,ssrm:v58:snapshot:d009:t00144,arrival court,Sera,sera:missed_greeting:d009:s00,missed greeting,140,True,True
147,9,ssrm:v58:snapshot:d009:t00147,fiber loft,Ari,ari:tool_loan:d009:s03,tool loan,140,True,True
154,9,ssrm:v58:snapshot:d009:t00154,west hearth,Fay,fay:water_carry:d009:s10,water carry,140,True,True
161,9,ssrm:v58:snapshot:d009:t00161,river gate,Milo,milo:repair_promise:d009:s17,repair promise,140,True,True
162,10,ssrm:v58:snapshot:d010:t00162,tool alcove,Sera,sera:care_favor:d010:s00,care favor,140,True,True
168,10,ssrm:v58:snapshot:d010:t00168,tool alcove,Sera,sera:care_favor:d010:s06,care favor,140,True,True
175,10,ssrm:v58:snapshot:d010:t00175,rain court,Tovan,tovan:route_warning:d010:s13,route warning,140,True,True
179,10,ssrm:v58:snapshot:d010:t00179,arrival court,Milo,milo:missed_greeting:d010:s17,missed greeting,140,True,True
180,11,ssrm:v58:snapshot:d011:t00180,rain court,Sera,sera:route_warning:d011:s00,route warning,140,True,True
182,11,ssrm:v58:snapshot:d011:t00182,west hearth,Nia,nia:water_carry:d011:s02,water carry,140,True,True
189,11,ssrm:v58:snapshot:d011:t00189,river gate,Ari,ari:repair_promise:d011:s09,repair promise,140,True,True
196,11,ssrm:v58:snapshot:d011:t00196,arrival court,Fay,fay:missed_greeting:d011:s16,missed greeting,140,True,True
