tick_id,day,guild,generation,elder,successor,route_id,inherited_forecast_rule,inherited_repair_ritual,record_quality,succession_visible,private_workspace_sealed
0,1,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5205,False,True
1,1,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5455,False,True
2,1,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5705,False,True
3,1,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5955,False,True
4,1,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6205,False,True
5,1,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6455,False,True
6,1,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.521,False,True
7,1,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.546,False,True
8,1,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.571,False,True
9,1,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.596,False,True
10,1,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.621,False,True
11,1,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.646,False,True
12,1,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5215,False,True
13,1,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5465,False,True
14,2,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5715,False,True
15,2,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5965,False,True
16,2,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6215,False,True
17,2,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6465,False,True
18,2,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.522,False,True
19,2,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.547,False,True
20,2,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.572,False,True
21,2,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.597,False,True
22,2,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.622,False,True
23,2,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.647,False,True
24,2,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5225,False,True
25,2,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5475,False,True
26,2,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5725,False,True
27,2,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5975,False,True
28,3,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6225,False,True
29,3,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6475,False,True
30,3,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.523,False,True
31,3,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.548,False,True
32,3,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.573,False,True
33,3,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.598,False,True
34,3,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.623,False,True
35,3,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.648,False,True
36,3,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5235,False,True
37,3,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5485,False,True
38,3,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5735,False,True
39,3,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5985,False,True
40,3,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6235,False,True
41,3,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6485,False,True
42,4,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.524,False,True
43,4,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.549,False,True
44,4,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.574,False,True
45,4,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.599,False,True
46,4,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.624,False,True
47,4,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.649,False,True
48,4,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5245,False,True
49,4,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5495,False,True
