tick_id,day,settlement_id,resident_id,avatar_action,queue_before,queue_after,task_delay_ms,relationship_delta,project_progress_delta,consequence_label,resident_response_marker,consequence_visible,bounded_consequence,no_permanent_damage
0,1,signal,Ren,approach,0.35,0.358,230,0.006,0.0,claim understood,looks toward avatar,True,True,True
1,1,orchard,Ivo,ask_about_tool,0.35,0.358,230,0.006,0.0,claim understood,looks toward avatar,True,True,True
2,1,repair_ring,Pax,touch_claimed_tool,0.35,0.356,229,0.003,0.0,boundary respected,looks toward avatar,True,True,True
3,1,riverbend,Ari,approach,0.35,0.358,230,0.006,0.0,claim understood,looks toward avatar,True,True,True
4,1,roofward,Sera,ask_about_tool,0.35,0.358,230,0.006,0.0,claim understood,looks toward avatar,True,True,True
5,1,archive,Nia,touch_claimed_tool,0.35,0.356,229,0.003,0.0,boundary respected,looks toward avatar,True,True,True
6,1,signal,Ren,interrupt_queue,0.358,0.416,394,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
7,1,orchard,Ivo,consent_dialogue,0.358,0.366,233,0.006,0.0,claim understood,looks toward avatar,True,True,True
8,1,repair_ring,Pax,step_back,0.356,0.35,227,0.006,0.0,claim understood,looks toward avatar,True,True,True
9,1,riverbend,Ari,interrupt_queue,0.358,0.416,394,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
10,1,roofward,Sera,consent_dialogue,0.358,0.366,233,0.006,0.0,claim understood,looks toward avatar,True,True,True
11,1,archive,Nia,step_back,0.356,0.35,227,0.006,0.0,claim understood,looks toward avatar,True,True,True
12,1,signal,Ren,approach,0.416,0.424,258,0.006,0.0,claim understood,looks toward avatar,True,True,True
13,1,orchard,Ivo,ask_about_tool,0.366,0.374,237,0.006,0.0,claim understood,looks toward avatar,True,True,True
14,1,repair_ring,Pax,touch_claimed_tool,0.35,0.356,229,0.003,0.0,boundary respected,looks toward avatar,True,True,True
15,1,riverbend,Ari,approach,0.416,0.424,258,0.006,0.0,claim understood,looks toward avatar,True,True,True
16,1,roofward,Sera,ask_about_tool,0.366,0.374,237,0.006,0.0,claim understood,looks toward avatar,True,True,True
17,1,archive,Nia,touch_claimed_tool,0.35,0.356,229,0.003,0.0,boundary respected,looks toward avatar,True,True,True
18,2,orchard,Ivo,ask_about_tool,0.374,0.382,240,0.006,0.0,claim understood,looks toward avatar,True,True,True
19,2,repair_ring,Pax,touch_claimed_tool,0.356,0.362,232,0.003,0.0,boundary respected,looks toward avatar,True,True,True
20,2,riverbend,Ari,approach,0.424,0.432,261,0.006,0.0,claim understood,looks toward avatar,True,True,True
21,2,roofward,Sera,ask_about_tool,0.374,0.382,240,0.006,0.0,claim understood,looks toward avatar,True,True,True
22,2,archive,Nia,touch_claimed_tool,0.356,0.362,232,0.003,0.0,boundary respected,looks toward avatar,True,True,True
23,2,signal,Ren,interrupt_queue,0.424,0.482,422,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
24,2,orchard,Ivo,consent_dialogue,0.382,0.39,243,0.006,0.0,claim understood,looks toward avatar,True,True,True
25,2,repair_ring,Pax,step_back,0.362,0.356,229,0.006,0.0,claim understood,looks toward avatar,True,True,True
26,2,riverbend,Ari,interrupt_queue,0.432,0.49,425,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
27,2,roofward,Sera,consent_dialogue,0.382,0.39,243,0.006,0.0,claim understood,looks toward avatar,True,True,True
28,2,archive,Nia,step_back,0.362,0.356,229,0.006,0.0,claim understood,looks toward avatar,True,True,True
29,2,signal,Ren,approach,0.482,0.49,285,0.006,0.0,claim understood,looks toward avatar,True,True,True
30,2,orchard,Ivo,ask_about_tool,0.39,0.398,247,0.006,0.0,claim understood,looks toward avatar,True,True,True
31,2,repair_ring,Pax,touch_claimed_tool,0.356,0.362,232,0.003,0.0,boundary respected,looks toward avatar,True,True,True
32,2,riverbend,Ari,approach,0.49,0.498,289,0.006,0.0,claim understood,looks toward avatar,True,True,True
33,2,roofward,Sera,ask_about_tool,0.39,0.398,247,0.006,0.0,claim understood,looks toward avatar,True,True,True
34,2,archive,Nia,touch_claimed_tool,0.356,0.362,232,0.003,0.0,boundary respected,looks toward avatar,True,True,True
35,2,signal,Ren,interrupt_queue,0.49,0.548,450,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
36,3,repair_ring,Pax,touch_claimed_tool,0.362,0.407,250,-0.026,-0.006,ownership wound,turns away from avatar,True,True,True
37,3,riverbend,Ari,approach,0.498,0.506,292,0.006,0.0,claim understood,looks toward avatar,True,True,True
38,3,roofward,Sera,ask_about_tool,0.398,0.406,250,0.006,0.0,claim understood,looks toward avatar,True,True,True
39,3,archive,Nia,touch_claimed_tool,0.362,0.368,234,0.003,0.0,boundary respected,looks toward avatar,True,True,True
40,3,signal,Ren,interrupt_queue,0.548,0.606,474,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
41,3,orchard,Ivo,consent_dialogue,0.398,0.406,250,0.006,0.0,claim understood,looks toward avatar,True,True,True
42,3,repair_ring,Pax,step_back,0.407,0.401,248,0.006,0.0,claim understood,looks toward avatar,True,True,True
43,3,riverbend,Ari,interrupt_queue,0.506,0.564,456,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
44,3,roofward,Sera,consent_dialogue,0.406,0.414,253,0.006,0.0,claim understood,looks toward avatar,True,True,True
45,3,archive,Nia,step_back,0.368,0.362,232,0.006,0.0,claim understood,looks toward avatar,True,True,True
46,3,signal,Ren,approach,0.606,0.614,337,0.006,0.0,claim understood,looks toward avatar,True,True,True
47,3,orchard,Ivo,ask_about_tool,0.406,0.414,253,0.006,0.0,claim understood,looks toward avatar,True,True,True
48,3,repair_ring,Pax,touch_claimed_tool,0.401,0.446,267,-0.026,-0.006,ownership wound,turns away from avatar,True,True,True
49,3,riverbend,Ari,approach,0.564,0.572,320,0.006,0.0,claim understood,looks toward avatar,True,True,True
50,3,roofward,Sera,ask_about_tool,0.414,0.422,257,0.006,0.0,claim understood,looks toward avatar,True,True,True
51,3,archive,Nia,touch_claimed_tool,0.362,0.368,234,0.003,0.0,boundary respected,looks toward avatar,True,True,True
52,3,signal,Ren,interrupt_queue,0.614,0.672,502,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
53,3,orchard,Ivo,consent_dialogue,0.414,0.422,257,0.006,0.0,claim understood,looks toward avatar,True,True,True
54,4,riverbend,Ari,approach,0.572,0.58,323,0.006,0.0,claim understood,looks toward avatar,True,True,True
55,4,roofward,Sera,ask_about_tool,0.422,0.43,260,0.006,0.0,claim understood,looks toward avatar,True,True,True
56,4,archive,Nia,touch_claimed_tool,0.368,0.413,253,-0.026,-0.006,ownership wound,turns away from avatar,True,True,True
57,4,signal,Ren,interrupt_queue,0.672,0.73,526,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
58,4,orchard,Ivo,consent_dialogue,0.422,0.43,260,0.006,0.0,claim understood,looks toward avatar,True,True,True
59,4,repair_ring,Pax,step_back,0.446,0.44,264,0.006,0.0,claim understood,looks toward avatar,True,True,True
60,4,riverbend,Ari,interrupt_queue,0.58,0.638,487,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
61,4,roofward,Sera,consent_dialogue,0.43,0.438,263,0.006,0.0,claim understood,looks toward avatar,True,True,True
62,4,archive,Nia,step_back,0.413,0.407,250,0.006,0.0,claim understood,looks toward avatar,True,True,True
63,4,signal,Ren,approach,0.73,0.738,389,0.006,0.0,claim understood,looks toward avatar,True,True,True
64,4,orchard,Ivo,ask_about_tool,0.43,0.438,263,0.006,0.0,claim understood,looks toward avatar,True,True,True
65,4,repair_ring,Pax,touch_claimed_tool,0.44,0.446,267,0.003,0.0,boundary respected,looks toward avatar,True,True,True
66,4,riverbend,Ari,approach,0.638,0.646,351,0.006,0.0,claim understood,looks toward avatar,True,True,True
67,4,roofward,Sera,ask_about_tool,0.438,0.446,267,0.006,0.0,claim understood,looks toward avatar,True,True,True
68,4,archive,Nia,touch_claimed_tool,0.407,0.452,269,-0.026,-0.006,ownership wound,turns away from avatar,True,True,True
69,4,signal,Ren,interrupt_queue,0.738,0.796,554,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
70,4,orchard,Ivo,consent_dialogue,0.438,0.446,267,0.006,0.0,claim understood,looks toward avatar,True,True,True
71,4,repair_ring,Pax,step_back,0.446,0.44,264,0.006,0.0,claim understood,looks toward avatar,True,True,True
72,5,roofward,Sera,ask_about_tool,0.446,0.454,270,0.006,0.0,claim understood,looks toward avatar,True,True,True
73,5,archive,Nia,touch_claimed_tool,0.452,0.458,272,0.003,0.0,boundary respected,looks toward avatar,True,True,True
74,5,signal,Ren,interrupt_queue,0.796,0.854,578,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
75,5,orchard,Ivo,consent_dialogue,0.446,0.454,270,0.006,0.0,claim understood,looks toward avatar,True,True,True
76,5,repair_ring,Pax,step_back,0.44,0.434,262,0.006,0.0,claim understood,looks toward avatar,True,True,True
77,5,riverbend,Ari,interrupt_queue,0.646,0.704,515,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
78,5,roofward,Sera,consent_dialogue,0.454,0.462,274,0.006,0.0,claim understood,looks toward avatar,True,True,True
79,5,archive,Nia,step_back,0.458,0.452,269,0.006,0.0,claim understood,looks toward avatar,True,True,True
80,5,signal,Ren,approach,0.854,0.862,442,0.006,0.0,claim understood,looks toward avatar,True,True,True
81,5,orchard,Ivo,ask_about_tool,0.454,0.462,274,0.006,0.0,claim understood,looks toward avatar,True,True,True
82,5,repair_ring,Pax,touch_claimed_tool,0.434,0.44,264,0.003,0.0,boundary respected,looks toward avatar,True,True,True
83,5,riverbend,Ari,approach,0.704,0.712,379,0.006,0.0,claim understood,looks toward avatar,True,True,True
84,5,roofward,Sera,ask_about_tool,0.462,0.47,277,0.006,0.0,claim understood,looks toward avatar,True,True,True
85,5,archive,Nia,touch_claimed_tool,0.452,0.458,272,0.003,0.0,boundary respected,looks toward avatar,True,True,True
86,5,signal,Ren,interrupt_queue,0.862,0.92,606,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
87,5,orchard,Ivo,consent_dialogue,0.462,0.47,277,0.006,0.0,claim understood,looks toward avatar,True,True,True
88,5,repair_ring,Pax,step_back,0.44,0.434,262,0.006,0.0,claim understood,looks toward avatar,True,True,True
89,5,riverbend,Ari,interrupt_queue,0.712,0.77,543,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
90,6,archive,Nia,touch_claimed_tool,0.458,0.464,274,0.003,0.0,boundary respected,looks toward avatar,True,True,True
91,6,signal,Ren,interrupt_queue,0.92,0.902,598,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
92,6,orchard,Ivo,consent_dialogue,0.47,0.478,280,0.006,0.0,claim understood,looks toward avatar,True,True,True
93,6,repair_ring,Pax,step_back,0.434,0.428,259,0.006,0.0,claim understood,looks toward avatar,True,True,True
94,6,riverbend,Ari,interrupt_queue,0.77,0.828,567,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
95,6,roofward,Sera,consent_dialogue,0.47,0.478,280,0.006,0.0,claim understood,looks toward avatar,True,True,True
96,6,archive,Nia,step_back,0.464,0.458,272,0.006,0.0,claim understood,looks toward avatar,True,True,True
97,6,signal,Ren,approach,0.902,0.884,451,0.006,0.0,claim understood,looks toward avatar,True,True,True
98,6,orchard,Ivo,ask_about_tool,0.478,0.486,284,0.006,0.0,claim understood,looks toward avatar,True,True,True
99,6,repair_ring,Pax,touch_claimed_tool,0.428,0.434,262,0.003,0.0,boundary respected,looks toward avatar,True,True,True
100,6,riverbend,Ari,approach,0.828,0.836,431,0.006,0.0,claim understood,looks toward avatar,True,True,True
101,6,roofward,Sera,ask_about_tool,0.478,0.486,284,0.006,0.0,claim understood,looks toward avatar,True,True,True
102,6,archive,Nia,touch_claimed_tool,0.458,0.464,274,0.003,0.0,boundary respected,looks toward avatar,True,True,True
103,6,signal,Ren,interrupt_queue,0.884,0.94,614,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
104,6,orchard,Ivo,consent_dialogue,0.486,0.494,287,0.006,0.0,claim understood,looks toward avatar,True,True,True
105,6,repair_ring,Pax,step_back,0.434,0.428,259,0.006,0.0,claim understood,looks toward avatar,True,True,True
106,6,riverbend,Ari,interrupt_queue,0.836,0.894,595,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
107,6,roofward,Sera,consent_dialogue,0.486,0.494,287,0.006,0.0,claim understood,looks toward avatar,True,True,True
108,7,signal,Ren,interrupt_queue,0.94,0.922,607,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
109,7,orchard,Ivo,consent_dialogue,0.494,0.502,290,0.006,0.0,claim understood,looks toward avatar,True,True,True
110,7,repair_ring,Pax,step_back,0.428,0.422,257,0.006,0.0,claim understood,looks toward avatar,True,True,True
111,7,riverbend,Ari,interrupt_queue,0.894,0.94,614,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
112,7,roofward,Sera,consent_dialogue,0.494,0.502,290,0.006,0.0,claim understood,looks toward avatar,True,True,True
113,7,archive,Nia,step_back,0.464,0.458,272,0.006,0.0,claim understood,looks toward avatar,True,True,True
114,7,signal,Ren,approach,0.922,0.904,459,0.006,0.0,claim understood,looks toward avatar,True,True,True
115,7,orchard,Ivo,ask_about_tool,0.502,0.51,294,0.006,0.0,claim understood,looks toward avatar,True,True,True
116,7,repair_ring,Pax,touch_claimed_tool,0.422,0.467,276,-0.026,-0.006,ownership wound,turns away from avatar,True,True,True
117,7,riverbend,Ari,approach,0.94,0.922,467,0.006,0.0,claim understood,looks toward avatar,True,True,True
118,7,roofward,Sera,ask_about_tool,0.502,0.51,294,0.006,0.0,claim understood,looks toward avatar,True,True,True
119,7,archive,Nia,touch_claimed_tool,0.458,0.464,274,0.003,0.0,boundary respected,looks toward avatar,True,True,True
120,7,signal,Ren,interrupt_queue,0.904,0.886,592,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
121,7,orchard,Ivo,consent_dialogue,0.51,0.518,297,0.006,0.0,claim understood,looks toward avatar,True,True,True
122,7,repair_ring,Pax,step_back,0.467,0.461,273,0.006,0.0,claim understood,looks toward avatar,True,True,True
123,7,riverbend,Ari,interrupt_queue,0.922,0.904,599,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
124,7,roofward,Sera,consent_dialogue,0.51,0.518,297,0.006,0.0,claim understood,looks toward avatar,True,True,True
125,7,archive,Nia,step_back,0.464,0.458,272,0.006,0.0,claim understood,looks toward avatar,True,True,True
126,8,orchard,Ivo,consent_dialogue,0.518,0.526,300,0.006,0.0,claim understood,looks toward avatar,True,True,True
127,8,repair_ring,Pax,step_back,0.461,0.455,271,0.006,0.0,claim understood,looks toward avatar,True,True,True
128,8,riverbend,Ari,interrupt_queue,0.904,0.886,592,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
129,8,roofward,Sera,consent_dialogue,0.518,0.526,300,0.006,0.0,claim understood,looks toward avatar,True,True,True
130,8,archive,Nia,step_back,0.458,0.452,269,0.006,0.0,claim understood,looks toward avatar,True,True,True
131,8,signal,Ren,approach,0.886,0.894,455,0.006,0.0,claim understood,looks toward avatar,True,True,True
132,8,orchard,Ivo,ask_about_tool,0.526,0.534,304,0.006,0.0,claim understood,looks toward avatar,True,True,True
133,8,repair_ring,Pax,touch_claimed_tool,0.455,0.461,273,0.003,0.0,boundary respected,looks toward avatar,True,True,True
134,8,riverbend,Ari,approach,0.886,0.894,455,0.006,0.0,claim understood,looks toward avatar,True,True,True
135,8,roofward,Sera,ask_about_tool,0.526,0.534,304,0.006,0.0,claim understood,looks toward avatar,True,True,True
136,8,archive,Nia,touch_claimed_tool,0.452,0.497,288,-0.026,-0.006,ownership wound,turns away from avatar,True,True,True
137,8,signal,Ren,interrupt_queue,0.894,0.94,614,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
138,8,orchard,Ivo,consent_dialogue,0.534,0.542,307,0.006,0.0,claim understood,looks toward avatar,True,True,True
139,8,repair_ring,Pax,step_back,0.461,0.455,271,0.006,0.0,claim understood,looks toward avatar,True,True,True
140,8,riverbend,Ari,interrupt_queue,0.894,0.94,614,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
141,8,roofward,Sera,consent_dialogue,0.534,0.542,307,0.006,0.0,claim understood,looks toward avatar,True,True,True
142,8,archive,Nia,step_back,0.497,0.491,286,0.006,0.0,claim understood,looks toward avatar,True,True,True
143,8,signal,Ren,approach,0.94,0.922,467,0.006,0.0,claim understood,looks toward avatar,True,True,True
144,9,repair_ring,Pax,step_back,0.455,0.449,268,0.006,0.0,claim understood,looks toward avatar,True,True,True
145,9,riverbend,Ari,interrupt_queue,0.94,0.922,607,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
146,9,roofward,Sera,consent_dialogue,0.542,0.55,311,0.006,0.0,claim understood,looks toward avatar,True,True,True
147,9,archive,Nia,step_back,0.491,0.485,283,0.006,0.0,claim understood,looks toward avatar,True,True,True
148,9,signal,Ren,approach,0.922,0.904,459,0.006,0.0,claim understood,looks toward avatar,True,True,True
149,9,orchard,Ivo,ask_about_tool,0.542,0.55,311,0.006,0.0,claim understood,looks toward avatar,True,True,True
150,9,repair_ring,Pax,touch_claimed_tool,0.449,0.455,271,0.003,0.0,boundary respected,looks toward avatar,True,True,True
151,9,riverbend,Ari,approach,0.922,0.904,459,0.006,0.0,claim understood,looks toward avatar,True,True,True
152,9,roofward,Sera,ask_about_tool,0.55,0.558,314,0.006,0.0,claim understood,looks toward avatar,True,True,True
153,9,archive,Nia,touch_claimed_tool,0.485,0.491,286,0.003,0.0,boundary respected,looks toward avatar,True,True,True
154,9,signal,Ren,interrupt_queue,0.904,0.886,592,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
155,9,orchard,Ivo,consent_dialogue,0.55,0.558,314,0.006,0.0,claim understood,looks toward avatar,True,True,True
156,9,repair_ring,Pax,step_back,0.455,0.449,268,0.006,0.0,claim understood,looks toward avatar,True,True,True
157,9,riverbend,Ari,interrupt_queue,0.904,0.886,592,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
158,9,roofward,Sera,consent_dialogue,0.558,0.566,317,0.006,0.0,claim understood,looks toward avatar,True,True,True
159,9,archive,Nia,step_back,0.491,0.485,283,0.006,0.0,claim understood,looks toward avatar,True,True,True
160,9,signal,Ren,approach,0.886,0.894,455,0.006,0.0,claim understood,looks toward avatar,True,True,True
161,9,orchard,Ivo,ask_about_tool,0.558,0.566,317,0.006,0.0,claim understood,looks toward avatar,True,True,True
162,10,riverbend,Ari,interrupt_queue,0.886,0.94,614,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
163,10,roofward,Sera,consent_dialogue,0.566,0.574,321,0.006,0.0,claim understood,looks toward avatar,True,True,True
164,10,archive,Nia,step_back,0.485,0.479,281,0.006,0.0,claim understood,looks toward avatar,True,True,True
165,10,signal,Ren,approach,0.894,0.902,458,0.006,0.0,claim understood,looks toward avatar,True,True,True
166,10,orchard,Ivo,ask_about_tool,0.566,0.574,321,0.006,0.0,claim understood,looks toward avatar,True,True,True
167,10,repair_ring,Pax,touch_claimed_tool,0.449,0.455,271,0.003,0.0,boundary respected,looks toward avatar,True,True,True
