tick_id,day,session_id,settlement_id,playable_task_panel,pathing_panel,tool_pickup_panel,inventory_delta_panel,failure_recovery_panel,phrase_session_panel,reload_panel,frequency_flower_panel,visible_boundary_notice,save_restore_key,replay_key
0,1,session-001,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v55.moss_ward.session-001,ssrm.v55.moss_ward.replay
1,1,session-001,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v55.glass_harbor.session-001,ssrm.v55.glass_harbor.replay
2,1,session-001,cinder_garden,True,True,True,True,True,True,True,True,True,ssrm.v55.cinder_garden.session-001,ssrm.v55.cinder_garden.replay
3,1,session-001,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v55.lichen_bridge.session-001,ssrm.v55.lichen_bridge.replay
4,1,session-001,orchid_engine,True,True,True,True,True,True,True,True,True,ssrm.v55.orchid_engine.session-001,ssrm.v55.orchid_engine.replay
5,1,session-001,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v55.moss_ward.session-001,ssrm.v55.moss_ward.replay
6,1,session-001,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v55.glass_harbor.session-001,ssrm.v55.glass_harbor.replay
7,1,session-001,cinder_garden,True,True,True,True,True,True,True,True,True,ssrm.v55.cinder_garden.session-001,ssrm.v55.cinder_garden.replay
8,1,session-001,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v55.lichen_bridge.session-001,ssrm.v55.lichen_bridge.replay
9,1,session-001,orchid_engine,True,True,True,True,True,True,True,True,True,ssrm.v55.orchid_engine.session-001,ssrm.v55.orchid_engine.replay
10,1,session-001,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v55.moss_ward.session-001,ssrm.v55.moss_ward.replay
11,1,session-001,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v55.glass_harbor.session-001,ssrm.v55.glass_harbor.replay
12,1,session-001,cinder_garden,True,True,True,True,True,True,True,True,True,ssrm.v55.cinder_garden.session-001,ssrm.v55.cinder_garden.replay
13,1,session-001,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v55.lichen_bridge.session-001,ssrm.v55.lichen_bridge.replay
