tick_id,day,week,settlement_id,simulated_year,dialect_family,phrase,ritual,craft_technology,lineage_memory,culture_marker_visible,not_autonomous_language_claim,frequency_hz,flower_phase
0,1,1,glass_harbor,1268,harbor chime-family,harbor-5-keep Nia,lamp touch,salt steps tool lineage v1,Nia remembers harbor chime-family shelter rule from year 1265,True,True,6.840667,0.0644
1,1,1,cinder_garden,1339,cinder pulse-family,cinder-6-keep Pax,cool hand sign,seed shelf tool lineage v2,Pax remembers cinder pulse-family shelter rule from year 1336,True,True,9.460667,0.095108
2,1,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Rin,rope touch,rope bridge tool lineage v3,Rin remembers bridge hum-family shelter rule from year 1414,True,True,8.190667,0.086917
3,1,1,orchid_engine,1492,engine ring-family,engine-5-keep Eli,orchid cup,orchid bay tool lineage v4,Eli remembers engine ring-family shelter rule from year 1489,True,True,10.580667,0.115325
4,1,1,moss_ward,1184,moss-ward breath-family,moss-ward-5-keep Ari,door-watch blessing,tool nook tool lineage v5,Ari remembers moss-ward breath-family shelter rule from year 1181,True,True,6.01878,0.073933
5,1,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Oren,tea before crossing,lamp pier tool lineage v6,Oren remembers harbor chime-family shelter rule from year 1265,True,True,7.22124,0.090442
6,1,1,cinder_garden,1339,cinder pulse-family,cinder-0-keep Vale,seed-count chant,ash path tool lineage v7,Vale remembers cinder pulse-family shelter rule from year 1336,True,True,9.83878,0.12115
7,1,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Sol,signal hush,lichen wall tool lineage v8,Sol remembers bridge hum-family shelter rule from year 1414,True,True,8.57124,0.112958
8,1,1,orchid_engine,1492,engine ring-family,engine-5-keep Bea,valve pause,engine ring tool lineage v9,Bea remembers engine ring-family shelter rule from year 1489,True,True,10.95878,0.141367
9,1,1,moss_ward,1184,moss-ward breath-family,moss-ward-5-keep Fay,blanket share,rain gate tool lineage v10,Fay remembers moss-ward breath-family shelter rule from year 1181,True,True,6.36878,0.099975
10,1,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Puck,net-knot thanks,net room tool lineage v11,Puck remembers harbor chime-family shelter rule from year 1265,True,True,7.57124,0.116483
11,1,1,cinder_garden,1339,cinder pulse-family,cinder-0-keep Wren,shade cloth bow,ember bed tool lineage v0,Wren remembers cinder pulse-family shelter rule from year 1336,True,True,10.18878,0.147192
12,1,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Kio,shared bowl,signal post tool lineage v1,Kio remembers bridge hum-family shelter rule from year 1414,True,True,8.92124,0.139
13,1,1,orchid_engine,1492,engine ring-family,engine-5-keep Cai,gear-wash thanks,gear wash tool lineage v2,Cai remembers engine ring-family shelter rule from year 1489,True,True,11.30878,0.167408
14,1,1,moss_ward,1184,moss-ward breath-family,moss-ward-6-keep Milo,warm cup before work,moss lane tool lineage v3,Milo remembers moss-ward breath-family shelter rule from year 1181,True,True,6.71878,0.126017
15,1,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Sera,lamp touch,salt steps tool lineage v4,Sera remembers harbor chime-family shelter rule from year 1265,True,True,7.890667,0.142525
16,2,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Kio,signal hush,lichen wall tool lineage v1,Kio remembers bridge hum-family shelter rule from year 1414,True,True,8.060151,0.159833
17,2,1,orchid_engine,1492,engine ring-family,engine-5-keep Cai,valve pause,engine ring tool lineage v2,Cai remembers engine ring-family shelter rule from year 1489,True,True,10.447735,0.188242
18,2,1,moss_ward,1184,moss-ward breath-family,moss-ward-6-keep Milo,blanket share,rain gate tool lineage v3,Milo remembers moss-ward breath-family shelter rule from year 1181,True,True,5.857692,0.14685
19,2,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Sera,net-knot thanks,net room tool lineage v4,Sera remembers harbor chime-family shelter rule from year 1265,True,True,7.029425,0.163358
20,2,1,cinder_garden,1339,cinder pulse-family,cinder-0-keep Juno,shade cloth bow,ember bed tool lineage v5,Juno remembers cinder pulse-family shelter rule from year 1336,True,True,9.70124,0.194067
21,2,1,lichen_bridge,1417,bridge hum-family,bridge-1-keep Luma,shared bowl,signal post tool lineage v6,Luma remembers bridge hum-family shelter rule from year 1414,True,True,8.42878,0.185875
22,2,1,orchid_engine,1492,engine ring-family,engine-5-keep Dax,gear-wash thanks,gear wash tool lineage v7,Dax remembers engine ring-family shelter rule from year 1489,True,True,10.81878,0.214283
23,2,1,moss_ward,1184,moss-ward breath-family,moss-ward-6-keep Tala,warm cup before work,moss lane tool lineage v8,Tala remembers moss-ward breath-family shelter rule from year 1181,True,True,6.22878,0.172892
24,2,1,glass_harbor,1268,harbor chime-family,harbor-5-keep Nia,lamp touch,salt steps tool lineage v9,Nia remembers harbor chime-family shelter rule from year 1265,True,True,7.408047,0.1894
25,2,1,cinder_garden,1339,cinder pulse-family,cinder-6-keep Pax,cool hand sign,seed shelf tool lineage v10,Pax remembers cinder pulse-family shelter rule from year 1336,True,True,10.030507,0.220108
26,2,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Rin,rope touch,rope bridge tool lineage v11,Rin remembers bridge hum-family shelter rule from year 1414,True,True,8.758047,0.211917
27,2,1,orchid_engine,1492,engine ring-family,engine-5-keep Eli,orchid cup,orchid bay tool lineage v0,Eli remembers engine ring-family shelter rule from year 1489,True,True,11.148047,0.240325
28,2,1,moss_ward,1184,moss-ward breath-family,moss-ward-5-keep Ari,door-watch blessing,tool nook tool lineage v1,Ari remembers moss-ward breath-family shelter rule from year 1181,True,True,6.58616,0.198933
